match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_wasFouled,player_firstName,player_lastName,stat_outfielderBlock,stat_lastManTackle,stat_totalOffside,captain,stat_errorLeadToAShot,stat_challengeLost,stat_totalContest,stat_aerialWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_wonContest,stat_bigChanceMissed,stat_penaltyMiss,player_sofascoreId,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded
14083589,home,Elche,Matías Dituro,matias-dituro,M. Dituro,G,1,191,616,M,556884,EUR,547430400,G,1,1,False,70.0,55.0,24.0,9.0,0.0,47.0,49.0,8.0,21.0,11.0,1.0,1.0,1.0,1.0,90.0,75.0,6.3,15.0,0.00380794,0.0003,2.0,0,-0.7305,0.22,0.02,-0.02,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083589,home,Elche,Josan,josan,Josan,M,17,175,169,M,808955,EUR,628646400,D,17,17,False,32.0,29.0,1.0,1.0,1.0,10.0,10.0,19.0,22.0,2.0,,,,,81.0,49.0,7.8,11.0,1.11911,,5.0,0,,1.0,0.27,-0.2,,11.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083589,home,Elche,Alvaro Núñez,nunez-alvaro,A. Núñez,D,15,174,496,M,1012410,EUR,962928000,D,15,15,False,71.0,61.0,7.0,3.0,0.0,28.0,31.0,33.0,40.0,2.0,,,,,90.0,85.0,6.7,14.0,0.0390046,,,0,,0.34,0.1,-0.15,,4.0,1.0,3.0,2.0,,,,,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14083589,home,Elche,David Affengruber,david-affengruber,D. Affengruber,D,22,185,1024,M,988672,EUR,984960000,D,22,22,False,51.0,48.0,3.0,,0.0,34.0,34.0,14.0,17.0,9.0,,,,,90.0,64.0,7.0,3.0,0.00957608,,,0,,0.1,0.13,0.56,,,,1.0,4.0,,2.0,2.0,,1.0,,,3.0,3.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14083589,home,Elche,Pedro Bigas,pedro-bigas,P. Bigas,D,6,180,322,M,141832,EUR,635040000,D,6,6,False,73.0,71.0,4.0,3.0,0.0,35.0,35.0,36.0,38.0,3.0,,,,,73.0,82.0,6.8,3.0,0.0200845,,,0,,0.27,0.06,-0.14,,,,,1.0,,1.0,,1.0,,,,4.0,,,,,1.0,,,True,1.0,,,,,,,,,,,,,,,,,
14083589,home,Elche,Adrià Pedrosa,adria-pedrosa,A. Pedrosa,D,3,176,847,M,928672,EUR,895017600,D,3,3,False,25.0,23.0,1.0,1.0,0.0,3.0,5.0,20.0,20.0,,,,,,73.0,48.0,6.1,12.0,0.317538,,3.0,0,,0.31,-0.13,-0.28,,8.0,2.0,7.0,1.0,1.0,,,1.0,2.0,1.0,,2.0,,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,
14083589,home,Elche,Germán Valera,german-valera,G. Valera,M,11,170,823,M,962710,EUR,1016236800,M,11,11,False,38.0,38.0,,,0.0,7.0,7.0,31.0,31.0,2.0,,,,,90.0,56.0,7.0,9.0,0.304474,,1.0,2,,0.38,0.5,-0.01,,,,9.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,,2.0,,,,,,,,,3.0,1.0,1.0,1.0,0.259,-0.55,,,,,,,,,,
14083589,home,Elche,John Donald,john-nwankwo,J. Donald,D,18,185,201,M,1094758,EUR,969840000,M,18,18,False,61.0,57.0,1.0,1.0,0.0,23.0,26.0,34.0,35.0,4.0,,,,,90.0,78.0,7.7,11.0,0.0271406,,,3,,-0.01,0.04,0.14,,,,6.0,4.0,,2.0,1.0,1.0,1.0,,2.0,,,1.0,John Donald,,1.0,,,,,,3.0,1.0,,1.0,0.3248,0.54,2.0,1.0,0.735,,,,,,,
14083589,home,Elche,Aleix Febas,aleix-febas,A. Febas,M,14,168,1040,M,286167,EUR,823219200,M,14,14,False,84.0,78.0,5.0,3.0,0.0,29.0,30.0,49.0,54.0,4.0,,,,,90.0,105.0,8.1,9.0,0.302444,,1.0,1,,0.27,0.46,0.23,,1.0,,3.0,13.0,,4.0,2.0,,,1.0,1.0,1.0,,5.0,,,,,,,,,5.0,,,1.0,0.0434,-0.15,,,,4.0,,,,,,
14083589,home,Elche,Rafa Mir,rafa-mir,R. Mir,F,10,189,2029,M,825754,EUR,866592000,F,10,10,False,13.0,12.0,1.0,,0.0,3.0,3.0,9.0,10.0,1.0,,,,,81.0,22.0,5.4,4.0,0.0108009,,,3,,0.03,0.02,-0.11,,1.0,,8.0,1.0,,,,,3.0,3.0,,1.0,,1.0,,,,,1.0,,,1.0,2.0,,1.0,,1.0283,-0.92,2.0,,0.7906,,2.0,1.0,,,,
14083589,home,Elche,André Silva,andre-silva,A. Silva,F,9,185,5803,M,190159,EUR,815616000,F,9,9,False,19.0,17.0,,,0.0,3.0,4.0,14.0,15.0,1.0,,,,,64.0,31.0,7.4,7.0,0.0400903,,1.0,4,,-0.03,0.1,0.17,,,,3.0,2.0,,,,3.0,,1.0,2.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0972,0.23,2.0,1.0,1.0387,1.0,1.0,,andresilva9,,,
14083589,home,Elche,Álvaro Rodriguez,alvaro-rodriguez,Á. Rodriguez,F,20,193,14656,M,1154587,EUR,1089763200,F,20,20,True,8.0,7.0,,,0.0,3.0,3.0,4.0,5.0,1.0,,,,,26.0,19.0,6.2,4.0,0.00426723,,,4,,-0.24,0.27,-0.01,,,,3.0,4.0,,,,,1.0,,2.0,,,1.0,,,,,1.0,,,,3.0,,1.0,1.0,0.8301,-0.7,2.0,,0.3015,3.0,2.0,,alvarorodrigz_,,,
14083589,home,Elche,Víctor Chust,victor-chust,V. Chust,D,23,182,605,M,855831,EUR,952214400,D,23,23,True,8.0,7.0,,,0.0,5.0,6.0,2.0,2.0,2.0,,,,,17.0,11.0,6.7,1.0,0.00114674,,,0,,0.0,0.02,0.14,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14083589,home,Elche,Léo Pétrot,leo-petrot,L. Pétrot,D,21,188,232,M,827504,EUR,861062400,D,21,21,True,12.0,12.0,,,0.0,3.0,3.0,9.0,9.0,1.0,,,,,17.0,17.0,6.9,1.0,0.0114369,,,0,,-0.08,0.02,0.23,,,,,2.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14083589,home,Elche,Grady Diangana,grady-diangana,G. Diangana,M,19,180,2853,M,848512,EUR,892944000,F,19,19,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,,,9.0,8.0,6.9,1.0,0.0017672,,,0,,-0.05,0.16,0.13,,,,,4.0,,1.0,,1.0,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
14083589,home,Elche,Marc Aguado,marc-aguado,M. Aguado,M,8,178,373,M,1014595,EUR,951177600,M,8,8,True,6.0,5.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0,1.0,,,,,9.0,8.0,6.7,1.0,0.00129388,,,0,,-0.02,0.01,0.13,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14083589,home,Elche,Alejandro Iturbe,iturbe-alejandro,A. Iturbe,G,45,186,277,M,1019324,EUR,1062460800,G,45,45,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083589,home,Elche,Iñaki Peña,inaki-pena,I. Peña,G,13,185,45964,M,794949,EUR,920332800,G,13,13,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inakipenya,,,
14083589,home,Elche,Bambo Diaby,bambo-diaby,B. Diaby,D,17,186,190,M,849731,EUR,882316800,D,4,4,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083589,home,Elche,Adam Boayar,adam-boayar,A. Boayar,F,32,180,1331,M,1518971,EUR,1129161600,F,32,32,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083589,home,Elche,Ali Houary,houary-ali,A. Houary,F,29,178,786,M,1516812,EUR,1123200000,F,35,35,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083589,away,Celta Vigo,Ionuț Radu,ionut-radu,I. Radu,G,13,188,3683,M,815202,EUR,864777600,G,13,13,False,27.0,18.0,12.0,3.0,0.0,17.0,18.0,1.0,9.0,10.0,,5.0,6.0,,90.0,39.0,7.5,9.0,0.00025805,0.7699,,0,0.8657,0.02,-0.07,-0.09,0.58,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,
14083589,away,Celta Vigo,Óscar Mingueza,oscar-mingueza,Ó. Mingueza,M,3,184,3812,M,859773,EUR,926553600,D,3,3,False,28.0,24.0,1.0,1.0,0.0,15.0,17.0,9.0,11.0,4.0,,,,,45.0,42.0,6.7,8.0,0.264654,,2.0,0,,0.2,0.02,-0.16,,1.0,,4.0,5.0,1.0,2.0,1.0,,1.0,,,2.0,,,,,,,,,,2.0,2.0,2.0,,,,,,,,1.0,,,,,,
14083589,away,Celta Vigo,Yoel Lago,yoel-lago,Y. Lago,D,29,185,186,M,1145100,EUR,1080172800,D,29,29,False,29.0,25.0,1.0,1.0,0.0,19.0,20.0,6.0,9.0,1.0,,,,,73.0,36.0,6.2,4.0,0.0022562,,,0,,-0.15,0.01,-0.16,,,,2.0,3.0,,1.0,,,2.0,,,4.0,,,Yoel,Lago,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,
14083589,away,Celta Vigo,Carlos Domínguez,carlos-dominguez,C. Domínguez,D,24,187,207,M,1069703,EUR,981849600,D,24,24,False,46.0,42.0,4.0,,0.0,30.0,31.0,12.0,15.0,3.0,,,,,90.0,66.0,7.3,5.0,0.00484515,,,1,,0.14,0.12,0.38,,,,2.0,8.0,,6.0,4.0,,1.0,,,8.0,,1.0,,,2.0,,,,,1.0,1.0,1.0,1.0,,0.0702,-0.2,,,,,,,,,,1.0
14083589,away,Celta Vigo,Marcos Alonso,marcos-alonso,M. Alonso,D,20,188,7636,M,69408,EUR,662342400,D,20,20,False,24.0,18.0,2.0,1.0,0.0,11.0,13.0,7.0,11.0,2.0,,,,,82.0,51.0,6.5,11.0,0.0086563,,,0,,0.02,0.11,-0.01,,1.0,,5.0,4.0,,2.0,2.0,1.0,,2.0,2.0,9.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,marcosalonso28,,,
14083589,away,Celta Vigo,Miguel Román,miguel-roman,M. Román,M,16,178,303,M,1398526,EUR,1040860800,M,16,16,False,28.0,26.0,,,0.0,14.0,14.0,12.0,14.0,2.0,,,,,90.0,42.0,6.5,3.0,0.00946207,,,1,,0.08,0.03,0.22,,,,7.0,5.0,,4.0,2.0,,5.0,1.0,,3.0,,1.0,Miguel Román,,1.0,,,,,,1.0,,1.0,,0.4231,-0.48,,,,,1.0,,,,,
