match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_aerialLost,stat_totalClearance,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,stat_unsuccessfulTouch,stat_dispossessed,stat_accurateCross,stat_totalOffside,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_hitWoodwork,player_sofascoreId
14109656,away,Göztepe,Efkan Bekiroğlu,efkan-bekiroglu,E. Bekiroğlu,M,11,185.0,168,M,800458,EUR,811036800,F,11,11,False,11.0,9.0,,,0.0,4.0,4.0,5.0,7.0,1.0,4.0,,,,,,,63.0,24.0,6.1,6.0,0.00811362,,3,,0.02,0.17,-0.07,,,,1.0,,8.0,2.0,1.0,,,2.0,,1.0,,2.0,1.0,3.0,,0.5429,-0.22,,2.0,,,,1.0,,,,,,
14109656,away,Göztepe,Juan Santos da Silva,juan,Juan,F,9,176.0,1031,M,1009928,EUR,1015459200,F,9,9,False,15.0,9.0,,,0.0,,,9.0,15.0,3.0,1.0,,,,,,,86.0,24.0,6.2,12.0,0.14368,,1,,-0.1,-0.23,-0.06,,,,,3.0,7.0,1.0,1.0,,,1.0,,5.0,,,,,,0.0981,-0.17,5.0,1.0,,,3.0,,,1.0,,,,
14109656,away,Göztepe,Janderson,janderson,Janderson,F,39,189.0,658,M,1462989,EUR,925948800,F,39,39,False,14.0,5.0,,,0.0,,,5.0,14.0,1.0,1.0,,,,,,,76.0,30.0,5.8,20.0,0.0168016,,1,,-0.7,0.22,-0.01,,Janderson,,1.0,,10.0,,,,,1.0,,5.0,,3.0,1.0,,,0.047,0.01,6.0,2.0,,1.0,1.0,,1.0,,0.0176,,,
14109656,away,Göztepe,Novatus Miroshi,novatus-miroshi,N. Miroshi,M,20,185.0,3867,M,1103597,EUR,1030924800,D,20,20,True,13.0,12.0,1.0,1.0,0.0,3.0,3.0,9.0,10.0,,1.0,,,,,,,27.0,16.0,6.8,2.0,0.0267612,,0,,0.09,0.16,0.16,,,,,,2.0,,,,,1.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,novatus_40
14109656,away,Göztepe,Ibrahim Sabra,ibrahim-sabra,I. Sabra,F,7,183.0,526,M,1522038,EUR,1138752000,F,7,7,True,5.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,14.0,8.0,6.3,4.0,0.00452559,,0,,-0.04,-0.53,-0.04,,Ibrahim Sabra,,1.0,2.0,6.0,1.0,,,,1.0,,2.0,,,,,,,,,2.0,,,,,,,,,,
14109656,away,Göztepe,Taha Altıkardeş,taha-altikardes,T. Altıkardeş,D,4,188.0,271,M,1101279,EUR,1061510400,D,4,4,True,4.0,2.0,1.0,,0.0,,,2.0,4.0,,2.0,,,,,,,12.0,7.0,6.5,4.0,0.00191318,,0,,0.04,0.01,0.16,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,
14109656,away,Göztepe,Ahmed Ildız,ahmed-ildiz,A. Ildız,M,66,181.0,50,M,849329,EUR,849139200,M,8,8,True,,,,,0.0,,,,,,,,,,,,,12.0,2.0,6.6,1.0,,,0,,,,0.16,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
14109656,away,Göztepe,İsmail Köybaşı,ismail-koybasi,İ. Köybaşı,M,12,177.0,93,M,43605,EUR,616032000,D,12,12,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,,12.0,6.0,6.7,2.0,0.00048552,,0,,-0.01,0.03,0.13,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,
14109656,away,Göztepe,Ekrem Kılıçarslan,ekrem-kilicarslan,E. Kılıçarslan,G,17,187.0,34,M,852187,EUR,872208000,G,17,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109656,away,Göztepe,Uğur Kaan Yıldız,ugur-kaan-yildiz,U. K. Yıldız,D,22,181.0,91,M,995383,EUR,1028592000,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109656,away,Göztepe,Furkan Bayır,furkan-bayir,F. Bayır,D,23,188.0,77,M,1003161,EUR,950054400,D,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109656,away,Göztepe,Ruan,ruan,Ruan,D,2,174.0,157,M,868049,EUR,801705600,D,13,13,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109656,away,Göztepe,Tibet Durakcay,tibet-durakcay,T. Durakcay,F,33,,15,M,2023967,EUR,1138752000,F,33,33,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
