match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wasFouled,stat_outfielderBlock,stat_unsuccessfulTouch,stat_goalAssist,stat_challengeLost,stat_keyPass,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_shotOffTarget,stat_accurateCross,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_penaltyConceded,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_penaltyWon
10408645,home,Celta Vigo,Carlos Domínguez,carlos-dominguez,C. Domínguez,D,24,187.0,207,M,1069703,EUR,981849600,D,26,26,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408645,home,Celta Vigo,Williot Swedberg,williot-swedberg,W. Swedberg,M,19,185.0,4221,M,1126779,EUR,1075593600,M,19,19,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408645,home,Celta Vigo,Luca De La Torre,luca-de-la-torre,L. D. L. Torre,M,14,178.0,551,M,846492,EUR,895881600,M,23,23,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408645,home,Celta Vigo,Miguel Baeza,miguel-baeza,M. Baeza,M,8,177.0,123,M,902051,EUR,954115200,M,16,16,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408645,home,Celta Vigo,Miguel Rodríguez,miguel-rodriguez,M. Rodríguez,M,22,179.0,653,M,1014118,EUR,1051574400,F,29,29,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408645,home,Celta Vigo,Fran Lopez,lopez-fran,F. Lopez,F,19,,10,M,1395757,EUR,1011830400,F,32,32,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,Fran,Lopez,,,,,,,,,,,,,
10408645,away,Espanyol,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186.0,336,M,123207,EUR,672624000,G,13,13,False,23.0,15.0,18.0,10.0,8.0,8.0,7.0,15.0,,,4.0,,,90.0,29.0,6.2,9.0,0.0,0.0,0.00147188,0,-0.9602,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,
10408645,away,Espanyol,Óscar Gil,oscar-gil,Ó. Gil,D,27,175.0,90,M,959820,EUR,893548800,D,2,2,False,34.0,30.0,1.0,1.0,21.0,22.0,9.0,12.0,,6.0,2.0,,,90.0,52.0,6.2,10.0,0.0,0.0,0.00678209,0,,,,1.0,8.0,,,2.0,1.0,3.0,2.0,1.0,,4.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
10408645,away,Espanyol,Sergi Gómez,sergi-gomez,S. Gómez,D,5,185.0,195,M,125625,EUR,701740800,D,24,24,False,57.0,46.0,13.0,4.0,33.0,35.0,13.0,22.0,2.0,3.0,11.0,,,90.0,68.0,6.6,12.0,0.0,0.0,0.00766335,0,,,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10408645,away,Espanyol,Leandro Cabrera,leandro-cabrera,L. Cabrera,D,6,190.0,819,M,81992,EUR,677116800,D,4,4,False,53.0,39.0,13.0,5.0,31.0,35.0,8.0,18.0,7.0,10.0,7.0,,,90.0,71.0,7.0,14.0,0.0,0.0,0.00174816,0,,True,,3.0,4.0,7.0,5.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
