match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_possessionLostCtrl,stat_keyPass,stat_totalLongBalls,stat_accurateLongBalls,stat_aerialWon,stat_shotOffTarget,stat_lastManTackle,stat_fouls,stat_expectedGoals,stat_penaltyWon,captain,player_firstName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,player_lastName,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_clearanceOffLine,stat_ownGoals,stat_penaltyConceded,stat_errorLeadToAShot
12450212,home,Olympique de Marseille,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189,13363,M,gerorulli,128383,EUR,706320000,G,1,1,False,18.0,18.0,0.0,18.0,18.0,1.0,2.0,4.0,1.0,1.0,1.0,90.0,23.0,6.5,5.822e-05,0,-0.2405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450212,home,Olympique de Marseille,Amir Murillo,michael-murillo,A. Murillo,D,62,183,3561,M,,839493,EUR,823996800,D,62,62,False,85.0,81.0,1.0,39.0,40.0,4.0,3.0,6.0,1.0,,,90.0,113.0,8.3,0.452044,0,,43.0,47.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12450212,home,Olympique de Marseille,Geoffrey Kondogbia,geoffrey-kondogbia,G. Kondogbia,M,19,188,2269,M,,96544,EUR,729734400,D,19,19,False,80.0,76.0,0.0,55.0,55.0,7.0,1.0,3.0,1.0,,,90.0,91.0,7.3,0.00796057,1,,21.0,25.0,,,,1.0,,,,,,,2.0,5.0,3.0,,4.0,,4.0,1.0,1.0,1.0,1.0,1.0,0.0364,,,,,,,,,,,,,,,,,,
12450212,home,Olympique de Marseille,Ulisses Garcia,ulisses-garcia,U. Garcia,D,23,185,742,M,,558320,EUR,821318400,D,6,6,False,77.0,74.0,1.0,30.0,30.0,5.0,1.0,3.0,1.0,,,90.0,94.0,8.0,0.188234,1,,45.0,52.0,5.0,1.0,,3.0,1.0,,2.0,1.0,,,2.0,3.0,2.0,,8.0,1.0,3.0,3.0,,1.0,,1.0,0.0175,1.0,,,,,,,,,,,,,,,,,
12450212,home,Olympique de Marseille,Luís Henrique,luis-henrique,L. Henrique,M,11,181,6103,M,,977679,EUR,1008288000,M,44,44,False,53.0,46.0,0.0,6.0,7.0,3.0,2.0,2.0,,,,86.0,76.0,6.7,0.141775,0,,43.0,50.0,4.0,3.0,1.0,6.0,,1.0,5.0,2.0,,,,1.0,,3.0,16.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
12450212,home,Olympique de Marseille,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185,4495,M,hojbjerg23,149593,EUR,807580800,M,23,23,False,109.0,103.0,0.0,41.0,42.0,5.0,1.0,8.0,2.0,,,90.0,123.0,7.8,0.190274,2,,62.0,67.0,,,,5.0,1.0,3.0,,,,,1.0,3.0,3.0,,9.0,3.0,3.0,3.0,,2.0,,1.0,0.2416,,True,,,,,,,,,,,,,,,,
12450212,home,Olympique de Marseille,Valentin Rongier,valentin-rongier,V. Rongier,M,21,172,1149,M,,581314,EUR,786758400,M,21,21,False,68.0,64.0,0.0,22.0,22.0,2.0,,2.0,,,,65.0,75.0,6.8,0.279852,0,,42.0,46.0,,,,5.0,2.0,1.0,,,,1.0,1.0,2.0,1.0,,5.0,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,
12450212,home,Olympique de Marseille,Quentin Merlin,quentin-merlin,Q. Merlin,M,26,173,1164,M,,1102502,EUR,1021507200,M,3,3,False,52.0,43.0,0.0,12.0,13.0,1.0,,6.0,,,,78.0,80.0,7.2,0.159682,2,,34.0,48.0,9.0,3.0,,2.0,,1.0,,,,,,1.0,1.0,1.0,17.0,2.0,3.0,1.0,,1.0,,1.0,0.5182,,,Quentin Merlin,1.0,1.0,1.0,0.2722,,,,,,,,,,,
12450212,home,Olympique de Marseille,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181,65939,M,MGreenwood,942116,EUR,1001894400,F,10,10,False,59.0,49.0,0.0,7.0,7.0,4.0,,4.0,1.0,,,90.0,82.0,8.6,0.156334,5,,43.0,54.0,2.0,1.0,,7.0,1.0,5.0,3.0,2.0,,,,1.0,1.0,5.0,22.0,2.0,3.0,2.0,,2.0,,,1.6245,,,,1.0,3.0,1.0,1.8403,2.0,,,,,,,,,,
12450212,home,Olympique de Marseille,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,11335,M,adrienrabiot_25,250737,EUR,796867200,F,25,25,False,58.0,55.0,0.0,17.0,17.0,2.0,,3.0,,,,90.0,69.0,7.5,0.360355,2,,38.0,42.0,1.0,,,6.0,,2.0,1.0,,,,,2.0,1.0,3.0,10.0,,4.0,3.0,,,,3.0,0.6645,,,,,2.0,,0.585,1.0,1.0,,,,,,,,,
