match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_errorLeadToAShot,stat_wasFouled,stat_accurateCross,stat_keyPass,stat_blockedScoringAttempt,captain,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist,stat_goals
10390006,home,Angers,Yahia Fofana,yahia-fofana,Y. Fofana,G,75,194,3568,M,yahia.fofana_,877977,EUR,966816000,G,30,30,False,36.0,19.0,21.0,4.0,17.0,20.0,2.0,16.0,1.0,1.0,1.0,8.0,3.0,4.0,90.0,47.0,6.4,17.0,0.0,0.0,0.00104275,0,-1.0642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390006,home,Angers,Yan Valery,yan-valery,Y. Valery,D,22,186,2305,M,,826202,EUR,919641600,D,94,94,False,28.0,22.0,3.0,1.0,11.0,13.0,11.0,17.0,3.0,2.0,1.0,6.0,,,90.0,51.0,6.2,15.0,0.0456,0.0,0.0137788,1,,,,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
10390006,home,Angers,Cédric Hountondji,cedric-hountondji,C. Hountondji,D,4,195,551,M,,342911,EUR,758937600,D,22,22,False,29.0,23.0,3.0,1.0,21.0,23.0,2.0,6.0,4.0,,,8.0,,,90.0,37.0,6.6,6.0,0.0,0.0,0.00174366,0,,,,,1.0,2.0,1.0,,,,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
10390006,home,Angers,Miha Blažič,miha-blazic,M. Blažič,D,16,185,178,M,,96552,EUR,736819200,D,5,5,False,49.0,47.0,3.0,2.0,39.0,39.0,8.0,10.0,2.0,,,4.0,,,90.0,56.0,6.2,3.0,0.0,0.0,0.00315634,0,,,,,,1.0,,,,,3.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,
10390006,home,Angers,Souleyman Doumbia,souleyman-doumbia,S. Doumbia,D,15,175,136,M,,366760,EUR,843523200,D,3,3,False,26.0,21.0,1.0,,13.0,13.0,9.0,15.0,4.0,8.0,2.0,10.0,,,90.0,56.0,5.9,14.0,0.0,0.0,0.134867,0,,,,2.0,,2.0,10.0,3.0,,,3.0,,3.0,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,
10390006,home,Angers,Azzedine Ounahi,azzedine-ounahi,A. Ounahi,M,18,182,33691,M,azzedine_ounahi,991421,EUR,956102400,M,8,8,False,22.0,18.0,1.0,1.0,3.0,4.0,15.0,18.0,4.0,3.0,2.0,2.0,,,75.0,33.0,6.6,6.0,0.1412,0.0,0.0197405,2,,,,,1.0,,2.0,,,,,,1.0,,,,,,2.0,,2.0,2.0,,,,,,,,,,
10390006,home,Angers,Batista Mendy,batista-mendy,B. Mendy,M,19,191,1300,M,,859021,EUR,947635200,M,2,2,False,25.0,20.0,2.0,2.0,9.0,10.0,11.0,15.0,4.0,1.0,1.0,4.0,,,75.0,35.0,6.7,6.0,0.0,0.0,0.00521307,0,,,,,1.0,,2.0,,,,1.0,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
10390006,home,Angers,Nabil Bentaleb,nabil-bentaleb,N. Bentaleb,M,6,187,8306,M,nabilbentaleb,368120,EUR,785635200,M,6,6,False,55.0,46.0,5.0,2.0,22.0,27.0,24.0,30.0,8.0,1.0,1.0,6.0,,,90.0,70.0,7.4,13.0,0.1414,0.0,0.0201456,3,,,,2.0,,1.0,6.0,1.0,2.0,3.0,,,,5.0,2.0,,3.0,,1.0,,2.0,,True,1.0,,,,,,,,
10390006,home,Angers,Sofiane Boufal,sofiane-boufal,S. Boufal,F,17,175,14009,M,Sofianeboufal_19,257205,EUR,748224000,M,7,7,False,35.0,33.0,2.0,2.0,9.0,9.0,25.0,30.0,5.0,1.0,,5.0,,,85.0,60.0,7.1,11.0,0.3983,0.6983,0.0766894,4,,,,4.0,,,6.0,1.0,1.0,1.0,1.0,,1.0,,,3.0,3.0,,5.0,1.0,3.0,,,,3.0,,,,,,,
10390006,home,Angers,Abdallah Sima,abdallah-sima,A.Sima,F,19,188,2455,M,,1029018,EUR,992736000,F,19,19,False,10.0,8.0,,,2.0,3.0,6.0,8.0,1.0,2.0,,,,,67.0,16.0,6.5,7.0,0.0315,0.0341,0.0230473,1,,,,1.0,2.0,1.0,4.0,,,,,,,,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,
10390006,home,Angers,Adrien Hunou,adrien-hunou,A. Hunou,M,23,176,98,M,,283083,EUR,758937600,F,23,23,False,23.0,21.0,1.0,,8.0,9.0,13.0,14.0,6.0,,,6.0,,,75.0,35.0,6.6,4.0,0.1516,0.0,0.0170521,2,,,,,1.0,,3.0,2.0,,2.0,,,,3.0,2.0,1.0,,,3.0,,1.0,,,,,,1.0,,,,,
