match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_wasFouled,stat_dispossessed,stat_accurateCross,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_penaltyConceded,stat_penaltyWon,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_penaltyMiss,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_goals,stat_ownGoals,stat_goalAssist,stat_bigChanceCreated
10665998,home,Al-Khaleej,Douglas Friedrich,,,douglas-friedrich,D. Friedrich,G,36,193,156,M,838439,EUR,597888000,G,1,1,False,18.0,17.0,3.0,2.0,16.0,16.0,1.0,2.0,5.0,1.0,1.0,1.0,90.0,23.0,6.1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665998,home,Al-Khaleej,Hussain Al-Nuweqi,Hussain Al-Nuweqi,,hussain-al-nuweqi,H. Al-Nuweqi,D,27,170,14,M,1525073,EUR,817948800,D,27,27,False,30.0,20.0,4.0,,11.0,15.0,9.0,19.0,4.0,,,,70.0,58.0,6.1,21.0,1,True,4.0,2.0,2.0,5.0,6.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10665998,home,Al-Khaleej,Abdullah Al-Shanqiti,Abdullah Alshenqiti,,abdullah-al-shanqiti,A. Al-Shanqiti,D,13,179,10,M,1085896,EUR,914284800,D,13,13,False,54.0,44.0,5.0,1.0,30.0,32.0,14.0,22.0,7.0,,,,90.0,66.0,6.3,12.0,0,,,,2.0,2.0,5.0,2.0,2.0,,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10665998,home,Al-Khaleej,Djamel Benlamri,,,djamel-benlamri,D. Benlamri,D,,190,1610,M,849651,EUR,630547200,D,4,4,False,33.0,30.0,8.0,5.0,16.0,16.0,14.0,17.0,4.0,,,,62.0,41.0,6.6,5.0,0,,,2.0,,2.0,3.0,,,,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
10665998,home,Al-Khaleej,Hazim Al Zahrani,,,hazim-al-zahrani,H. A. Zahrani,D,24,171,8,M,982332,EUR,924825600,D,16,16,False,31.0,20.0,5.0,,11.0,14.0,9.0,23.0,3.0,,,,77.0,50.0,6.3,20.0,0,,6.0,,,1.0,3.0,,,,,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10665998,home,Al-Khaleej,André Poko,,,andre-poko,A. B. Poko,M,53,173,385,M,177103,EUR,725846400,M,15,15,False,42.0,32.0,2.0,,10.0,11.0,23.0,33.0,4.0,,,,90.0,73.0,7.3,20.0,1,,2.0,,,4.0,9.0,3.0,,,1.0,6.0,4.0,4.0,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10665998,home,Al-Khaleej,Lucas Souza,,,lucas-souza,L. Souza,M,,186,38,M,311608,EUR,647049600,M,8,8,False,85.0,65.0,8.0,4.0,22.0,29.0,43.0,56.0,11.0,,,,90.0,107.0,6.0,25.0,0,,,7.0,6.0,13.0,7.0,2.0,,,1.0,,,2.0,3.0,1.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,
10665998,home,Al-Khaleej,Hamad Al Abdan,,,hamad-al-abdan,H. A. Abdan,M,,165,13,M,1019294,EUR,959299200,M,99,99,False,24.0,22.0,1.0,,11.0,11.0,11.0,13.0,2.0,,,,45.0,30.0,6.5,5.0,1,,,,,5.0,2.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,
10665998,home,Al-Khaleej,Morato,,,morato,Morato,M,12,170,60,M,866468,EUR,715305600,F,10,10,False,34.0,29.0,,,6.0,6.0,25.0,39.0,4.0,,,,90.0,64.0,7.3,19.0,0,,11.0,1.0,,5.0,2.0,2.0,,,,2.0,1.0,2.0,,2.0,,,2.0,,,1.0,,,1.0,,,,,,,,,,
10665998,home,Al-Khaleej,Sokol Cikalleshi,,,sokol-cikalleshi,S. Cikalleshi,F,,185,338,M,81138,EUR,646444800,F,9,9,False,23.0,16.0,1.0,1.0,5.0,6.0,12.0,18.0,4.0,,,,90.0,42.0,6.3,16.0,2,,1.0,3.0,1.0,7.0,4.0,1.0,,,,1.0,,5.0,,,2.0,3.0,1.0,1.0,,,,,2.0,1.0,1.0,2.0,1.0,,,,,,
