match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_accurateCross,stat_unsuccessfulTouch,stat_keyPass,captain,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_punches,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_penaltyWon
11407440,home,Atalanta,Juan Musso,juan-musso,J. Musso,G,1,191,4938,M,juanmusso,263651,EUR,768182400,G,1,1,False,20.0,12.0,11.0,3.0,10.0,13.0,2.0,7.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,90.0,32.0,6.3,9.0,0.00074314,0,0.1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407440,home,Atalanta,Giorgio Scalvini,giorgio-scalvini,G. Scalvini,D,42,194,3375,M,,1012176,EUR,1071100800,D,42,42,False,39.0,30.0,6.0,2.0,17.0,19.0,13.0,21.0,4.0,3.0,,2.0,,,,,62.0,50.0,6.8,10.0,0.0107661,1,,,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0278,0.0227,,,,,,,,,,,,,,,,,,
11407440,home,Atalanta,Berat Djimsiti,berat-djimsiti,B. Djimsiti,D,19,190,2156,M,,151003,EUR,730080000,D,19,19,False,63.0,55.0,4.0,3.0,40.0,42.0,15.0,21.0,1.0,5.0,,,,,,,90.0,70.0,6.8,8.0,0.00396106,1,,,,,1.0,3.0,5.0,,,1.0,,2.0,2.0,1.0,0.0751,,1.0,,,,,,,,,,,,,,,,,
11407440,home,Atalanta,Sead Kolašinac,sead-kolasinac,S. Kolašinac,D,23,183,3276,M,,142148,EUR,740534400,D,23,23,False,22.0,19.0,,,11.0,11.0,8.0,11.0,7.0,3.0,,3.0,,,,,55.0,33.0,6.5,4.0,0.00096977,0,,,,,3.0,,1.0,1.0,,1.0,,6.0,,,,,,1.0,,,,,,,,,,,,,,,,
11407440,home,Atalanta,Davide Zappacosta,davide-zappacosta,D. Zappacosta,M,77,182,2125,M,,132318,EUR,708220800,M,77,77,False,20.0,17.0,1.0,,9.0,10.0,10.0,14.0,,2.0,,,,,,,55.0,33.0,6.6,8.0,0.128988,0,,,,4.0,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,
11407440,home,Atalanta,Marten de Roon,marten-de-roon,M. de Roon,M,15,185,1856,M,,100389,EUR,670204800,M,15,15,False,65.0,51.0,9.0,5.0,16.0,22.0,35.0,44.0,3.0,7.0,,2.0,,,,,90.0,72.0,6.7,15.0,0.0401481,0,,,,1.0,1.0,3.0,4.0,1.0,,2.0,,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,
11407440,home,Atalanta,Éderson,ederson,Éderson,M,13,183,7659,M,ederson99,946888,EUR,931305600,M,13,13,False,57.0,52.0,3.0,2.0,25.0,28.0,28.0,30.0,6.0,7.0,,1.0,,,,,90.0,72.0,6.9,8.0,0.0678749,0,,,,1.0,1.0,,6.0,2.0,,,1.0,2.0,3.0,1.0,,,,2.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,
11407440,home,Atalanta,Matteo Ruggeri,matteo-ruggeri,M. Ruggeri,M,3,187,2490,M,,965011,EUR,1026345600,M,22,22,False,55.0,51.0,8.0,7.0,24.0,25.0,28.0,32.0,2.0,8.0,,,,,,,90.0,73.0,7.0,7.0,0.0131701,1,,,,2.0,1.0,,1.0,,,,,1.0,1.0,,0.0589,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,
11407440,home,Atalanta,Ademola Lookman,ademola-lookman,A. Lookman,F,22,174,80703,M,molalookman,824200,EUR,877305600,F,11,11,False,41.0,34.0,,,10.0,11.0,24.0,33.0,4.0,5.0,,,,,,,80.0,61.0,8.0,15.0,0.355979,3,,,,3.0,2.0,2.0,9.0,,1.0,,,,1.0,1.0,0.1382,0.174,1.0,4.0,,3.0,1.0,,1.0,3.0,2.0,1.0,,1.0,1.0,,,,,
11407440,home,Atalanta,Teun Koopmeiners,teun-koopmeiners,T. Koopmeiners,M,8,183,6981,M,teunkoopmeiners,803033,EUR,888624000,F,7,7,False,41.0,35.0,2.0,1.0,14.0,16.0,23.0,31.0,13.0,3.0,,3.0,,,,,80.0,70.0,6.6,22.0,0.21079,0,,,,6.0,1.0,1.0,3.0,1.0,,1.0,,,,,,,,,2.0,4.0,3.0,,3.0,7.0,2.0,,,,,,,,,
