match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotValueNormalized,stat_outfielderBlock,stat_errorLeadToAShot,stat_lastManTackle,stat_totalContest,stat_keyPass,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_totalOffside,stat_accurateCross
14062175,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,34.0,22.0,22.0,10.0,0.0,13.0,15.0,9.0,19.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,90.0,42.0,7.4,12.0,0.00311376,78.681481324852,9.0,40.53,9.87,0.3402,0,0.296,0.11,0.04,0.22,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062175,home,TSG Hoffenheim,Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1730,M,138024,EUR,714441600,D,34,34,False,,26.0,18.0,4.0,1.0,0.0,3.0,5.0,15.0,21.0,3.0,4.0,,,,,,90.0,56.0,6.8,20.0,0.0137557,87.099340511871,7.0,55.65,30.765,,2,,0.06,0.07,-0.06,,,,5.0,1.0,3.0,7.0,6.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.1296,0.2935,50.736600912916,2.0,-0.13,,,,,,,,,,,,,
14062175,home,TSG Hoffenheim,Robin Hranáč,robin-hranac,R. Hranáč,D,2,189,292,M,957615,EUR,949104000,D,2,2,False,,27.0,21.0,4.0,1.0,0.0,12.0,15.0,9.0,12.0,14.0,2.0,,,,,,90.0,50.0,7.0,8.0,0.0107991,44.431876025293,5.0,-6.3,9.03,,0,,0.11,0.09,0.2,,,,,1.0,6.0,4.0,7.0,1.0,,,,2.0,1.0,1.0,2.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,
14062175,home,TSG Hoffenheim,Albian Hajdari,albian-hajdari,A. Hajdari,D,21,189,835,M,1000269,EUR,1053216000,D,21,21,False,,25.0,21.0,5.0,1.0,0.0,13.0,13.0,8.0,12.0,7.0,2.0,,,,,,90.0,40.0,7.5,4.0,0.00696245,36.476797952019,6.0,7.56,6.615,,1,,0.16,0.07,0.96,,,,,4.0,2.0,5.0,5.0,,,1.0,,1.0,2.0,1.0,,1.0,1.0,0.0189,,,,-0.1,,,1.0,,,,,,,,,,
14062175,home,TSG Hoffenheim,Bernardo,bernardo,Bernardo,D,13,186,580,M,828571,EUR,800409600,D,13,13,False,,34.0,25.0,6.0,1.0,0.0,11.0,15.0,14.0,19.0,5.0,6.0,,,,,,90.0,59.0,7.7,10.0,0.00692685,62.492122577947,10.0,11.76,6.3,,0,,0.11,0.01,0.36,,,,1.0,1.0,3.0,2.0,11.0,1.0,,,,3.0,7.0,5.0,,2.0,,,,,,,,,,,,,,,,,,,
14062175,home,TSG Hoffenheim,Leon Avdullahu,avdullahu-leon,L. Avdullahu,M,7,185,842,M,1493305,EUR,1077494400,M,7,7,False,,42.0,34.0,5.0,1.0,0.0,13.0,16.0,21.0,26.0,1.0,9.0,,,,,,90.0,56.0,7.2,9.0,0.0406404,72.304111420954,8.0,32.76,21.735,,1,,0.34,0.13,0.21,,,,,,2.0,4.0,4.0,1.0,,1.0,,2.0,2.0,2.0,,,2.0,0.0313,,22.507983672466,1.0,-0.03,1.0,,,1.0,2.0,,,,,,,,
14062175,home,TSG Hoffenheim,Wouter Burger,wouter-burger,W. Burger,M,18,190,820,M,916946,EUR,982281600,M,18,18,False,,50.0,38.0,9.0,3.0,0.0,12.0,13.0,26.0,37.0,3.0,5.0,,,,,,90.0,67.0,8.1,18.0,0.565637,70.186338709088,11.0,39.69,15.015,,2,,0.5,0.16,-0.04,,,,2.0,1.0,2.0,5.0,2.0,,,,2.0,1.0,,,2.0,,4.0,0.1234,0.2522,,,0.57,,,,1.0,5.0,2.0,1.0,,,,,,
14062175,home,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,M,27,27,False,,27.0,19.0,,,0.0,4.0,5.0,15.0,22.0,,7.0,,,,,,79.0,36.0,7.0,14.0,0.135701,169.16577527827,13.0,129.15,32.34,,2,,0.28,0.47,0.0,,,,1.0,1.0,,3.0,1.0,,2.0,1.0,,,,,1.0,,,0.1365,,102.54592150994,4.0,0.04,,,,1.0,1.0,1.0,,andrejkramaric,1.0,1.0,,,
14062175,home,TSG Hoffenheim,Fisnik Asllani,fisnik-asllani,F. Asllani,F,11,186,3700,M,1010117,EUR,1028764800,M,11,11,False,,18.0,14.0,,,0.0,3.0,4.0,11.0,14.0,1.0,3.0,,,,,,69.0,28.0,6.8,8.0,0.104984,76.239798405546,8.0,38.115,25.725,,2,,0.32,0.34,-0.04,,,,,3.0,,10.0,2.0,1.0,2.0,,2.0,,1.0,,,1.0,2.0,0.5396,0.5018,53.139383140912,3.0,0.08,,,,2.0,1.0,,,,,,1.0,1.0,
14062175,home,TSG Hoffenheim,Alexander Prass,alexander-prass,A. Prass,M,22,180,665,M,978062,EUR,990835200,M,22,22,False,,26.0,23.0,3.0,3.0,0.0,8.0,9.0,15.0,17.0,3.0,6.0,,,,,,79.0,44.0,6.9,9.0,0.166727,131.44520082062,14.0,61.005,24.15,,3,,0.2,0.02,0.15,,,,5.0,,1.0,4.0,4.0,1.0,,2.0,1.0,,3.0,2.0,1.0,,2.0,0.1609,0.183,35.944714911461,2.0,-0.25,,,,1.0,2.0,,,,,,1.0,,2.0
