match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_aerialLost,stat_shotOffTarget,stat_ownGoals,stat_totalContest,stat_keyPass,stat_totalCross,stat_accurateCross,stat_wasFouled,stat_onTargetScoringAttempt,stat_dispossessed,stat_goals,stat_totalOffside,stat_wonContest,stat_penaltyFaced,stat_punches,stat_penaltyConceded,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
10407180,home,Sint-Truidense VV,Daniel Schmidt,daniel-schmidt,D. Schmidt,G,1,196,252,M,997499,EUR,697075200,G,21,21,False,35.0,26.0,13.0,4.0,26.0,29.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,90.0,41.0,6.0,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407180,home,Sint-Truidense VV,Wolke Janssens,janssens-wolke,W. Janssens,D,22,185,39,M,794418,EUR,789782400,D,22,22,False,65.0,55.0,11.0,5.0,33.0,33.0,32.0,3.0,1.0,6.0,1.0,,,90.0,77.0,6.7,11.0,1,,,22.0,3.0,6.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10407180,home,Sint-Truidense VV,Toni Leistner,toni-leistner,T. Leistner,D,37,190,101,M,137053,EUR,651024000,D,37,37,False,60.0,49.0,8.0,6.0,34.0,39.0,21.0,2.0,,5.0,1.0,,,90.0,73.0,6.7,13.0,4,,,15.0,1.0,3.0,1.0,1.0,1.0,,2.0,1.0,,True,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,
10407180,home,Sint-Truidense VV,Ameen Al-Dakhil,al-dhakil,A. Al-Dakhil,D,2,185,551,M,1979970,EUR,1015372800,D,3,3,False,83.0,71.0,14.0,8.0,42.0,46.0,37.0,5.0,2.0,13.0,1.0,,,90.0,95.0,6.6,15.0,0,Ameen,Al-Dakhil,29.0,1.0,4.0,,1.0,,2.0,3.0,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,
10407180,home,Sint-Truidense VV,Daiki Hashioka,daiki-hashioka,D. Hashioka,D,4,185,1033,M,897334,EUR,926899200,M,4,4,False,38.0,32.0,2.0,1.0,11.0,12.0,32.0,6.0,1.0,3.0,2.0,,,90.0,66.0,7.0,16.0,0,,,23.0,1.0,6.0,,1.0,1.0,1.0,3.0,2.0,1.0,,3.0,,,1.0,,6.0,2.0,2.0,,,,,,,,,,,,,
10407180,home,Sint-Truidense VV,Shinji Kagawa,shinji-kagawa,S. Kagawa,M,8,175,1076,M,34853,EUR,606096000,M,10,10,False,20.0,18.0,5.0,4.0,6.0,6.0,15.0,4.0,2.0,3.0,1.0,,,45.0,23.0,6.1,5.0,0,,,12.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,
10407180,home,Sint-Truidense VV,Mory Konate,mory-konate,M. Konate,M,8,191,1286,M,889927,EUR,753321600,M,6,6,False,44.0,35.0,2.0,,12.0,13.0,31.0,2.0,,8.0,2.0,,,90.0,55.0,7.3,11.0,1,,,23.0,2.0,7.0,,,,3.0,3.0,2.0,2.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,
10407180,home,Sint-Truidense VV,Christian Brüls,christian-bruls,C. Brüls,M,22,179,63,M,43432,EUR,591580800,M,44,44,False,62.0,54.0,7.0,6.0,19.0,21.0,55.0,6.0,1.0,8.0,3.0,,,90.0,101.0,8.2,26.0,3,,,41.0,2.0,7.0,1.0,,,,3.0,2.0,,,,1.0,,3.0,8.0,14.0,6.0,2.0,1.0,2.0,1.0,,,,,,,,,,
10407180,home,Sint-Truidense VV,Stan Van Dessel,van-dessel-stan,S. V. Dessel,M,8,162,52,M,990146,EUR,995932800,M,19,19,False,21.0,16.0,4.0,3.0,8.0,9.0,16.0,5.0,2.0,4.0,,,,45.0,43.0,6.5,8.0,0,,,10.0,,3.0,,,,,1.0,,1.0,,1.0,,,1.0,1.0,4.0,2.0,2.0,,,,,,,,,,,,,
10407180,home,Sint-Truidense VV,Shinji Okazaki,shinji-okazaki,S. Okazaki,F,,174,438,M,19303,EUR,513993600,F,30,30,False,17.0,13.0,,,3.0,6.0,11.0,3.0,,1.0,4.0,,,77.0,26.0,6.7,9.0,2,,,10.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,
