match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_outfielderBlock,stat_dispossessed,stat_wasFouled,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_goodHighClaim,stat_lastManTackle,stat_errorLeadToAGoal
12441701,home,Fortuna Sittard,Mattijs Branderhorst,mattijs-branderhorst,M. Branderhorst,G,31,192.0,151,M,146871,EUR,757296000,G,31,31,False,16.0,8.0,11.0,3.0,0.0,5.0,6.0,3.0,10.0,3.0,8.0,4.0,4.0,2.0,2.0,90.0,24.0,7.7,8.0,0.00331394,0,0.7595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441701,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184.0,113,M,78730,EUR,631670400,D,12,12,False,35.0,24.0,10.0,4.0,0.0,12.0,17.0,13.0,20.0,3.0,8.0,,,,,90.0,59.0,7.2,16.0,0.272986,0,,True,2.0,1.0,4.0,7.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12441701,home,Fortuna Sittard,Syb van Ottele,syb-van-ottele,S. v. Ottele,D,6,185.0,91,M,961686,EUR,1012608000,D,6,6,False,48.0,34.0,9.0,3.0,0.0,25.0,32.0,9.0,17.0,5.0,6.0,,,,,90.0,69.0,7.9,16.0,0.00454636,2,,,1.0,,1.0,2.0,9.0,1.0,1.0,2.0,6.0,5.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,0.0628,0.0191,,,,,,,,,,,
12441701,home,Fortuna Sittard,Rodrigo Guth,rodrigo-guth,R. Guth,D,14,191.0,291,M,905458,EUR,973814400,D,14,14,False,39.0,31.0,3.0,,0.0,26.0,27.0,5.0,12.0,6.0,2.0,,,,,90.0,52.0,7.5,10.0,0.00540458,0,,,,,1.0,3.0,8.0,,,2.0,3.0,3.0,1.0,2.0,,Rodrigo,Guth,5.0,,,,,,,,,,,,,,,,
12441701,home,Fortuna Sittard,Mitchell Dijks,mitchell-dijks,M. Dijks,D,24,192.0,201,M,235400,EUR,729216000,D,35,35,False,29.0,22.0,4.0,1.0,0.0,11.0,13.0,11.0,19.0,1.0,2.0,,,,,90.0,48.0,7.1,14.0,0.0128252,1,,,3.0,,1.0,1.0,3.0,3.0,3.0,,,,1.0,,,,,,,,1.0,0.1234,0.1813,1.0,1.0,,,,,,,,,
12441701,home,Fortuna Sittard,Édouard Michut,edouard-michut,É. Michut,M,20,178.0,697,M,1048011,EUR,1046736000,M,20,20,False,25.0,24.0,1.0,,0.0,12.0,12.0,13.0,15.0,1.0,3.0,,,,,56.0,39.0,6.5,6.0,0.0637747,0,,,2.0,1.0,,6.0,3.0,2.0,,3.0,,,1.0,1.0,,,,1.0,2.0,,,,,,,1.0,2.0,,,,,,,
12441701,home,Fortuna Sittard,Ryan Fosso,ryan-fosso,R. Fosso,M,80,183.0,188,M,1142147,EUR,1024272000,M,80,80,False,44.0,38.0,3.0,1.0,1.0,12.0,14.0,26.0,30.0,1.0,4.0,,,,,90.0,57.0,7.6,8.0,0.789321,1,,,,,1.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,,,2.0,Ryan,Fosso,,1.0,1.0,,0.0151,,,,,1.0,1.0,,,,,,
12441701,home,Fortuna Sittard,Kaj Sierhuis,kaj-sierhuis,K. Sierhuis,F,9,180.0,498,M,855847,EUR,893635200,M,9,9,False,15.0,9.0,1.0,,0.0,4.0,5.0,5.0,10.0,1.0,1.0,,,,,87.0,30.0,7.0,11.0,0.00630953,2,,,,,2.0,6.0,2.0,2.0,,,,,3.0,2.0,1.0,,,,1.0,1.0,1.0,1.0251,0.9952,,,,2.0,,1.0,1.0,,,,
12441701,home,Fortuna Sittard,Ezequiel Bullaude,ezequiel-bullaude,E. Bullaude,M,10,184.0,548,M,960077,EUR,972518400,M,33,33,False,17.0,14.0,,,0.0,5.0,6.0,9.0,11.0,,4.0,,,,,87.0,25.0,6.5,8.0,0.0186393,1,,,,,1.0,5.0,1.0,,,,1.0,1.0,3.0,1.0,,,,,1.0,1.0,,0.0629,,,,2.0,,,,,,,,
12441701,home,Fortuna Sittard,Kristoffer Peterson,kristoffer-peterson,K. Peterson,M,7,180.0,133,M,366942,EUR,785980800,M,7,7,False,17.0,14.0,,,0.0,6.0,6.0,9.0,15.0,1.0,4.0,,,,,68.0,27.0,6.4,9.0,0.0127968,0,,,4.0,1.0,1.0,6.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,3.0,,,,1.0,,,,
