match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_ownGoals,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_aerialLost,stat_errorLeadToAShot,stat_challengeLost,stat_outfielderBlock,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_goals,stat_punches,stat_penaltyWon,stat_penaltyMiss
11406826,home,Frosinone,Michele Cerofolini,michele-cerofolini,M. Cerofolini,G,31,191,126,M,869273,EUR,915408000,G,31,31,False,18.0,13.0,5.0,1.0,0.0,12.0,14.0,1.0,4.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,90.0,33.0,6.4,5.0,0.00012565,0,-0.6138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406826,home,Frosinone,Nadir Zortea,zortea-nadir,N. Zortea,M,20,187,1108,M,928104,EUR,929750400,D,19,19,False,37.0,32.0,2.0,2.0,0.0,21.0,22.0,12.0,20.0,6.0,3.0,,,2.0,,,,,,90.0,69.0,6.8,14.0,0.0568112,0,,5.0,1.0,1.0,5.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11406826,home,Frosinone,Caleb Okoli,caleb-okoli,C. Okoli,D,5,191,938,M,967722,EUR,994982400,D,5,5,False,61.0,49.0,9.0,2.0,0.0,26.0,31.0,23.0,30.0,6.0,5.0,,,2.0,,,,,,90.0,70.0,6.4,12.0,0.0111417,0,,,,4.0,4.0,,,,5.0,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,
11406826,home,Frosinone,Simone Romagnoli,simone-romagnoli,S. Romagnoli,D,4,193,92,M,111487,EUR,634521600,D,6,6,False,51.0,47.0,4.0,1.0,0.0,35.0,37.0,12.0,14.0,3.0,4.0,,,,,,,,,90.0,63.0,7.1,4.0,0.0857603,0,,,,4.0,5.0,,,,7.0,,1.0,1.0,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,
11406826,home,Frosinone,Emanuele Valeri,emanuele-valeri,E. Valeri,D,14,180,818,M,891346,EUR,912988800,D,32,32,False,36.0,26.0,5.0,2.0,0.0,12.0,16.0,17.0,35.0,4.0,5.0,,,1.0,,,,,,90.0,81.0,7.8,28.0,0.451297,2,,15.0,3.0,4.0,8.0,,5.0,3.0,5.0,,,,1.0,1.0,,,2.0,,,1.0,2.0,2.0,0.0232,2.0,,,,,,,,,,,,
11406826,home,Frosinone,Matías Soulé,matias-soule,M. Soulé,F,18,182,12526,M,1082406,EUR,1050364800,M,18,18,False,42.0,36.0,2.0,2.0,0.0,11.0,13.0,26.0,32.0,6.0,6.0,,,1.0,,,,,,90.0,66.0,6.9,16.0,0.120457,2,,3.0,1.0,2.0,5.0,2.0,3.0,2.0,,,1.0,1.0,5.0,,,,2.0,,,,,,0.1207,1.0,matiassoule11,2.0,,,,,,,,,,
11406826,home,Frosinone,Luca Mazzitelli,luca-mazzitelli,L. Mazzitelli,M,4,180,415,M,369866,EUR,816393600,M,36,36,False,47.0,37.0,6.0,5.0,0.0,14.0,18.0,23.0,29.0,5.0,8.0,,,1.0,,,,,,90.0,65.0,7.3,11.0,0.0436801,1,,,,2.0,9.0,,1.0,1.0,4.0,,4.0,2.0,,2.0,,,3.0,,1.0,,,,0.0313,1.0,,1.0,True,,,,,,,,,
11406826,home,Frosinone,Marco Brescianini,marco-brescianini,M. Brescianini,M,4,188,1111,M,928800,EUR,948326400,M,4,4,False,27.0,18.0,,,0.0,4.0,5.0,14.0,22.0,4.0,4.0,,,,,,,,,77.0,39.0,6.5,11.0,0.0125755,2,,,,1.0,3.0,1.0,2.0,1.0,3.0,,1.0,1.0,,,,,2.0,,,,,,0.4142,,,1.0,,1.0,1.0,2.0,0.5753,,,,,
11406826,home,Frosinone,Francesco Gelli,francesco-gelli,F. Gelli,M,10,173,62,M,595900,EUR,845337600,M,14,14,False,21.0,19.0,1.0,,0.0,6.0,6.0,14.0,19.0,3.0,1.0,,,,,,,,,77.0,32.0,6.7,8.0,0.0186161,2,,4.0,1.0,1.0,2.0,1.0,2.0,,1.0,,,,,1.0,,,,,,,,1.0,0.1293,,,,,,1.0,,0.0898,1.0,,,,
11406826,home,Frosinone,Walid Cheddira,walid-cheddira,W. Cheddira,F,99,187,3794,M,917485,EUR,885427200,F,70,70,False,13.0,9.0,,,0.0,4.0,5.0,5.0,8.0,3.0,,,,,,,,,,87.0,30.0,7.8,9.0,0.00279427,2,,,,2.0,7.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,3.0,,,2.0,,,,,,0.3093,2.0,walo_98,,,,2.0,,0.5567,,1.0,,,
