match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_accurateCross,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_keyPass,stat_totalContest,stat_wonContest,stat_errorLeadToAGoal,stat_fouls,stat_bigChanceCreated,captain,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_hitWoodwork,player_firstName,player_lastName,stat_goals,stat_totalOffside,stat_ownGoals,stat_punches,stat_clearanceOffLine,stat_errorLeadToAShot
12504638,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187,4421,M,lukaszskorupski28,44906,EUR,673401600,G,1,1,False,46.0,39.0,15.0,8.0,0.0,31.0,31.0,8.0,15.0,3.0,1.0,1.0,1.0,1.0,90.0,50.0,6.2,7.0,0.00634771,0,-2.3651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504638,home,Bologna,Emil Holm,emil-holm,E. Holm,D,2,191,1648,M,,965264,EUR,958176000,D,2,2,False,51.0,45.0,9.0,6.0,0.0,25.0,28.0,20.0,25.0,1.0,,,,,89.0,76.0,6.8,11.0,0.0231622,1,,2.0,2.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0226,,,,,,,,,,,,,,,,,,,,,,,
12504638,home,Bologna,Sam Beukema,sam-beukema,S. Beukema,D,31,188,2235,M,,898815,EUR,911260800,D,31,31,False,53.0,48.0,9.0,5.0,0.0,29.0,31.0,20.0,23.0,3.0,,,,,90.0,70.0,6.7,7.0,0.0956796,1,,1.0,3.0,2.0,5.0,7.0,1.0,,,2.0,3.0,3.0,1.0,2.0,0.2006,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12504638,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185,4571,M,,818481,EUR,898819200,D,26,26,False,67.0,62.0,11.0,9.0,0.0,41.0,43.0,21.0,24.0,4.0,,,,,90.0,75.0,6.3,6.0,0.0118441,0,,,3.0,1.0,4.0,4.0,,,1.0,,2.0,2.0,1.0,,,,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12504638,home,Bologna,Juan Miranda,juan-miranda,J. Miranda,D,33,185,2208,M,,855829,EUR,948240000,D,33,33,False,69.0,56.0,14.0,6.0,0.0,23.0,27.0,35.0,59.0,5.0,,,,,90.0,107.0,7.0,31.0,0.159888,0,,17.0,4.0,1.0,6.0,4.0,,,,,1.0,,,1.0,,2.0,2.0,,,4.0,4.0,1.0,1.0,,,1.0,,,,,,,,,,,,
12504638,home,Bologna,Remo Freuler,remo-freuler,R. Freuler,M,8,181,1928,M,,115516,EUR,703296000,M,8,8,False,60.0,54.0,6.0,4.0,0.0,26.0,26.0,29.0,36.0,6.0,,,,,90.0,72.0,7.3,9.0,0.100304,0,,2.0,1.0,1.0,2.0,5.0,,,,1.0,3.0,2.0,2.0,,,1.0,,,,,3.0,1.0,1.0,,1.0,,True,,,,,,,,,,,
12504638,home,Bologna,Tommaso Pobega,tommaso-pobega,T. Pobega,M,4,188,1344,M,,928796,EUR,931996800,M,18,18,False,23.0,17.0,3.0,2.0,0.0,6.0,7.0,11.0,16.0,1.0,,,,,51.0,34.0,5.6,8.0,0.00827038,3,,,1.0,1.0,5.0,3.0,1.0,1.0,,,2.0,1.0,1.0,,0.3956,,,1.0,2.0,1.0,,,,,3.0,,,0.6906,,,,,,,,,,
12504638,home,Bologna,Jens Odgaard,jens-odgaard,J. Odgaard,M,21,188,1820,M,,826064,EUR,922838400,M,21,21,False,26.0,16.0,3.0,1.0,0.0,3.0,5.0,15.0,25.0,3.0,,,,,89.0,48.0,7.3,17.0,0.124055,7,,4.0,4.0,4.0,8.0,9.0,1.0,2.0,,,1.0,,2.0,4.0,0.5494,2.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,0.3162,3.0,2.0,,,,,,,,
12504638,home,Bologna,Giovanni Fabbian,giovanni-fabbian,G. Fabbian,M,80,186,1385,M,,1067204,EUR,1042502400,M,80,80,False,11.0,7.0,,,0.0,4.0,4.0,4.0,9.0,1.0,,,,,89.0,24.0,6.8,9.0,0.0158904,3,,2.0,3.0,2.0,6.0,5.0,,2.0,,,,,3.0,3.0,0.0822,1.0,,,,,1.0,1.0,,,2.0,1.0,,,1.0,,,,,,,,,
12504638,home,Bologna,Benjamín Domínguez,benjamin-dominguez,B. Domínguez,M,30,172,3282,M,,1162611,EUR,1063929600,M,30,30,False,13.0,12.0,1.0,,0.0,1.0,1.0,12.0,14.0,,,,,,80.0,44.0,8.4,13.0,0.128768,5,,2.0,2.0,,9.0,10.0,1.0,1.0,,,1.0,1.0,4.0,7.0,0.8928,1.0,1.0,,3.0,,1.0,7.0,2.0,,,,,1.7926,1.0,,Benjamín Domínguez,,2.0,1.0,,,,
