match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_dispossessed,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_keyPass,stat_totalContest,stat_goalAssist,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_penaltyWon,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_outfielderBlock
11451101,home,Hatayspor,Erce Kardeşler,erce-kardesler,E. Kardeşler,G,31,186,93,M,758606,EUR,763603200,G,1,1,False,31.0,21.0,19.0,9.0,20.0,23.0,1.0,8.0,12.0,1.0,2.0,3.0,90.0,46.0,7.1,10.0,0.0,0.0,0.00013754,0,0.2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451101,home,Hatayspor,Kamil Ahmet Çörekçi,kamil-ahmet-corekci,K. A. Çörekçi,D,22,173,57,M,124728,EUR,696902400,D,2,2,False,44.0,37.0,6.0,4.0,21.0,23.0,16.0,21.0,7.0,,,,90.0,56.0,6.6,8.0,0.0,0.0,0.0178757,0,,,,True,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11451101,home,Hatayspor,Guy-Marcelin Kilama,guy-marcelin-kilama,G. M. Kilama,D,,180,314,M,944222,EUR,928022400,D,3,3,False,43.0,40.0,8.0,7.0,35.0,36.0,5.0,7.0,2.0,,,,90.0,46.0,6.7,3.0,0.0,0.0,0.00187967,0,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
11451101,home,Hatayspor,Burak Bekaroğlu,burak-bekaroglu,B. Bekaroğlu,D,86,185,23,M,802645,EUR,861148800,D,86,86,False,32.0,29.0,2.0,,18.0,20.0,11.0,12.0,6.0,,,,90.0,45.0,6.8,5.0,0.0,0.0,0.00176747,0,,,,,,2.0,3.0,,3.0,5.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11451101,home,Hatayspor,Faouzi Ghoulam,faouzi-ghoulam,F. Ghoulam,D,,188,1996,M,133236,EUR,665366400,D,13,13,False,15.0,8.0,2.0,1.0,4.0,7.0,5.0,10.0,1.0,,,,45.0,24.0,6.6,10.0,0.0,0.0,0.0169418,0,,Faouzi,Ghoulam,,,2.0,4.0,,,,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11451101,home,Hatayspor,Chandrel Massanga,chandrel-massanga,C. Massanga,M,8,172,201,M,1083138,EUR,934848000,M,4,4,False,42.0,34.0,5.0,2.0,21.0,23.0,13.0,20.0,6.0,,,,89.0,50.0,6.9,9.0,0.0,0.0,0.010119,0,,Chandrel Massanga,,,,3.0,4.0,,,2.0,4.0,2.0,,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,
11451101,home,Hatayspor,Giorgi Aburjania,giorgi-aburjania,G. Aburjania,M,29,187,128,M,156569,EUR,789004800,M,29,29,False,30.0,26.0,2.0,,15.0,15.0,11.0,16.0,3.0,,,,79.0,36.0,6.5,7.0,0.0,0.0,0.147002,0,,,,,,3.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,
11451101,home,Hatayspor,Rigoberto Rivas,rigoberto-rivas,R. Rivas,M,99,178,347,M,837742,EUR,901843200,M,99,99,False,30.0,24.0,2.0,2.0,19.0,20.0,6.0,13.0,6.0,,,,90.0,57.0,7.3,13.0,0.0,0.0,0.0891784,0,,,,,,2.0,4.0,,1.0,3.0,1.0,1.0,1.0,,,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,
11451101,home,Hatayspor,Fisayo Dele-Bashiru,dele-bashiru-oluwafisayo,F. Dele-Bashiru,M,7,186,3768,M,910121,EUR,981417600,M,17,17,False,15.0,13.0,,,4.0,4.0,9.0,11.0,3.0,,,,90.0,22.0,7.4,3.0,0.0589,0.0225,0.0143229,2,,,,,,2.0,4.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,
11451101,home,Hatayspor,Didier Lamkel Zé,didier-lamkel-ze,D. L. Zé,F,60,193,625,M,845272,EUR,842918400,M,11,11,False,24.0,16.0,2.0,,8.0,10.0,9.0,17.0,6.0,,,,89.0,42.0,6.3,19.0,0.0,0.0,0.0753579,0,,,,,1.0,8.0,6.0,1.0,1.0,1.0,1.0,,1.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,,
