match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_duelWon,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_challengeLost,stat_wasFouled,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_dispossessed,stat_bigChanceMissed,captain,stat_totalOffside,stat_punches,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist
12117007,home,Flamengo,Agustín Rossi,agustin-rossi,A. Rossi,G,1,195,10864,M,AgustinRossi,1140986,EUR,808963200,G,1,1,False,23.0,16.0,10.0,3.0,16.0,17.0,6.0,5.0,2.0,1.0,1.0,1.0,1.0,90.0,29.0,6.4,7.0,0.00011442,0,-0.7232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117007,home,Flamengo,Guillermo Varela,guillermo-varela,G. Varela,D,2,171,7450,M,,311456,EUR,732931200,D,2,2,False,40.0,35.0,2.0,,14.0,16.0,28.0,2.0,,,,,,66.0,57.0,6.9,10.0,0.244017,0,,,,23.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12117007,home,Flamengo,Fabrício Bruno,fabricio-bruno,F. Bruno,D,15,192,6526,M,fabriciobruno96,840220,EUR,824083200,D,15,15,False,68.0,62.0,5.0,3.0,40.0,44.0,24.0,5.0,,,,,,90.0,82.0,7.3,9.0,0.121838,1,,,,22.0,,,,,1.0,4.0,1.0,,1.0,,,3.0,8.0,1.0,1.0,4.0,2.0,0.0159,,,,,,,,,,,,,
12117007,home,Flamengo,Léo Pereira,leo-pereira,L. Pereira,D,4,189,8450,M,leopereira4,358548,EUR,823046400,D,4,4,False,55.0,49.0,7.0,4.0,21.0,23.0,35.0,5.0,,,,,,90.0,66.0,6.9,9.0,0.083329,0,,,,28.0,3.0,,,3.0,,2.0,3.0,,,2.0,,1.0,3.0,,,,,,1.0,2.0,,,,,,,,,,,
12117007,home,Flamengo,Ayrton Lucas,ayrton-lucas,A. Lucas,D,6,180,7146,M,AyrtonLucas,818473,EUR,866678400,D,6,6,False,35.0,33.0,,,10.0,11.0,27.0,3.0,,,,,,84.0,49.0,7.0,5.0,0.0450918,2,,,,25.0,3.0,2.0,1.0,2.0,2.0,1.0,,1.0,1.0,,1.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0194,,,1.0,,,,,,,,,,
12117007,home,Flamengo,Erick Pulgar,erick-pulgar,E. Pulgar,M,5,186,12411,M,erick05,590262,EUR,758592000,M,5,5,False,27.0,24.0,2.0,1.0,11.0,11.0,16.0,3.0,,,,,,45.0,36.0,7.0,4.0,0.010657,0,,,,13.0,,,,,,1.0,,3.0,1.0,,,,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,
12117007,home,Flamengo,Nicolás de la Cruz,nicolas-de-la-cruz,N. de la Cruz,M,18,167,16989,M,nicodelacruz10,877513,EUR,865123200,M,18,18,False,81.0,71.0,6.0,4.0,14.0,14.0,74.0,8.0,,,,,,90.0,97.0,8.0,15.0,0.193956,0,,,,59.0,7.0,2.0,,3.0,2.0,,,1.0,,3.0,4.0,2.0,9.0,2.0,,3.0,1.0,,,2.0,,1.0,,,,,,,,,
12117007,home,Flamengo,Luiz Araújo,luiz-araujo,L. Araújo,M,7,175,16511,M,l_araujo11ofi,840451,EUR,833673600,M,7,7,False,22.0,16.0,2.0,2.0,3.0,5.0,19.0,3.0,,,,,,66.0,43.0,6.8,13.0,0.0433097,4,,,,13.0,2.0,,1.0,5.0,2.0,,,2.0,3.0,2.0,,,5.0,1.0,3.0,3.0,2.0,0.2511,1.0,1.0,1.0,,1.0,1.0,,,,,,,
12117007,home,Flamengo,Giorgian De Arrascaeta,giorgian-de-arrascaeta,Arrascaeta,M,10,173,86686,M,G10DeArrascaeta,333587,EUR,770428800,M,14,14,False,31.0,29.0,1.0,1.0,13.0,13.0,24.0,1.0,,,,,,70.0,45.0,6.5,13.0,0.12038,1,,,,17.0,6.0,1.0,,5.0,1.0,,,,2.0,1.0,1.0,,,,1.0,,,0.0467,,,,,3.0,,True,,,,,,
12117007,home,Flamengo,Bruno Henrique,bruno-henrique,B. Henrique,F,27,184,33811,M,B.henrique,795291,EUR,662515200,M,27,27,False,25.0,20.0,,,6.0,7.0,19.0,2.0,,,,,,90.0,38.0,7.0,7.0,0.012989,1,,,,14.0,1.0,,2.0,3.0,2.0,,,,,1.0,,2.0,8.0,2.0,1.0,2.0,,0.1094,,3.0,,,,,,1.0,,,,,
