match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_challengeLost,stat_totalTackle,player_firstName,player_lastName,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_shotOffTarget,stat_wonTackle,stat_expectedGoals,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside
12514049,home,Moreirense,Kewin,kewin,Kewin,G,1,187,111,M,865371,EUR,790992000,G,40,40,False,31.0,23.0,15.0,7.0,0.0,19.0,20.0,4.0,11.0,1.0,2.0,5.0,9.0,1.0,2.0,3.0,2.0,90.0,49.0,7.9,8.0,0.00137151,1.0,0,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,
12514049,home,Moreirense,Fabiano Souza,fabiano-silva,F. Souza,D,70,175,371,M,1130513,EUR,952992000,D,2,2,False,24.0,21.0,3.0,2.0,0.0,12.0,12.0,9.0,15.0,2.0,3.0,3.0,1.0,,,,,45.0,42.0,6.7,9.0,0.0123324,,0,,3.0,1.0,4.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
12514049,home,Moreirense,Marcelo,marcelo,Marcelo,D,44,182,57,M,156318,EUR,617500800,D,44,44,False,56.0,51.0,10.0,7.0,0.0,40.0,41.0,11.0,15.0,2.0,6.0,8.0,,,,,,90.0,72.0,7.3,5.0,0.00263179,,0,,,1.0,2.0,,,3.0,,True,1.0,1.0,,,,,,,,,,,,,,,,
12514049,home,Moreirense,Carlos Ponck,carlos-ponck,C. Ponck,D,26,183,62,M,584116,EUR,789955200,D,14,14,False,58.0,51.0,4.0,1.0,0.0,39.0,41.0,12.0,17.0,3.0,4.0,7.0,5.0,,,,,90.0,74.0,7.4,10.0,0.015631,1.0,0,,,,2.0,,2.0,1.0,,,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,
12514049,home,Moreirense,Godfried Frimpong,godfried-frimpong,G. Frimpong,D,21,180,173,M,931743,EUR,924652800,D,23,23,False,37.0,24.0,8.0,1.0,0.0,16.0,20.0,10.0,20.0,1.0,1.0,3.0,1.0,,,,,90.0,65.0,7.0,23.0,0.02511,,0,,3.0,3.0,3.0,,1.0,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,
12514049,home,Moreirense,Lawrence Ofori,lawrence-ofori,L. Ofori,M,80,181,149,M,892170,EUR,898992000,M,80,80,False,59.0,54.0,11.0,7.0,0.0,34.0,35.0,20.0,24.0,,,1.0,3.0,,,,,72.0,62.0,6.8,6.0,0.0191862,1.0,0,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
12514049,home,Moreirense,Rúben Ramos Ismael,ruben-ramos-ismael,Ismael,M,16,184,179,M,1469058,EUR,922320000,M,6,6,False,33.0,29.0,2.0,,0.0,12.0,12.0,18.0,23.0,2.0,7.0,2.0,3.0,,,,,90.0,51.0,7.3,7.0,0.0399283,2.0,1,,2.0,1.0,4.0,1.0,1.0,1.0,2.0,,,4.0,,,,1.0,1.0,1.0,1.0,3.0,0.0419,,,,,,,
12514049,home,Moreirense,Pedro Santos,pedro-santos,P. Santos,M,80,178,297,M,1120040,EUR,1044835200,M,21,21,False,9.0,7.0,1.0,,0.0,3.0,4.0,4.0,6.0,,1.0,1.0,1.0,,,,,45.0,17.0,6.4,5.0,0.00614207,,0,,1.0,2.0,3.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
12514049,home,Moreirense,Alan,alan,Alan,M,11,163,525,M,905455,EUR,952473600,M,11,11,False,42.0,40.0,2.0,1.0,0.0,12.0,13.0,28.0,30.0,,2.0,,1.0,,,,,90.0,54.0,7.0,7.0,0.0408371,1.0,3,,1.0,,2.0,1.0,1.0,1.0,,,,,,,2.0,,,,2.0,,0.1344,1.0,1.0,,,,,
12514049,home,Moreirense,Gabrielzinho,gabrielzinho,Gabrielzinho,M,30,171,484,M,870188,EUR,843955200,M,77,77,False,15.0,13.0,,,0.0,4.0,5.0,9.0,11.0,,3.0,1.0,2.0,,,,,77.0,26.0,6.7,7.0,0.00843772,,1,,1.0,1.0,4.0,,3.0,2.0,3.0,,,1.0,,,,,,,,1.0,0.0131,,1.0,,,,,
