match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_lastManTackle,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_shotValueNormalized,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
14585924,home,Hertha BSC,Tjark Ernst,,,tjark-ernst,T. Ernst,G,1,193,377,M,1019319,EUR,1047686400,G,1,1,False,34.0,25.0,16.0,7.0,0.0,21.0,24.0,4.0,10.0,6.0,2.0,3.0,90.0,39.0,7.3,9.0,0.1835,0,0.1,-0.01,0.19,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14585924,home,Hertha BSC,Julian Eitschberger,,,eitschberger-julian,J. Eitschberger,M,2,179,99,M,1201926,EUR,1078444800,D,2,2,False,34.0,25.0,3.0,,0.0,14.0,16.0,11.0,18.0,,,,90.0,65.0,7.5,15.0,,0,0.13,-0.22,0.31,,3.0,2.0,7.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14585924,home,Hertha BSC,Linus Gechter,Linus,Gechter,linus-gechter,L. Gechter,D,44,188,225,M,1129364,EUR,1077840000,D,44,44,False,72.0,67.0,3.0,1.0,0.0,56.0,58.0,11.0,14.0,7.0,,,90.0,87.0,7.6,6.0,,0,0.13,0.16,0.94,,,2.0,2.0,1.0,,,7.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
14585924,home,Hertha BSC,Márton Dárdai,,,marton-dardai,M. Dárdai,D,31,186,1093,M,980618,EUR,1013472000,D,31,31,False,39.0,35.0,8.0,4.0,1.0,25.0,25.0,10.0,14.0,2.0,,,90.0,60.0,8.4,6.0,,0,0.61,0.09,0.31,,,3.0,7.0,1.0,1.0,,12.0,,4.0,1.0,1.0,1.0,2.0,,2.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,
14585924,home,Hertha BSC,Michał Karbownik,,,michal-karbownik,M. Karbownik,M,33,175,1643,M,910043,EUR,984441600,D,33,33,False,25.0,18.0,6.0,3.0,0.0,8.0,9.0,10.0,16.0,4.0,,,71.0,53.0,7.1,14.0,,0,0.09,0.04,0.15,,,7.0,8.0,,2.0,,,2.0,4.0,4.0,3.0,4.0,3.0,,,,,,,2.0,,,,,,,,,,,,,,
14585924,home,Hertha BSC,Diego Demme,,,diego-demme,D. Demme,M,6,170,327,M,124318,EUR,690681600,M,6,6,False,73.0,59.0,10.0,6.0,1.0,36.0,40.0,23.0,33.0,9.0,,,86.0,89.0,7.7,18.0,,0,0.48,0.07,-0.03,,2.0,5.0,6.0,2.0,1.0,,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
14585924,home,Hertha BSC,Kennet Eichhorn,Kennet Eichhorn,,kennet-eichhorn,K. Eichhorn,M,23,186,1672,M,1961762,EUR,1248652800,M,23,23,False,30.0,29.0,,,0.0,16.0,16.0,13.0,14.0,4.0,,,71.0,41.0,6.8,5.0,,0,0.14,0.01,0.18,,,4.0,3.0,,3.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,
14585924,home,Hertha BSC,Maurice Krattenmacher,,,maurice-krattenmacher,M. Krattenmacher,F,14,180,930,M,1153365,EUR,1123718400,M,14,14,False,11.0,7.0,,,0.0,3.0,4.0,4.0,7.0,4.0,,,80.0,33.0,7.1,13.0,,0,-0.28,0.19,-0.04,,3.0,5.0,12.0,1.0,5.0,3.0,,,2.0,1.0,3.0,5.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,
14585924,home,Hertha BSC,Michaël Cuisance,,,michael-cuisance,M. Cuisance,M,10,181,882,M,826208,EUR,934761600,M,10,10,False,36.0,32.0,1.0,1.0,0.0,12.0,14.0,20.0,22.0,6.0,,,90.0,61.0,7.8,14.0,,3,0.07,0.19,0.17,,3.0,8.0,7.0,,6.0,3.0,1.0,,3.0,3.0,3.0,1.0,2.0,1.0,,,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,
14585924,home,Hertha BSC,Fabian Reese,,,fabian-reese,F. Reese,F,11,187,900,M,817968,EUR,880761600,M,11,11,False,26.0,23.0,1.0,1.0,0.0,6.0,6.0,17.0,20.0,6.0,,,90.0,41.0,7.0,7.0,,1,0.25,0.03,0.16,,1.0,2.0,3.0,,2.0,1.0,,1.0,2.0,1.0,,,,1.0,,,,,,,,,1.0,,,,0.01,True,,,,,,
