match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_totalCross,stat_challengeLost,stat_penaltyConceded,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_blockedScoringAttempt,player_sofascoreId,stat_accurateCross,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside,stat_penaltyMiss
10437693,home,Estoril Praia,Daniel Figueira,,,daniel-figueira,D. Figueira,G,99,189,80,M,862060,EUR,900892800,G,99,99,False,27.0,12.0,19.0,4.0,11.0,13.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,14.0,3.0,3.0,1.0,1.0,5.0,1.0,90.0,47.0,8.5,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437693,home,Estoril Praia,Gonçalo Esteves,,,goncalo-esteves,G. Esteves,D,2,171,466,M,1130376,EUR,1077840000,D,87,87,False,30.0,22.0,3.0,,12.0,15.0,10.0,15.0,1.0,1.0,5.0,7.0,2.0,4.0,,,,,,,90.0,66.0,7.1,14.0,1,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10437693,home,Estoril Praia,Pedro Álvaro,,,pedro-alvaro,P. Álvaro,D,,186,247,M,869330,EUR,951955200,D,23,23,False,42.0,36.0,10.0,8.0,28.0,32.0,8.0,10.0,1.0,3.0,3.0,4.0,4.0,2.0,,,,,,,82.0,49.0,7.2,6.0,0,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10437693,home,Estoril Praia,Bernardo Vital,,,vital-bernardo,B. Vital,D,13,187,192,M,1065442,EUR,978048000,D,3,3,False,44.0,40.0,5.0,4.0,36.0,38.0,4.0,6.0,1.0,1.0,4.0,4.0,4.0,4.0,,,,,,,90.0,54.0,7.0,6.0,0,1.0,,,,,2.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,
10437693,home,Estoril Praia,Joãozinho,,,joaozinho,Joãozinho,D,31,185,30,M,156319,EUR,615340800,D,31,31,False,44.0,31.0,7.0,2.0,19.0,24.0,12.0,21.0,2.0,3.0,3.0,9.0,1.0,2.0,,,,,,,90.0,69.0,7.4,16.0,0,,,,,,5.0,1.0,,,1.0,3.0,1.0,True,1.0,1.0,,,,,,,,,,,,
10437693,home,Estoril Praia,Mor Ndiaye,,,mor-ndiaye,M. Ndiaye,M,19,185,163,M,979225,EUR,974764800,M,25,25,False,40.0,34.0,7.0,5.0,19.0,20.0,15.0,20.0,1.0,1.0,4.0,1.0,3.0,4.0,,,,,,,90.0,48.0,6.3,7.0,0,1.0,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,
10437693,home,Estoril Praia,Rosier Loreintz,,,loreintz-rosier,R. Loreintz,M,32,190,106,M,954812,EUR,903052800,M,32,32,False,36.0,28.0,5.0,3.0,11.0,17.0,17.0,19.0,,,1.0,8.0,,13.0,,,,,,,90.0,51.0,7.6,9.0,0,1.0,1.0,1.0,,1.0,6.0,1.0,,,,5.0,,,,,,,,,,,,,,,,
10437693,home,Estoril Praia,Tiago Gouveia,,,tiago-gouveia,T. Gouveia,F,47,176,1493,M,976410,EUR,992822400,M,21,21,False,17.0,10.0,,,2.0,2.0,8.0,15.0,2.0,,6.0,6.0,,5.0,,,,,,,82.0,33.0,7.9,11.0,2,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,,
10437693,home,Estoril Praia,Francisco Geraldes,,,francisco-geraldes,F. Geraldes,M,8,175,224,M,314376,EUR,798163200,M,10,10,False,38.0,28.0,11.0,5.0,10.0,11.0,18.0,27.0,,,5.0,3.0,,3.0,,,,,,,82.0,50.0,7.1,14.0,2,2.0,2.0,1.0,2.0,1.0,,2.0,2.0,,,,1.0,,,,,,,,1.0,,,,,,,
10437693,home,Estoril Praia,Arthur Gomes,,,arthur-gomes,Arthur Gomes,M,11,175,670,M,822524,EUR,899424000,M,11,11,False,15.0,13.0,1.0,1.0,4.0,5.0,9.0,13.0,1.0,,2.0,1.0,,1.0,,,,,,,66.0,23.0,7.3,7.0,2,,1.0,1.0,1.0,,,,,1.0,,,2.0,,3.0,1.0,,,,1.0,1.0,,,,,,,
