match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_outfielderBlock,stat_fouls,stat_keyPass,captain,stat_blockedScoringAttempt,stat_aerialLost,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_errorLeadToAGoal,stat_accurateCross,stat_errorLeadToAShot,stat_totalOffside
13329563,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195.0,60790,M,EmiMartínez,158263,EUR,715392000,G,23,23,False,42.0,31.0,19.0,8.0,0.0,30.0,32.0,1.0,10.0,1.0,1.0,1.0,9.0,3.0,2.0,4.0,1.0,1.0,90.0,52.0,7.7,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13329563,home,Aston Villa,Andrés García,andres-garcia,A. García,D,16,183.0,951,M,,1457536,EUR,1044576000,D,16,16,False,31.0,26.0,6.0,4.0,0.0,18.0,21.0,8.0,12.0,,4.0,2.0,3.0,,,,,,90.0,52.0,7.0,11.0,1,Andrés García,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
13329563,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183.0,3199,M,,827679,EUR,877564800,D,4,4,False,15.0,14.0,,,0.0,9.0,9.0,5.0,6.0,,,,,,,,,,27.0,15.0,6.5,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13329563,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184.0,3380,M,,826204,EUR,943315200,D,44,44,False,63.0,58.0,5.0,3.0,0.0,42.0,45.0,16.0,18.0,1.0,5.0,4.0,3.0,,,,,,90.0,77.0,7.2,6.0,0,,,,1.0,,,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
13329563,home,Aston Villa,Lucas Digne,lucas-digne,L. Digne,D,12,178.0,4435,M,LDigne,96538,EUR,743126400,D,12,12,False,53.0,42.0,7.0,1.0,0.0,25.0,28.0,17.0,27.0,,2.0,5.0,2.0,,,,,,81.0,76.0,6.5,17.0,0,,,2.0,6.0,2.0,2.0,2.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,
13329563,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175.0,3885,M,,250223,EUR,782438400,M,7,7,False,44.0,37.0,1.0,1.0,0.0,17.0,21.0,20.0,25.0,,6.0,1.0,6.0,,,,,,90.0,60.0,7.1,11.0,0,,,2.0,4.0,2.0,1.0,3.0,3.0,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,True,,,,,,,,,,,
13329563,home,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177.0,9757,M,youritielemans,331737,EUR,862963200,M,8,8,False,51.0,45.0,3.0,2.0,0.0,25.0,28.0,20.0,24.0,2.0,7.0,2.0,5.0,,,,,,90.0,73.0,7.0,12.0,2,,,1.0,7.0,1.0,2.0,3.0,,1.0,1.0,2.0,2.0,,3.0,,1.0,1.0,,1.0,,,,,,,,,,
13329563,home,Aston Villa,Leon Bailey,leon-bailey,L. Bailey,M,31,178.0,7654,M,leonbailey,808590,EUR,871084800,M,31,31,False,15.0,12.0,1.0,,0.0,2.0,3.0,10.0,13.0,,4.0,1.0,7.0,,,,,,66.0,38.0,7.5,9.0,2,,,1.0,7.0,1.0,4.0,,,,2.0,3.0,3.0,1.0,1.0,,1.0,2.0,,,1.0,2.0,,,,,,,,
13329563,home,Aston Villa,Morgan Rogers,morgan-rogers,M. Rogers,M,27,187.0,13680,M,mrogers,948261,EUR,1027641600,M,27,27,False,34.0,31.0,,,1.0,7.0,7.0,24.0,28.0,1.0,6.0,,6.0,,,,,,90.0,48.0,8.8,6.0,3,,,1.0,6.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,,2.0,,3.0,4.0,,,,2.0,1.0,1.0,,,,,,
13329563,home,Aston Villa,Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,180.0,3212,M,,975937,EUR,991008000,M,41,41,False,23.0,22.0,,,0.0,7.0,7.0,15.0,16.0,,8.0,1.0,1.0,,,,,,90.0,48.0,7.3,7.0,5,,,,6.0,1.0,1.0,5.0,3.0,2.0,,1.0,1.0,3.0,4.0,1.0,1.0,,,,1.0,3.0,,1.0,3.0,1.0,,,,
13329563,home,Aston Villa,Donyell Malen,donyell-malen,D. Malen,F,14,176.0,12695,M,donyellmalen,803039,EUR,916704000,F,17,17,False,6.0,4.0,,,0.0,,1.0,4.0,5.0,,3.0,,1.0,,,,,,66.0,19.0,7.2,6.0,3,,,,3.0,2.0,,1.0,,3.0,,,,3.0,3.0,,,1.0,,,,,,,,,,,,
13329563,home,Aston Villa,Lamare Bogarde,lamare-bogarde,L. Bogarde,D,26,183.0,1108,M,,1089388,EUR,1073260800,D,26,26,True,31.0,30.0,3.0,3.0,0.0,26.0,27.0,4.0,4.0,,1.0,1.0,1.0,,,,,,63.0,35.0,6.5,2.0,0,,,,3.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
13329563,home,Aston Villa,Marcus Rashford,marcus-rashford,M. Rashford,M,14,185.0,363363,M,Rashford,814590,EUR,878256000,F,9,9,True,13.0,12.0,,,0.0,5.0,5.0,7.0,9.0,1.0,4.0,,,,,,,,24.0,22.0,6.8,6.0,0,,,1.0,2.0,,,2.0,1.0,,,2.0,1.0,3.0,,,1.0,,,,,,,,,,,,,
13329563,home,Aston Villa,Marco Asensio,marco-asensio,M. Asensio,F,21,182.0,31813,M,marcoasensio10,361004,EUR,822182400,F,21,21,True,15.0,15.0,,,0.0,3.0,3.0,12.0,14.0,,2.0,,,,,,,,24.0,20.0,7.0,2.0,0,,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,
13329563,home,Aston Villa,Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178.0,5464,M,maatsen_,976263,EUR,1015718400,D,22,22,True,5.0,5.0,,,0.0,3.0,3.0,2.0,2.0,,1.0,,,,,,,,9.0,7.0,6.4,1.0,0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
13329563,home,Aston Villa,Robin Olsen,robin-olsen,R. Olsen,G,30,198.0,1284,M,,26025,EUR,631756800,G,25,25,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13329563,home,Aston Villa,Oliwier Zych,zych-oliwier,O. Zych,G,48,193.0,733,M,,1009362,EUR,1088380800,G,48,48,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13329563,home,Aston Villa,Jamaldeen Jimoh,jamaldeen-jimoh,J. Jimoh,M,18,188.0,964,M,,1410178,EUR,1159747200,M,56,56,True,,,,,,,,,,,,,,,,,,,,,,,0,Jamaldeen Jimoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
