match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_dispossessed,stat_wonContest,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_clearanceOffLine
13981491,home,Cremonese,Marco Silvestri,marco-silvestri,M. Silvestri,G,16,191.0,324,M,43970,EUR,667872000,G,16,16,False,31.0,23.0,15.0,7.0,0.0,18.0,20.0,5.0,11.0,1.0,4.0,1.0,90.0,34.0,6.6,8.0,0.00122192,0,-0.402,0.08,0.0,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981491,home,Cremonese,Filippo Terracciano,terracciano-filippo,F. Terracciano,D,24,181.0,1614,M,1034303,EUR,1044662400,D,24,24,False,43.0,38.0,10.0,8.0,0.0,23.0,25.0,15.0,18.0,2.0,2.0,,90.0,58.0,7.7,9.0,0.0137894,1,,0.24,-0.16,-0.01,2.0,3.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2307,0.6427,1.0,0.51,,,,,,,,,,,,,,,,,,,,,,,
13981491,home,Cremonese,Federico Baschirotto,federico-baschirotto,F. Baschirotto,D,6,187.0,1366,M,786175,EUR,843177600,D,6,6,False,54.0,46.0,10.0,5.0,0.0,40.0,42.0,6.0,12.0,3.0,3.0,,90.0,64.0,6.4,10.0,0.00275918,0,,0.09,0.02,-0.15,,1.0,1.0,2.0,3.0,,,,,,,,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
13981491,home,Cremonese,Matteo Bianchetti,matteo-bianchetti,M. Bianchetti,D,15,189.0,177,M,158037,EUR,732326400,D,15,15,False,59.0,50.0,10.0,6.0,0.0,40.0,45.0,10.0,14.0,7.0,4.0,,90.0,79.0,6.9,11.0,0.00504065,1,,0.12,0.02,-0.01,,3.0,2.0,3.0,5.0,,,1.0,,,,3.0,,0.0512,,,-0.06,,,1.0,True,,,,,,,,,,,,,,,,,,,
13981491,home,Cremonese,Alessio Zerbin,alessio-zerbin,A. Zerbin,M,7,182.0,1060,M,869888,EUR,920419200,M,7,7,False,14.0,9.0,4.0,1.0,0.0,3.0,3.0,6.0,11.0,2.0,1.0,,61.0,30.0,6.0,10.0,0.00246019,2,,-0.05,-0.51,-0.07,1.0,2.0,,7.0,2.0,1.0,3.0,1.0,,,,,1.0,0.0532,0.0107,,0.03,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,
13981491,home,Cremonese,Martín Payero,martin-payero,M. Payero,M,32,182.0,791,M,895592,EUR,905472000,M,32,32,False,22.0,18.0,3.0,1.0,0.0,4.0,4.0,14.0,18.0,1.0,4.0,,62.0,45.0,6.3,15.0,0.00673908,1,,0.05,0.16,-0.03,,3.0,,11.0,6.0,,4.0,,,,,2.0,2.0,0.0234,,,-0.13,3.0,2.0,4.0,,,,,3.0,1.0,1.0,,,,,,,,,,,,,
13981491,home,Cremonese,Warren Bondo,warren-bondo,W. Bondo,M,38,177.0,2004,M,1000366,EUR,1063584000,M,38,38,False,32.0,28.0,2.0,1.0,0.0,15.0,17.0,13.0,15.0,,3.0,,90.0,42.0,6.6,7.0,0.0085764,0,,-0.09,0.12,-0.09,,2.0,,6.0,6.0,1.0,,,,,,3.0,3.0,,,,,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
13981491,home,Cremonese,Jari Vandeputte,jari-vandeputte,J. Vandeputte,M,27,174.0,901,M,318645,EUR,824256000,M,27,27,False,29.0,20.0,4.0,1.0,1.0,14.0,16.0,6.0,13.0,2.0,4.0,,74.0,46.0,7.4,15.0,0.322197,1,,0.4,0.3,-0.04,5.0,,,5.0,3.0,1.0,1.0,,,,,1.0,2.0,0.041,,3.0,-0.07,1.0,1.0,,,,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
13981491,home,Cremonese,Giuseppe Pezzella,giuseppe-pezzella,G. Pezzella,M,3,187.0,619,M,814589,EUR,880761600,M,3,3,False,20.0,10.0,5.0,,0.0,4.0,8.0,6.0,12.0,4.0,3.0,,90.0,39.0,6.9,15.0,0.253944,0,,0.28,0.09,0.17,3.0,1.0,2.0,2.0,4.0,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,
13981491,home,Cremonese,Federico Bonazzoli,federico-bonazzoli,F. Bonazzoli,F,90,182.0,985,M,284363,EUR,864172800,F,90,90,False,25.0,20.0,4.0,3.0,0.0,6.0,8.0,14.0,17.0,,2.0,,75.0,35.0,6.7,8.0,0.00502518,2,,-0.06,0.02,-0.06,,1.0,,4.0,3.0,1.0,1.0,,,,,2.0,1.0,0.1349,,1.0,-0.24,1.0,1.0,2.0,,,,,,,2.0,,1.0,1.0,,,,,,,,,,
