match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,captain,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_fouls,stat_challengeLost,stat_keyPass,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated,stat_goals,player_sofascoreId
12421029,home,Royal Antwerp FC,Senne Lammens,,,senne-lammens,S. Lammens,G,31,193.0,27447,M,964753,EUR,1026000000,G,91,91,False,26.0,19.0,12.0,5.0,0.0,18.0,18.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,90.0,33.0,7.1,8.0,0.00021337,0,0.6908,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421029,home,Royal Antwerp FC,Jelle Bataille,,,jelle-bataille,J. Bataille,D,25,175.0,224,M,889387,EUR,927158400,D,25,25,False,52.0,41.0,4.0,1.0,0.0,16.0,21.0,26.0,38.0,,5.0,2.0,4.0,,,,,,,63.0,78.0,7.3,19.0,0.0808512,1,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0547,,,,,,,,,,,,,,,
12421029,home,Royal Antwerp FC,Toby Alderweireld,,,toby-alderweireld,T. Alderweireld,D,,186.0,1445,M,44575,EUR,604800000,D,23,23,False,75.0,67.0,9.0,4.0,0.0,38.0,41.0,29.0,35.0,2.0,4.0,5.0,4.0,,,,,,,90.0,90.0,7.5,10.0,0.010825,2,,1.0,,1.0,,,,,1.0,,,2.0,0.0545,True,1.0,1.0,1.0,1.0,1.0,0.3652,,,,,,,,
12421029,home,Royal Antwerp FC,Zeno Van Den Bosch,,,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191.0,594,M,1103765,EUR,1057449600,D,33,33,False,91.0,87.0,8.0,5.0,0.0,56.0,58.0,31.0,34.0,1.0,1.0,3.0,3.0,,,,,,,90.0,98.0,6.8,6.0,0.0171964,0,,1.0,,3.0,,,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,
12421029,home,Royal Antwerp FC,Ayrton Costa,,,ayrton-costa,A. Costa,D,32,179.0,1038,M,976485,EUR,931824000,D,5,5,False,43.0,35.0,1.0,,0.0,17.0,18.0,18.0,25.0,2.0,6.0,4.0,,,,,,,,87.0,63.0,7.1,10.0,0.0278412,1,,,,4.0,,,,,1.0,3.0,2.0,1.0,0.0309,,1.0,1.0,,2.0,1.0,,2.0,1.0,1.0,,,,,
12421029,home,Royal Antwerp FC,Mandela Keita,Mandela Keita,,mandela-keita,M. Keita,M,16,180.0,1237,M,1110136,EUR,1020988800,M,27,27,False,64.0,60.0,1.0,1.0,0.0,19.0,21.0,41.0,43.0,1.0,3.0,,11.0,,,,,,,90.0,74.0,7.0,6.0,0.0462831,0,,,,3.0,,1.0,,,1.0,2.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,
12421029,home,Royal Antwerp FC,Mahamadou Doumbia,Mahamadou Doumbia,,mahamadou-doumbia,M. Doumbia,M,17,186.0,5407,M,1400846,EUR,1084579200,M,20,20,False,43.0,40.0,5.0,4.0,0.0,14.0,14.0,26.0,30.0,,3.0,1.0,5.0,,,,,,,63.0,51.0,6.9,4.0,0.0358673,1,,1.0,,3.0,,1.0,1.0,1.0,1.0,,,2.0,0.0421,,1.0,,,,,,1.0,1.0,1.0,,,,,
12421029,home,Royal Antwerp FC,Gyrano Kerk,,,gyrano-kerk,G. Kerk,M,7,175.0,505,M,386950,EUR,817862400,M,7,7,False,24.0,16.0,1.0,1.0,0.0,2.0,4.0,15.0,22.0,2.0,4.0,,3.0,,,,,,,90.0,35.0,6.9,12.0,0.155481,1,,2.0,1.0,5.0,1.0,2.0,1.0,1.0,,,,1.0,0.0908,,2.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,
12421029,home,Royal Antwerp FC,Tjaronn Chery,,,tjaronn-chery,T. Chery,M,10,170.0,874,M,35208,EUR,581385600,M,9,9,False,44.0,36.0,3.0,,0.0,12.0,12.0,26.0,36.0,,1.0,,4.0,,,,,,,77.0,55.0,7.0,13.0,0.0687645,3,,4.0,2.0,2.0,1.0,2.0,1.0,,,,,,0.3727,,,3.0,,,,,,,2.0,,,,,
12421029,home,Royal Antwerp FC,Jacob Ondrejka,,,ondrejka-jacob,J. Ondrejka,M,17,180.0,1006,M,1004790,EUR,1030924800,M,11,11,False,29.0,21.0,3.0,1.0,0.0,7.0,9.0,19.0,37.0,,4.0,,5.0,,,,,,,90.0,57.0,7.7,22.0,0.343286,4,,17.0,5.0,,,,,,,1.0,1.0,3.0,0.5292,,,4.0,,,2.0,,,,4.0,,2.0,1.0,,
