match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_challengeLost,stat_interceptionWon,stat_errorLeadToAShot,stat_fouls,stat_onTargetScoringAttempt,captain,stat_totalOffside,stat_goals,stat_outfielderBlock,stat_bigChanceMissed,stat_goalAssist
10408562,home,Valencia,Giorgi Mamardashvili,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,mamardashvili,930997,EUR,970185600,G,25,25,False,33.0,17.0,23.0,7.0,15.0,19.0,2.0,14.0,7.0,1.0,1.0,90.0,35.0,6.1,16.0,0.0,0.0,0.00083586,0,-0.2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408562,home,Valencia,Dimitri Foulquier,dimitri-foulquier,D. Foulquier,D,20,183,461,M,,151138,EUR,732844800,D,20,20,False,42.0,34.0,3.0,1.0,12.0,16.0,24.0,32.0,6.0,,,90.0,72.0,6.3,18.0,0.0,0.0,0.184446,0,,,,6.0,2.0,1.0,1.0,6.0,6.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,
10408562,home,Valencia,Mouctar Diakhaby,mouctar-diakhaby,M. Diakhaby,D,4,192,4026,M,mouctar_dkh,797306,EUR,850953600,D,12,12,False,51.0,45.0,4.0,1.0,23.0,25.0,22.0,26.0,9.0,,,90.0,62.0,6.4,9.0,0.0135,0.0,0.0832807,2,,,,,,1.0,1.0,2.0,3.0,,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,
10408562,home,Valencia,Cenk Özkaçar,cenk-ozkacar,C. Özkaçar,D,39,190,733,M,,953097,EUR,970790400,D,15,15,False,52.0,43.0,7.0,4.0,29.0,34.0,14.0,18.0,7.0,,,90.0,62.0,6.0,10.0,0.0567,0.0,0.00440939,1,,,,,,6.0,5.0,8.0,5.0,,,,4.0,,,1.0,,,1.0,,2.0,1.0,1.0,,,,,,,,
10408562,home,Valencia,Toni Lato,toni-lato,T. Lato,D,3,173,265,M,,828239,EUR,880070400,D,3,3,False,43.0,33.0,6.0,2.0,20.0,26.0,13.0,18.0,3.0,,,69.0,57.0,6.4,12.0,0.0,0.0,0.0067419,0,,,,1.0,,1.0,1.0,5.0,4.0,1.0,2.0,2.0,,1.0,1.0,,,,,,,,,3.0,,,,,,,
10408562,home,Valencia,Yunus Musah,yunus-musah,Y. Musah,M,6,178,4211,M,yunusmusah8,983815,EUR,1038528000,M,4,4,False,15.0,12.0,,,3.0,3.0,10.0,15.0,5.0,,,59.0,33.0,6.8,9.0,0.0961,0.0,0.00749652,2,,,,3.0,1.0,3.0,3.0,8.0,10.0,2.0,4.0,2.0,,4.0,3.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,
10408562,home,Valencia,Ilaix Moriba,ilaix-moriba,I. Moriba,M,6,183,6577,M,ilaixmk,962890,EUR,1042934400,M,8,8,False,51.0,45.0,2.0,1.0,22.0,24.0,23.0,27.0,4.0,,,84.0,61.0,6.7,6.0,0.0334,0.0,0.134354,1,,,,,,2.0,2.0,4.0,8.0,,,,,4.0,1.0,,2.0,,1.0,,1.0,,,1.0,,,,,,,
10408562,home,Valencia,André Almeida,andre-almeida,A. Almeida,M,10,176,1200,M,,845693,EUR,959644800,M,18,18,False,50.0,41.0,5.0,1.0,13.0,15.0,31.0,42.0,5.0,,,80.0,74.0,7.4,16.0,0.0169,0.0475,0.175885,1,,,,7.0,3.0,2.0,1.0,6.0,10.0,2.0,3.0,3.0,,4.0,2.0,1.0,2.0,4.0,,,2.0,,,,1.0,,,,,,
10408562,home,Valencia,José Luis Gayà,jose-luis-gaya,J. L. Gayà,D,14,172,1685,M,,227922,EUR,801360000,M,14,14,False,36.0,29.0,1.0,,6.0,7.0,25.0,33.0,8.0,,,90.0,59.0,7.1,14.0,0.0367,0.2367,0.240993,2,,,,4.0,2.0,2.0,1.0,6.0,7.0,1.0,2.0,1.0,,2.0,,1.0,3.0,2.0,1.0,,,1.0,,2.0,1.0,True,,,,,
10408562,home,Valencia,Samu Castillejo,samu-castillejo,S. Castillejo,M,70,182,950,M,,188405,EUR,790387200,F,11,11,False,34.0,25.0,3.0,3.0,6.0,7.0,20.0,34.0,3.0,,,80.0,58.0,6.8,21.0,0.0535,0.0,0.0505016,2,,,,7.0,1.0,2.0,,8.0,4.0,3.0,2.0,,,1.0,1.0,1.0,3.0,1.0,2.0,,,1.0,,1.0,,,1.0,,,,
