match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_dispossessed,captain,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_clearanceOffLine,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_errorLeadToAShot,player_sofascoreId,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented,stat_totalOffside
12437695,home,Getafe,David Soria,david-soria,D. Soria,G,13,192,676,M,604258,EUR,733881600,G,13,13,False,32.0,16.0,26.0,10.0,0.0,8.0,9.0,8.0,23.0,1.0,9.0,1.0,1.0,90.0,37.0,6.8,16.0,0.00239025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437695,home,Getafe,Juan Iglesias,juan-iglesias,J. Iglesias,D,21,185,520,M,949707,EUR,899424000,D,21,21,False,22.0,14.0,10.0,5.0,0.0,4.0,4.0,10.0,19.0,6.0,2.0,,,90.0,50.0,7.2,14.0,0.0381577,1,,,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,0.0161,1.0,,,,,,,,,,,,,,,,,,,,
12437695,home,Getafe,Domingos Duarte,domingos-duarte,D. Duarte,D,22,191,695,M,576276,EUR,794793600,D,22,22,False,39.0,27.0,9.0,3.0,0.0,20.0,21.0,7.0,18.0,4.0,1.0,,,90.0,54.0,7.5,13.0,0.00599446,1,,,,1.0,3.0,1.0,6.0,,,1.0,3.0,,1.0,,,0.0126,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12437695,home,Getafe,Juan Berrocal,juan-berrocal,J. Berrocal,D,6,187,92,M,851226,EUR,918172800,D,4,4,False,40.0,31.0,9.0,2.0,0.0,18.0,19.0,13.0,21.0,1.0,2.0,,,90.0,45.0,6.9,11.0,0.047545,0,,,,1.0,2.0,2.0,2.0,,,,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
12437695,home,Getafe,Diego Rico,diego-rico,D. Rico,D,16,181,662,M,350560,EUR,730425600,D,16,16,False,39.0,26.0,9.0,5.0,0.0,10.0,12.0,19.0,35.0,4.0,8.0,,,90.0,80.0,7.4,26.0,0.0104408,0,,,8.0,1.0,,10.0,9.0,5.0,,,5.0,5.0,3.0,4.0,2.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,
12437695,home,Getafe,Carles Pérez,carles-perez,C. Pérez,M,7,172,1038,M,794950,EUR,887587200,M,17,17,False,11.0,8.0,2.0,,0.0,3.0,5.0,5.0,9.0,1.0,3.0,,,77.0,22.0,6.2,9.0,0.00393949,0,,,3.0,2.0,,8.0,1.0,3.0,,,1.0,1.0,1.0,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,
12437695,home,Getafe,Djené,djene,Djené,D,2,178,2527,M,307702,EUR,694137600,M,2,2,False,34.0,30.0,1.0,,0.0,9.0,9.0,21.0,25.0,1.0,2.0,,,90.0,44.0,6.6,8.0,0.0153592,0,,,,1.0,2.0,7.0,6.0,1.0,,,1.0,1.0,2.0,2.0,5.0,,1.0,,,,2.0,True,1.0,1.0,,,,,,,,,,,,,
12437695,home,Getafe,Mauro Arambarri,mauro-arambarri,M. Arambarri,M,8,175,1414,M,385888,EUR,812419200,M,8,8,False,29.0,26.0,1.0,1.0,0.0,9.0,9.0,17.0,21.0,2.0,3.0,,,90.0,41.0,7.5,6.0,0.00851325,1,,,1.0,1.0,3.0,1.0,5.0,,,1.0,1.0,,1.0,1.0,,0.2765,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,
12437695,home,Getafe,Coba da Costa,da-costa-coba-gomes,C. d. Costa,M,77,182,408,M,1392054,EUR,1027641600,M,29,29,False,8.0,6.0,,,0.0,1.0,1.0,7.0,9.0,,,,,45.0,24.0,6.5,7.0,0.00873896,0,,,2.0,1.0,1.0,5.0,2.0,1.0,,,1.0,,3.0,,1.0,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,
12437695,home,Getafe,Juanmi,juanmi,Juanmi,F,7,169,648,M,96369,EUR,737856000,F,24,24,False,14.0,10.0,,,0.0,3.0,3.0,7.0,11.0,,2.0,,,89.0,29.0,6.3,9.0,0.0034359,2,,,,2.0,1.0,4.0,4.0,2.0,,1.0,2.0,2.0,5.0,,1.0,0.5528,,,1.0,,,,1.0,1.0,2.0,,1.0,0.4326,,,,,,,,,
