match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_keyPass,player_sofascoreId,stat_accurateCross,stat_bigChanceCreated,captain,stat_dispossessed,stat_outfielderBlock,stat_goals,stat_totalOffside
12774386,home,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,22,186,588,M,253875,EUR,817948800,G,22,22,False,34.0,31.0,5.0,2.0,0.0,30.0,30.0,1.0,4.0,1.0,1.0,8.0,2.0,1.0,2.0,2.0,1.0,90.0,44.0,5.4,3.0,0.00054737,0,-0.1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12774386,home,Feyenoord,Givairo Read,,,givairo-read,G. Read,D,26,175,1865,M,1388535,EUR,1149206400,D,26,26,False,60.0,58.0,3.0,2.0,0.0,40.0,41.0,18.0,20.0,3.0,1.0,1.0,,,,,,68.0,78.0,6.8,4.0,0.00640724,0,,1.0,2.0,6.0,2.0,2.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
12774386,home,Feyenoord,Gernot Trauner,,,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,146.0,136.0,12.0,9.0,0.0,76.0,78.0,60.0,68.0,5.0,,5.0,,,,,,90.0,157.0,7.3,10.0,0.0426742,2,,,2.0,7.0,,,,,,1.0,6.0,2.0,4.0,4.0,0.0485,,,,,,,,,,,,,,
12774386,home,Feyenoord,Dávid Hancko,,,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,74.0,65.0,12.0,6.0,0.0,37.0,38.0,28.0,36.0,3.0,,8.0,,,,,,90.0,89.0,6.8,12.0,0.0488347,4,,,1.0,4.0,2.0,,1.0,2.0,2.0,,2.0,1.0,,,0.314,1.0,2.0,1.0,1.0,0.3601,1.0,,,,,,,,
12774386,home,Feyenoord,Hugo Bueno,,,hugo-bueno,H. Bueno,D,3,180,745,M,1013928,EUR,1032307200,D,16,16,False,19.0,16.0,,,0.0,7.0,9.0,9.0,11.0,3.0,,,,,,,,68.0,27.0,6.0,6.0,0.00753383,0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,
12774386,home,Feyenoord,In-Beom Hwang,,,in-beom-hwang,I. Hwang,M,6,177,3392,M,889689,EUR,843177600,M,4,4,False,73.0,63.0,5.0,3.0,0.0,23.0,25.0,42.0,50.0,2.0,,5.0,,,,,,90.0,87.0,7.7,12.0,0.478423,3,,2.0,,4.0,1.0,,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,0.1119,,1.0,1.0,1.0,0.1297,5.0,Hwang,2.0,1.0,,,,,
12774386,home,Feyenoord,Quinten Timber,,,quinten-timber,Q. Timber,M,27,177,8611,M,959805,EUR,992736000,M,8,8,False,46.0,37.0,4.0,1.0,0.0,18.0,18.0,19.0,29.0,6.0,,4.0,,,,,,90.0,62.0,6.9,16.0,0.0172349,0,,1.0,2.0,8.0,1.0,1.0,,2.0,1.0,4.0,1.0,,,3.0,,,,,4.0,,,,,,True,1.0,,,
12774386,home,Feyenoord,Ibrahim Osman,Ibrahim Osman,,osman-ibrahim,I. Osman,F,17,177,2714,M,1471095,EUR,1101686400,M,38,38,False,14.0,9.0,,,0.0,3.0,3.0,7.0,16.0,11.0,1.0,,,,,,,90.0,41.0,6.4,20.0,0.0414896,1,,5.0,1.0,6.0,7.0,3.0,,,,2.0,2.0,,1.0,1.0,0.1817,,1.0,,2.0,,,,1.0,,,4.0,,,
12774386,home,Feyenoord,Antoni Milambo,Antoni,Milambo,antoni-milambo,A. Milambo,M,17,179,1574,M,1126692,EUR,1112486400,M,27,27,False,17.0,17.0,1.0,1.0,0.0,10.0,10.0,7.0,7.0,5.0,3.0,,,,,,,80.0,25.0,6.4,3.0,0.0182506,1,,,,2.0,,,1.0,1.0,1.0,1.0,,,,1.0,0.107,,1.0,,2.0,,,,,,,1.0,,,
12774386,home,Feyenoord,Igor Paixão,,,igor-paixao,I. Paixão,F,14,168,12525,M,981815,EUR,962150400,M,14,14,False,22.0,19.0,2.0,,0.0,10.0,10.0,9.0,16.0,1.0,,1.0,,,,,,80.0,36.0,6.9,9.0,0.148716,1,,4.0,,4.0,1.0,1.0,1.0,1.0,,2.0,,,,,0.0281,,1.0,,1.0,,1.0,,,,,1.0,1.0,,
