match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_totalContest,stat_wonContest,stat_wonTackle,stat_wasFouled,stat_totalCross,captain,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_accurateCross,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
12226774,home,Chelsea,Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8562,M,dj.petrovic12,882604,EUR,939340800,G,28,28,False,34.0,19.0,24.0,9.0,11.0,15.0,8.0,19.0,2.0,5.0,1.0,4.0,90.0,40.0,7.6,15.0,0.00158548,0,0.6886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12226774,home,Chelsea,Alfie Gilchrist,alfie-gilchrist,A. Gilchrist,D,14,183,4310,M,,1114837,EUR,1069977600,D,42,42,False,34.0,28.0,4.0,,16.0,18.0,12.0,16.0,5.0,3.0,,,85.0,53.0,6.9,7.0,0.00684535,2,,1.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.1198,,,,,,,,,,,,,,,,,,,,,,,,,,
12226774,home,Chelsea,Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,14,14,False,44.0,37.0,6.0,3.0,24.0,24.0,13.0,20.0,2.0,4.0,,,90.0,53.0,7.6,9.0,0.00549272,1,,,2.0,1.0,1.0,,,,,1.0,0.053,1.0,1.0,1.0,1.0,1.0,0.2148,,,,,,,,,,,,,,,,,,,,
12226774,home,Chelsea,Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10555,M,badiashile,904827,EUR,985564800,D,5,5,False,43.0,36.0,8.0,4.0,22.0,24.0,14.0,19.0,8.0,7.0,,,90.0,56.0,7.4,7.0,0.0061446,1,,,3.0,1.0,,,,2.0,,3.0,0.0116,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,
12226774,home,Chelsea,Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37239,M,cucurella3,794939,EUR,901065600,D,3,3,False,40.0,29.0,4.0,1.0,20.0,29.0,9.0,11.0,2.0,5.0,,,90.0,75.0,8.1,14.0,0.0129328,0,,,,9.0,,,,4.0,4.0,,,,,,1.0,1.0,,,,,1.0,1.0,2.0,4.0,,,,,,,,,,,,,
12226774,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,37.0,28.0,3.0,,17.0,20.0,11.0,18.0,1.0,5.0,,,90.0,62.0,7.5,12.0,0.0056614,0,,,2.0,10.0,,,,1.0,5.0,,,1.0,,,2.0,,,,,,2.0,,1.0,4.0,1.0,,,,,,,,,,,,
12226774,home,Chelsea,Conor Gallagher,conor-gallagher,C. Gallagher,M,22,182,16658,M,conorgallagher92,904970,EUR,949795200,M,23,23,False,24.0,22.0,1.0,,12.0,12.0,10.0,13.0,3.0,8.0,,,90.0,42.0,7.4,6.0,0.0647686,0,,1.0,10.0,9.0,3.0,2.0,,,4.0,4.0,,1.0,,,,1.0,,,,,1.0,1.0,3.0,3.0,1.0,True,1.0,1.0,1.0,,,,,,,,
12226774,home,Chelsea,Noni Madueke,noni-madueke,N. Madueke,M,20,182,40178,M,nonzinoo10,966547,EUR,1015718400,M,11,11,False,29.0,22.0,1.0,,4.0,5.0,18.0,24.0,2.0,5.0,,,90.0,48.0,7.5,10.0,0.0658277,1,,,6.0,11.0,4.0,,1.0,,2.0,,0.0799,2.0,,,,1.0,,,,,7.0,5.0,1.0,2.0,,,,,2.0,1.0,,,,,,,
12226774,home,Chelsea,Cole Palmer,cole-palmer,C. Palmer,M,10,185,363781,M,ColdPalmer,982780,EUR,1020643200,M,20,20,False,28.0,25.0,2.0,1.0,6.0,6.0,19.0,24.0,1.0,1.0,,,90.0,49.0,7.4,7.0,0.0221983,5,,,3.0,5.0,,1.0,3.0,,,1.0,1.32,,1.0,,,,0.1344,,,1.0,5.0,4.0,,1.0,2.0,,,,2.0,,1.0,1.0,,,,,
12226774,home,Chelsea,Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,54452,M,MMudryk10,958966,EUR,978652800,M,10,10,False,25.0,20.0,2.0,2.0,9.0,10.0,12.0,18.0,1.0,5.0,,,75.0,48.0,7.7,12.0,0.115986,4,,,3.0,4.0,1.0,1.0,3.0,1.0,1.0,,0.2356,,1.0,,,2.0,0.2275,,,,3.0,2.0,,1.0,3.0,,,1.0,3.0,,,,1.0,,,,
