match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_wonTackle,stat_onTargetScoringAttempt,stat_keyPass,captain,stat_dispossessed,stat_goodHighClaim,stat_outfielderBlock,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated
11035082,home,Fiorentina,Pietro Terracciano,pietro-terracciano,P. Terracciano,G,1,193.0,1594,M,136856,EUR,636854400,G,1,1,False,45.0,36.0,22.0,13.0,29.0,30.0,7.0,15.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,90.0,53.0,7.4,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11035082,home,Fiorentina,Dodô,dodo,Dodô,D,2,166.0,3362,M,822518,EUR,911260800,D,2,2,False,54.0,47.0,3.0,2.0,25.0,26.0,23.0,32.0,1.0,3.0,1.0,15.0,,,,90.0,80.0,7.4,14.0,0,,,4.0,1.0,8.0,1.0,4.0,4.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
11035082,home,Fiorentina,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195.0,5082,M,836168,EUR,876614400,D,4,4,False,80.0,68.0,6.0,3.0,57.0,60.0,11.0,20.0,2.0,4.0,2.0,4.0,,,,90.0,93.0,7.3,12.0,3,,,,,12.0,,,,1.0,,2.0,2.0,milenkovicn_4,9.0,1.0,2.0,1.0,1.0,,,,,,,,,
11035082,home,Fiorentina,Igor Júlio,igor-julio,I. Júlio,D,3,185.0,1332,M,842513,EUR,886809600,D,98,98,False,46.0,41.0,5.0,2.0,28.0,28.0,13.0,18.0,2.0,3.0,3.0,3.0,,,,64.0,55.0,7.0,5.0,1,,,,,2.0,,,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,
11035082,home,Fiorentina,Cristiano Biraghi,cristiano-biraghi,C. Biraghi,D,34,184.0,1312,M,122848,EUR,715305600,D,3,3,False,47.0,44.0,5.0,3.0,21.0,21.0,29.0,41.0,1.0,2.0,,4.0,,,,90.0,83.0,7.9,18.0,0,,,15.0,6.0,3.0,,1.0,1.0,,1.0,2.0,1.0,,,,,1.0,,,5.0,True,,,,,,
11035082,home,Fiorentina,Antonín Barák,antonin-barak,A. Barák,M,72,190.0,779,M,330705,EUR,786412800,M,72,72,False,31.0,26.0,1.0,1.0,6.0,7.0,20.0,24.0,2.0,7.0,,5.0,,,,90.0,37.0,6.7,7.0,0,,,,,5.0,,,,2.0,,,3.0,,3.0,,,1.0,1.0,,,,2.0,,,,,
11035082,home,Fiorentina,Rolando Mandragora,rolando-mandragora,R. Mandragora,M,8,183.0,2131,M,548178,EUR,867542400,M,38,38,False,32.0,24.0,5.0,3.0,9.0,10.0,17.0,26.0,,1.0,,4.0,,,,90.0,39.0,7.0,10.0,2,,,4.0,2.0,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,
11035082,home,Fiorentina,Gaetano Castrovilli,gaetano-castrovilli,G. Castrovilli,M,8,185.0,639,M,587628,EUR,856137600,M,10,10,False,29.0,26.0,4.0,2.0,11.0,12.0,16.0,20.0,,2.0,1.0,4.0,,,,83.0,44.0,6.8,9.0,2,,,3.0,1.0,3.0,,1.0,1.0,2.0,3.0,,2.0,,,1.0,1.0,,1.0,,,,1.0,,,,,
11035082,home,Fiorentina,Nicolás González,nicolas-gonzalez,N. González,M,23,180.0,17175,M,901325,EUR,891820800,F,22,22,False,29.0,20.0,4.0,3.0,9.0,10.0,12.0,22.0,5.0,7.0,1.0,2.0,,,,89.0,47.0,7.4,16.0,3,,,3.0,1.0,12.0,,3.0,1.0,1.0,3.0,3.0,,nicoigonzalez,7.0,2.0,1.0,1.0,1.0,,2.0,,,,,,,
11035082,home,Fiorentina,Arthur Cabral,arthur-cabral,A. Cabral,F,19,186.0,4958,M,870762,EUR,893462400,F,9,9,False,10.0,7.0,,,1.0,1.0,6.0,9.0,4.0,10.0,,1.0,,,,90.0,19.0,6.6,7.0,2,,,,,5.0,,,,,2.0,2.0,5.0,arthurcabral9,3.0,1.0,1.0,,,,1.0,,1.0,,,,,
