match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalOffside,captain,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,stat_saves
14109663,home,Çaykur Rizespor,Yahia Fofana,yahia-fofana,Y. Fofana,G,75,194.0,3551,M,yahia.fofana_,877977,EUR,966816000,G,75,75,False,45.0,36.0,17.0,9.0,0.0,32.0,35.0,4.0,10.0,3.0,2.0,90.0,47.0,5.0,9.0,0.00351389,-0.0004,0,-1.8315,0.06,0.01,-0.88,-0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109663,home,Çaykur Rizespor,Taha Şahin,taha-sahin,T. Şahin,D,37,178.0,238,M,,1394729,EUR,972172800,D,37,37,False,47.0,34.0,5.0,2.0,0.0,25.0,32.0,9.0,15.0,6.0,,90.0,72.0,6.1,18.0,0.172418,,0,,0.08,0.04,-0.36,,Taha Sahin,,5.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14109663,home,Çaykur Rizespor,Attila Mocsi,attila-mocsi,A. Mocsi,D,4,188.0,454,M,,889382,EUR,959558400,D,4,4,False,60.0,54.0,7.0,3.0,0.0,48.0,49.0,6.0,11.0,3.0,,90.0,74.0,6.8,6.0,0.00231204,,0,,0.05,0.09,-0.22,,,,2.0,6.0,,,1.0,9.0,,1.0,1.0,1.0,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,
14109663,home,Çaykur Rizespor,Modibo Sagnan,modibo-sagnan,M. Sagnan,D,27,187.0,580,M,,904759,EUR,924048000,D,27,27,False,71.0,64.0,7.0,2.0,0.0,53.0,54.0,11.0,17.0,3.0,,90.0,85.0,6.4,8.0,0.00472445,,0,,0.11,0.12,-0.13,,,,7.0,2.0,1.0,,,5.0,,1.0,1.0,,1.0,,5.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
14109663,home,Çaykur Rizespor,Casper Højer,casper-hojer,C. Højer,D,5,183.0,148,M,,281233,EUR,785289600,D,5,5,False,46.0,39.0,7.0,5.0,0.0,18.0,20.0,21.0,26.0,5.0,,90.0,77.0,7.0,13.0,0.146547,,1,,0.25,0.08,-0.25,,,,1.0,6.0,,,1.0,5.0,,,,1.0,,2.0,,5.0,,1.0,1.0,,True,3.0,1.0,1.0,0.0273,0.01,,,,,,,
14109663,home,Çaykur Rizespor,Giannis Papanikolaou,giannis-papanikolaou,G. Papanikolaou,M,6,182.0,212,M,,856988,EUR,911347200,M,6,6,False,58.0,46.0,9.0,1.0,0.0,30.0,36.0,16.0,22.0,5.0,,90.0,73.0,7.1,14.0,0.0158718,,4,,0.08,0.1,-0.09,,,,2.0,8.0,,,1.0,2.0,1.0,2.0,1.0,2.0,,1.0,2.0,3.0,1.0,,2.0,,,,,3.0,0.9109,0.22,1.0,1.0,0.8439,,,,
14109663,home,Çaykur Rizespor,Mithat Pala,mithat-pala,M. Pala,D,54,172.0,57,M,,1016393,EUR,966297600,M,54,54,False,20.0,17.0,2.0,1.0,0.0,8.0,9.0,9.0,11.0,1.0,,45.0,27.0,7.1,5.0,0.484575,,1,,0.5,0.07,-0.02,,,,2.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,0.0152,-0.06,,,,1.0,,,
14109663,home,Çaykur Rizespor,Jesurun Rak-Sakyi,jesurun-rak-sakyi,J. Rak-Sakyi,M,21,178.0,1017,M,,1101362,EUR,1033776000,M,19,19,False,19.0,13.0,3.0,,0.0,8.0,10.0,5.0,9.0,2.0,,57.0,31.0,6.4,11.0,0.0221768,,1,,0.05,0.08,-0.08,,,,3.0,3.0,,1.0,3.0,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,0.0134,-0.03,,,,,,,
14109663,home,Çaykur Rizespor,Qazim Laci,qazim-laci,Q. Laci,M,20,173.0,992,M,,284395,EUR,822009600,M,20,20,False,58.0,49.0,7.0,4.0,0.0,29.0,34.0,20.0,24.0,4.0,,90.0,81.0,8.0,18.0,0.265962,,0,,0.61,0.06,0.22,,,,4.0,11.0,,2.0,,1.0,,5.0,5.0,1.0,1.0,3.0,2.0,5.0,,,2.0,1.0,,4.0,1.0,,,,,,,,,,
14109663,home,Çaykur Rizespor,Loide Augusto,loide-augusto,L. Augusto,M,50,183.0,1033,M,,1110708,EUR,951523200,M,50,50,False,29.0,21.0,2.0,,0.0,9.0,11.0,12.0,18.0,2.0,,76.0,49.0,6.7,14.0,0.010916,,3,,-0.11,0.25,-0.01,,Loide Augusto,,6.0,8.0,,,5.0,,,,,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,,,3.0,1.0,1.0,0.0552,-0.3,,,,,2.0,,
