match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_goalAssist,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,player_sofascoreId,captain,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyMiss,stat_penaltyWon
11396292,home,FC Augsburg,Finn Dahmen,finn-dahmen,F. Dahmen,G,1,188,564,M,822564,EUR,890956800,G,1,1,False,42.0,32.0,17.0,7.0,26.0,28.0,6.0,14.0,1.0,2.0,8.0,1.0,1.0,4.0,1.0,1.0,5.0,90.0,49.0,7.5,10.0,0.00276888,0,0.8322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396292,home,FC Augsburg,Kevin Mbabu,kevin-mbabu,K. Mbabu,D,43,184,780,M,227900,EUR,798249600,D,43,43,False,29.0,20.0,3.0,2.0,9.0,12.0,13.0,22.0,2.0,8.0,6.0,,3.0,,,,,90.0,70.0,6.8,25.0,0.0852178,0,,5.0,2.0,1.0,8.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11396292,home,FC Augsburg,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,J. Gouweleeuw,D,6,187,229,M,146853,EUR,679104000,D,6,6,False,45.0,35.0,14.0,8.0,23.0,23.0,12.0,22.0,4.0,5.0,5.0,,1.0,,,,,90.0,56.0,6.9,10.0,0.0113306,0,,,,2.0,7.0,,1.0,1.0,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
11396292,home,FC Augsburg,Felix Uduokhai,felix-uduokhai,F. Uduokhai,D,14,193,1726,M,792142,EUR,873763200,D,19,19,False,39.0,30.0,8.0,2.0,19.0,22.0,11.0,17.0,4.0,5.0,4.0,,2.0,,,,,90.0,53.0,6.8,9.0,0.135118,1,,,,4.0,5.0,,,,8.0,,,,1.0,,,1.0,1.0,1.0,0.1372,,,,,,,,,,,,,,,,
11396292,home,FC Augsburg,Iago Borduchi,iago,I. Borduchi,D,25,181,849,M,869644,EUR,859075200,D,22,22,False,36.0,26.0,6.0,3.0,13.0,18.0,13.0,18.0,1.0,4.0,5.0,,1.0,,,,,90.0,51.0,6.6,14.0,0.0224051,0,,,,1.0,3.0,1.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
11396292,home,FC Augsburg,Fredrik Jensen,fredrik-jensen,F. Jensen,M,97,183,325,M,846356,EUR,873763200,M,24,24,False,13.0,7.0,2.0,1.0,3.0,6.0,5.0,8.0,,,3.0,,,,,,,68.0,25.0,7.1,9.0,0.162377,1,,1.0,1.0,3.0,5.0,,,,1.0,2.0,2.0,3.0,,,1.0,,,,0.0898,1.0,0.1265,,,,,,,,,,,,,,
11396292,home,FC Augsburg,Kristijan Jakić,kristijan-jakic,K. Jakić,M,17,181,2258,M,796206,EUR,863568000,M,17,17,False,37.0,29.0,5.0,1.0,10.0,12.0,19.0,27.0,,7.0,10.0,,2.0,,,,,90.0,57.0,6.7,15.0,0.0126287,1,,2.0,,,7.0,1.0,1.0,,,6.0,2.0,,1.0,,1.0,,,3.0,0.057,,,,,1.0,3.0,1.0,,,,,,,,,
11396292,home,FC Augsburg,Elvis Rexhbeçaj,elvis-rexhbecaj,E. Rexhbeçaj,M,8,178,483,M,842188,EUR,878342400,M,8,8,False,29.0,21.0,,,8.0,9.0,14.0,21.0,1.0,2.0,3.0,,,,,,,90.0,40.0,6.8,8.0,0.0626754,2,,1.0,1.0,2.0,6.0,1.0,,,2.0,1.0,,,3.0,,,2.0,,,0.1342,,,,,,,,,,,,,,,,
11396292,home,FC Augsburg,Ruben Vargas,ruben-vargas,R. Vargas,M,11,179,2677,M,872919,EUR,902275200,M,16,16,False,18.0,15.0,1.0,1.0,6.0,6.0,9.0,13.0,2.0,5.0,4.0,,1.0,,,,,83.0,37.0,6.6,11.0,0.13368,3,,1.0,,,4.0,,3.0,1.0,,2.0,1.0,3.0,1.0,1.0,,1.0,,,0.1233,1.0,0.232,,,,,1.0,1.0,,,,,,,,
11396292,home,FC Augsburg,Phillip Tietz,tietz-phillip,P. Tietz,F,20,190,467,M,822340,EUR,868406400,F,21,21,False,20.0,13.0,2.0,1.0,3.0,3.0,10.0,17.0,6.0,9.0,5.0,,1.0,,,,,68.0,34.0,7.4,13.0,0.123572,1,,,,2.0,4.0,,1.0,,3.0,2.0,2.0,3.0,,,1.0,,,,0.0875,1.0,0.5381,,,,2.0,,,1.0,,,,,,,
