match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalContest,stat_wonContest,stat_goalAssist,stat_outfielderBlock,stat_keyPass,stat_accurateCross,stat_aerialLost,stat_dispossessed,stat_shotOffTarget,stat_fouls,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_ownGoals
11693215,home,West Ham United,Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3755,M,lukasz.fabianski,15479,EUR,482630400,G,1,1,False,True,32.0,23.0,18.0,9.0,18.0,18.0,5.0,14.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,90.0,38.0,6.8,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11693215,home,West Ham United,Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1731,M,,138024,EUR,714441600,D,5,5,False,,20.0,15.0,2.0,,10.0,13.0,5.0,8.0,,2.0,5.0,4.0,,,,90.0,34.0,6.9,7.0,0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11693215,home,West Ham United,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2689,M,,829022,EUR,881798400,D,15,15,False,,28.0,20.0,6.0,,18.0,20.0,2.0,9.0,1.0,3.0,3.0,3.0,,,,90.0,35.0,6.5,9.0,0,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11693215,home,West Ham United,Nayef Aguerd,nayef-aguerd,N. Aguerd,D,21,188,25685,M,nayefaguard,877102,EUR,828144000,D,27,27,False,,50.0,35.0,21.0,6.0,28.0,31.0,7.0,19.0,1.0,1.0,5.0,2.0,,,,90.0,59.0,6.9,16.0,0,,,,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,
11693215,home,West Ham United,Emerson Palmieri,emerson-palmieri,Emerson,D,33,176,2407,M,,155997,EUR,775872000,D,33,33,False,,21.0,18.0,1.0,1.0,13.0,13.0,6.0,10.0,1.0,3.0,1.0,2.0,,,,90.0,33.0,6.8,5.0,0,,,2.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,
11693215,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3292,M,,799041,EUR,793843200,M,28,28,False,,18.0,15.0,1.0,1.0,12.0,13.0,3.0,5.0,4.0,8.0,2.0,2.0,,,,90.0,30.0,7.0,3.0,1,,,,4.0,1.0,1.0,2.0,,2.0,,,,1.0,,,2.0,,1.0,2.0,,,,,,,,,
11693215,home,West Ham United,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10871,M,EdsonAlvarez19,847151,EUR,877651200,M,19,19,False,,30.0,27.0,2.0,1.0,22.0,22.0,5.0,8.0,3.0,5.0,1.0,6.0,,,,90.0,42.0,6.8,7.0,0,,,,9.0,3.0,3.0,2.0,2.0,,,,,2.0,,,1.0,1.0,,4.0,3.0,,,,,,,,
11693215,home,West Ham United,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89502,M,Kudus,905163,EUR,965174400,M,14,14,False,,16.0,14.0,2.0,,10.0,12.0,4.0,4.0,,6.0,,7.0,,,,88.0,38.0,7.1,7.0,2,,,,10.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,,,,,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,,,,
11693215,home,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180,64753,M,Paqueta,839981,EUR,872640000,M,10,10,False,,22.0,11.0,3.0,1.0,3.0,5.0,8.0,17.0,,9.0,,8.0,,,,90.0,38.0,7.2,15.0,0,,,,7.0,1.0,,5.0,3.0,3.0,1.0,1.0,,,1.0,,4.0,1.0,,1.0,2.0,,,,,1.0,,,
11693215,home,West Ham United,Saïd Benrahma,said-benrahma,S. Benrahma,F,10,172,11146,M,said_benrahma11,354808,EUR,808012800,M,22,22,False,,11.0,10.0,,,6.0,7.0,4.0,4.0,,3.0,,4.0,,,,81.0,19.0,6.8,4.0,0,,,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,3.0,,,,,,,,
