match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_totalContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialLost,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_wasFouled,stat_accurateCross,stat_wonContest,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11396247,home,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190,180,M,121908,EUR,668995200,G,1,1,False,25.0,24.0,3.0,2.0,24.0,25.0,1.0,1.0,1.0,4.0,1.0,1.0,90.0,31.0,6.7,1.0,0.00016496,0,-0.0613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396247,home,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184,112,M,920022,EUR,886550400,D,23,23,False,15.0,14.0,1.0,1.0,10.0,10.0,,,,1.0,,,45.0,25.0,6.2,6.0,0.00245765,0,,,,4.0,6.0,1.0,3.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
11396247,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,78.0,70.0,5.0,4.0,38.0,40.0,5.0,10.0,4.0,8.0,,,90.0,95.0,7.6,9.0,0.0229465,2,,,,32.0,38.0,,4.0,,2.0,1.0,2.0,True,1.0,1.0,2.0,1.0,5.0,2.0,0.2174,,,,,,,,,,,,,,,,,
11396247,home,1. FC Heidenheim,Tim Siersleben,tim-siersleben,T. Siersleben,D,4,187,118,M,988252,EUR,952560000,D,4,4,False,40.0,34.0,6.0,2.0,21.0,21.0,1.0,3.0,,1.0,,,45.0,44.0,6.5,6.0,0.00631331,0,,,,13.0,19.0,,3.0,,1.0,,3.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
11396247,home,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,311676,EUR,822614400,D,19,19,False,36.0,30.0,6.0,2.0,19.0,20.0,,4.0,1.0,4.0,,,90.0,58.0,6.7,13.0,0.0639907,0,,,,13.0,21.0,5.0,2.0,1.0,1.0,3.0,1.0,,1.0,,,,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,
11396247,home,1. FC Heidenheim,Jan Schöppner,jan-schoppner,J. Schöppner,M,3,190,163,M,933707,EUR,929145600,M,3,3,False,47.0,34.0,5.0,3.0,22.0,25.0,2.0,5.0,,9.0,,,90.0,58.0,7.0,15.0,0.0199167,2,,,,12.0,22.0,,3.0,1.0,,,,,1.0,1.0,,,2.0,1.0,0.1168,,,1.0,1.0,2.0,,,,,,,,,,,,
11396247,home,1. FC Heidenheim,Norman Theuerkauf,norman-theuerkauf,N. Theuerkauf,D,,183,29,M,15004,EUR,538444800,M,30,30,False,64.0,58.0,8.0,3.0,39.0,42.0,,4.0,1.0,6.0,,,90.0,73.0,7.0,7.0,0.0159823,0,,,,19.0,22.0,,,,,1.0,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,
11396247,home,1. FC Heidenheim,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,8,8,False,31.0,17.0,4.0,2.0,6.0,8.0,,4.0,,6.0,,,88.0,55.0,7.5,22.0,0.273803,2,,,,12.0,27.0,4.0,5.0,1.0,1.0,3.0,,,1.0,2.0,1.0,,3.0,1.0,0.128,,1.0,1.0,2.0,,1.0,1.0,0.2048,2.0,,,,,,,,
11396247,home,1. FC Heidenheim,Nikola Dovedan,nikola-dovedan,N. Dovedan,M,37,172,321,M,138143,EUR,773452800,M,20,20,False,13.0,6.0,1.0,,4.0,4.0,,1.0,,4.0,,,45.0,18.0,6.1,9.0,0.00615555,1,,,,2.0,9.0,,6.0,1.0,,1.0,1.0,,1.0,3.0,1.0,,,,0.0923,1.0,,,,,,,,,,,,,,,,
11396247,home,1. FC Heidenheim,Jan-Niklas Beste,jan-niklas-beste,J. Beste,D,19,177,1027,M,836711,EUR,915408000,M,37,37,False,31.0,18.0,6.0,2.0,6.0,9.0,,7.0,2.0,9.0,,,90.0,70.0,8.4,29.0,0.696571,2,,,,19.0,40.0,18.0,5.0,2.0,,1.0,,,1.0,1.0,1.0,,6.0,6.0,0.0614,1.0,7.0,,1.0,,1.0,,0.0955,7.0,1.0,1.0,,,,,,
