match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_fouls,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_onTargetScoringAttempt,stat_penaltyConceded,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_wonContest,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_shotOffTarget,stat_totalOffside,stat_goals,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_goalsPrevented,player_sofascoreId,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyWon
12421242,home,K. Beerschot V.A.,Nick Shinton,,,nick-shinton,N. Shinton,G,33,196,117,M,909962,EUR,989452800,G,33,33,False,18.0,16.0,2.0,0.0,16.0,17.0,1.0,1.0,1.0,1.0,1.0,46.0,19.0,5.5,2.0,7.773e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421242,home,K. Beerschot V.A.,Colin Dagba,,,dagba-colin,C. Dagba,D,2,168,498,M,941300,EUR,905299200,D,2,2,False,27.0,23.0,3.0,0.0,11.0,13.0,16.0,10.0,,,,90.0,52.0,7.2,8.0,0.11004,0,1.0,13.0,2.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12421242,home,K. Beerschot V.A.,Apostolos Konstantopoulos,,,konstantopoulos-apostolos,A. Konstantopoulos,D,44,188,197,M,1033264,EUR,1028246400,D,66,66,False,54.0,50.0,5.0,0.0,38.0,39.0,15.0,3.0,1.0,,,90.0,66.0,7.2,4.0,0.0261668,1,3.0,12.0,,,1.0,2.0,3.0,,,,6.0,,1.0,,,1.0,1.0,2.0,1.0,1.0,0.0566,0.1068,,,,,,,,,,,,,,,,,
12421242,home,K. Beerschot V.A.,Loïc Mbe Soh,,,loic-mbe-soh,L. M. Soh,D,4,186,287,M,904992,EUR,992390400,D,5,5,False,53.0,50.0,2.0,0.0,28.0,28.0,25.0,2.0,,,,90.0,62.0,7.3,4.0,0.00725103,0,1.0,22.0,,,3.0,3.0,3.0,,,1.0,3.0,1.0,,,,1.0,,1.0,,,,,True,1.0,1.0,,,,,,,,,,,,,,
12421242,home,K. Beerschot V.A.,Djevencio van der Kust,,,djevencio-van-der-kust,D. v. d. Kust,D,5,178,181,M,974530,EUR,988588800,D,11,11,False,30.0,27.0,1.0,0.0,17.0,19.0,11.0,5.0,,,,62.0,48.0,7.2,6.0,0.0571981,1,,10.0,,,2.0,2.0,3.0,,,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,,0.0602,,,1.0,,1.0,,,,,,,,,,,,,
12421242,home,K. Beerschot V.A.,Hakim Sahabo,Hakim Sahabo,,sahabo-hakim,H. Sahabo,M,6,183,470,M,1434757,EUR,1118880000,M,20,20,False,44.0,38.0,5.0,0.0,21.0,21.0,23.0,4.0,1.0,,,90.0,62.0,6.9,14.0,0.15461,1,3.0,17.0,,,,5.0,5.0,,2.0,4.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,0.0099,,,2.0,3.0,,1.0,,,,,,,,,,,,
12421242,home,K. Beerschot V.A.,Faisal Al-Ghamdi,Faisal,Al-Ghamdi,al-ghamdi-faisal,F. A. Ghamdi,M,16,185,953,M,966452,EUR,997660800,M,16,16,False,24.0,20.0,1.0,0.0,9.0,9.0,16.0,1.0,,,,62.0,35.0,6.5,8.0,0.00338929,1,,11.0,1.0,,,4.0,2.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,,,1.0,,0.0503,0.1791,,,,,,1.0,,,,,,,,,,,
12421242,home,K. Beerschot V.A.,Ewan Henderson,,,ewan-henderson,E. Henderson,M,20,186,63,M,862951,EUR,954115200,M,8,8,False,27.0,22.0,5.0,1.0,8.0,9.0,28.0,2.0,1.0,,,90.0,61.0,7.3,17.0,0.160064,1,2.0,17.0,10.0,3.0,3.0,7.0,7.0,1.0,,2.0,6.0,,1.0,2.0,1.0,3.0,3.0,2.0,,,0.0954,,,,3.0,1.0,,,,,,,,,,,,,
12421242,home,K. Beerschot V.A.,Welat Cagro,,,cagro-welat,W. Cagro,M,47,188,51,M,988579,EUR,928108800,M,47,47,False,21.0,18.0,1.0,0.0,8.0,8.0,13.0,,,,,49.0,27.0,7.3,4.0,0.0945191,2,1.0,10.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,0.0706,0.3234,,,1.0,1.0,,,1.0,,,,,,,,,,
12421242,home,K. Beerschot V.A.,Rajiv Van La Parra,,,rajiv-van-la-parra,R. V. L. Parra,M,7,181,101,M,38096,EUR,675993600,M,77,77,False,18.0,14.0,1.0,0.0,3.0,3.0,17.0,7.0,4.0,,,90.0,59.0,7.3,21.0,0.229236,5,,12.0,2.0,1.0,1.0,14.0,13.0,,4.0,8.0,,,1.0,1.0,,7.0,2.0,2.0,2.0,,0.2363,0.2804,,3.0,6.0,,3.0,,,,,,,,,,,,
