match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,captain,stat_wasFouled,stat_lastManTackle,stat_blockedScoringAttempt,stat_hitWoodwork,stat_dispossessed,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals
12437613,home,Real Betis,Rui Silva,Rui,Silva,rui-silva,R. Silva,G,1,191,3299,M,253809,EUR,760579200,G,1,1,False,23.0,20.0,12.0,9.0,0.0,14.0,14.0,6.0,9.0,1.0,1.0,4.0,1.0,3.0,90.0,31.0,7.7,3.0,0.018306,1.0,0,0.2968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437613,home,Real Betis,Aitor Ruibal,,,aitor-ruibal,A. Ruibal,D,24,176,879,M,893062,EUR,827452800,D,24,24,False,28.0,22.0,7.0,4.0,0.0,10.0,11.0,13.0,19.0,2.0,,6.0,,,89.0,71.0,8.2,10.0,0.0395449,3.0,1,,2.0,1.0,1.0,1.0,8.0,2.0,2.0,1.0,5.0,1.0,3.0,5.0,3.0,1.0,1.0,0.0237,,,,,,,,,,,,,,,,
12437613,home,Real Betis,Marc Bartra,,,marc-bartra,M. Bartra,D,5,183,1917,M,99519,EUR,663897600,D,5,5,False,41.0,31.0,10.0,3.0,0.0,24.0,27.0,7.0,14.0,3.0,1.0,6.0,,,90.0,58.0,7.4,10.0,0.00277662,,1,,,,2.0,4.0,6.0,,,1.0,10.0,,1.0,1.0,1.0,,,0.0595,True,1.0,,,,,,,,,,,,,,
12437613,home,Real Betis,Diego Llorente,,,diego-llorente,D. Llorente,D,3,185,1146,M,305278,EUR,745459200,D,3,3,False,45.0,39.0,10.0,4.0,0.0,34.0,36.0,5.0,9.0,5.0,,3.0,,,90.0,63.0,7.3,7.0,0.00136488,,0,,,,5.0,2.0,5.0,,,,7.0,,4.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,
12437613,home,Real Betis,Romain Perraud,,,romain-perraud,R. Perraud,D,15,173,596,M,827519,EUR,874886400,D,15,15,False,47.0,37.0,5.0,1.0,0.0,23.0,27.0,14.0,23.0,1.0,,9.0,,,90.0,69.0,7.4,13.0,0.013071,1.0,0,,3.0,,,,4.0,2.0,2.0,,6.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,
12437613,home,Real Betis,Pablo Fornals,,,pablo-fornals,P. Fornals,M,8,178,2735,M,816763,EUR,824947200,M,18,18,False,39.0,32.0,7.0,4.0,0.0,9.0,10.0,27.0,36.0,2.0,1.0,7.0,,,90.0,58.0,8.0,11.0,0.306584,4.0,1,,7.0,4.0,1.0,1.0,2.0,,,,2.0,,3.0,1.0,,1.0,,0.1226,,,,1.0,1.0,,,,,,,,,,,
12437613,home,Real Betis,Johnny Cardoso,,,johnny,J. Cardoso,M,5,186,5097,M,990169,EUR,1000944000,M,4,4,False,42.0,33.0,7.0,3.0,0.0,20.0,23.0,13.0,19.0,5.0,,8.0,,,90.0,78.0,8.0,17.0,0.183182,2.0,1,,,,1.0,1.0,9.0,5.0,3.0,1.0,5.0,1.0,4.0,5.0,3.0,2.0,,0.2082,,,,,,2.0,1.0,,,,,,,,,
12437613,home,Real Betis,Sergi Altimira,,,sergi-altimira,S. Altimira,M,6,188,1049,M,1137814,EUR,998697600,M,16,16,False,44.0,40.0,5.0,4.0,0.0,19.0,20.0,21.0,25.0,4.0,1.0,6.0,,,90.0,59.0,7.2,7.0,0.0392711,1.0,1,,1.0,,1.0,1.0,4.0,,,1.0,3.0,,1.0,2.0,2.0,2.0,2.0,0.0265,,1.0,,,,,,,,,,,,,,
12437613,home,Real Betis,Abdessamad Ezzalzouli,,,abdessamad-ezzalzouli,A. Ezzalzouli,M,10,177,44492,M,1011375,EUR,1008547200,M,10,10,False,28.0,18.0,1.0,,0.0,3.0,4.0,15.0,25.0,4.0,1.0,4.0,,,89.0,53.0,7.1,18.0,0.0410409,1.0,7,,1.0,,1.0,1.0,4.0,3.0,3.0,7.0,1.0,1.0,,,,6.0,2.0,0.7866,,,,,1.0,,,ez_abde,2.0,,,,,,,
12437613,home,Real Betis,Vitor Roque,Vitor Roque,,vitor-roque,V. Roque,F,9,174,73281,M,1150391,EUR,1109548800,F,8,8,False,16.0,13.0,1.0,,0.0,3.0,4.0,10.0,13.0,5.0,,7.0,,,90.0,33.0,7.2,9.0,0.0599992,2.0,6,,1.0,,1.0,1.0,5.0,5.0,2.0,3.0,,,,,,2.0,1.0,0.4869,,2.0,,2.0,,,1.0,VRoque,2.0,1.0,2.0,0.0322,,,,
