match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_wasFouled,captain,player_sofascoreId,stat_bigChanceMissed,stat_punches,stat_clearanceOffLine,stat_ownGoals,stat_penaltyWon,stat_goals,stat_goalAssist
11067418,home,Santos,João Paulo,joao-paulo,J. Paulo,G,34,188,1599,M,795177,EUR,804384000,G,34,34,False,19.0,12.0,11.0,4.0,10.0,11.0,2.0,8.0,1.0,1.0,7.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,90.0,30.0,6.6,8.0,0.039523,0,0.5729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067418,home,Santos,Joaquim,joaquim,Joaquim,D,28,187,860,M,1047740,EUR,914803200,D,28,28,False,45.0,25.0,15.0,5.0,15.0,23.0,10.0,22.0,3.0,4.0,17.0,,,,,,,,90.0,69.0,7.6,24.0,0.0260518,1,,,,2.0,4.0,13.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,7.0,0.0897,1.0,,,,,,,,,,,,,,,,,,
11067418,home,Santos,João Basso,joao-basso,J. Basso,D,13,189,689,M,850955,EUR,853113600,D,2,2,False,48.0,38.0,8.0,3.0,26.0,31.0,12.0,17.0,1.0,1.0,4.0,,,,,,,,90.0,56.0,6.7,10.0,0.00636098,0,,,,1.0,2.0,5.0,,,,,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
11067418,home,Santos,Dodô,dodo,Dodô,D,,177,222,M,108481,EUR,697334400,D,16,16,False,43.0,36.0,3.0,1.0,15.0,17.0,21.0,26.0,3.0,2.0,12.0,,1.0,,,,,,90.0,62.0,6.6,9.0,0.0621807,0,,,,,2.0,5.0,,,,,1.0,3.0,3.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,
11067418,home,Santos,Lucas Braga,lucas-braga,L. Braga,M,22,184,437,M,934801,EUR,847584000,M,30,30,False,29.0,23.0,2.0,,13.0,14.0,10.0,18.0,1.0,1.0,6.0,,,,,,,,90.0,62.0,6.9,15.0,0.0285903,0,,,,,2.0,6.0,,2.0,1.0,,,1.0,3.0,3.0,,2.0,,,3.0,,,,,,,,,,,,,,,
11067418,home,Santos,Lucas Lima,lucas-lima,L. Lima,M,10,176,1742,M,244589,EUR,647481600,M,23,23,False,24.0,16.0,4.0,3.0,6.0,8.0,11.0,19.0,1.0,,5.0,,,,,,,,45.0,39.0,7.5,13.0,0.148221,3,,,,,1.0,6.0,1.0,1.0,1.0,,,,4.0,2.0,0.2295,3.0,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
11067418,home,Santos,Dodi,dodi,Dodi,M,17,169,1040,M,870804,EUR,829699200,M,19,19,False,15.0,13.0,,,5.0,5.0,8.0,11.0,6.0,1.0,6.0,,1.0,,,,,,73.0,31.0,6.3,7.0,0.00635746,3,,,,3.0,1.0,3.0,,1.0,,,1.0,,1.0,,0.1002,1.0,1.0,2.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,
11067418,home,Santos,Jean Lucas,jean-lucas,J. Lucas,M,6,181,3752,M,927975,EUR,898473600,M,8,8,False,35.0,29.0,5.0,4.0,12.0,16.0,17.0,23.0,5.0,1.0,12.0,,1.0,,,,,,90.0,58.0,6.3,15.0,0.0228633,3,,,,,,5.0,,3.0,2.0,,,,1.0,,0.0744,2.0,4.0,3.0,4.0,,1.0,2.0,,,2.0,True,,,,,,,,
11067418,home,Santos,Kevyson,kevyson,Kevyson,D,38,174,451,M,1389980,EUR,1080518400,M,38,38,False,12.0,6.0,2.0,,3.0,5.0,4.0,10.0,2.0,,2.0,,1.0,,,,,,45.0,25.0,7.0,10.0,0.0892089,1,,Kevyson,,,,5.0,,5.0,4.0,,,,1.0,,0.0254,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,
11067418,home,Santos,Maximiliano Silvera,maximiliano-silvera,M. Silvera,F,11,176,573,M,1121489,EUR,873417600,F,17,17,False,9.0,6.0,,,,1.0,6.0,8.0,10.0,,5.0,,,,,,,,45.0,26.0,6.7,9.0,0.0703441,4,,,,5.0,,1.0,1.0,4.0,,2.0,,1.0,1.0,1.0,0.165,1.0,,1.0,,,2.0,,,,,,,,,,,,,
