match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_challengeLost,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,captain,stat_goals,stat_penaltyConceded,stat_hitWoodwork,stat_penaltyMiss,player_sofascoreId
14035825,home,Royal Antwerp FC,Senne Lammens,,,senne-lammens,S. Lammens,G,31,193.0,27447,M,964753,EUR,1026000000,G,91,91,False,55.0,34.0,34.0,13.0,0.0,25.0,27.0,9.0,28.0,15.0,1.0,3.0,6.0,1.0,1.0,6.0,90.0,69.0,9.1,21.0,0.00310325,1.3182,0,1.7248,0.06,0.01,0.23,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Zeno Van Den Bosch,,,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191.0,594,M,1103765,EUR,1057449600,D,33,33,False,54.0,47.0,8.0,1.0,0.0,35.0,35.0,12.0,19.0,2.0,,,,,,,90.0,62.0,6.5,7.0,0.0471642,,0,,0.26,0.04,-0.12,,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Rosen Bozhinov,Rosen Bozhinov,,rosen-bozhinov,R. Bozhinov,D,2,195.0,619,M,1152943,EUR,1106438400,D,26,26,False,35.0,32.0,3.0,,0.0,29.0,30.0,3.0,5.0,8.0,,,,,,,90.0,52.0,7.0,3.0,0.00072938,,2,,-0.01,0.02,0.21,,2.0,3.0,9.0,,,8.0,1.0,1.0,,7.0,2.0,1.0,2.0,1.0,0.0366,-0.5,,,,,,,,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Andreas Verstraeten,Andreas,Verstraeten,andreas-verstraeten,A. Verstraeten,M,21,178.0,127,M,1465835,EUR,1136851200,D,21,21,False,38.0,33.0,6.0,3.0,0.0,23.0,24.0,10.0,14.0,3.0,,,,,,,90.0,48.0,6.7,8.0,0.00296916,,0,,0.09,0.01,0.17,,2.0,4.0,3.0,1.0,,3.0,1.0,,,1.0,,1.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Thibo Somers,,,somers-thibo,T. Somers,F,24,183.0,225,M,1002804,EUR,921542400,M,24,24,False,24.0,15.0,2.0,1.0,0.0,8.0,10.0,7.0,14.0,4.0,,,,,,,90.0,51.0,7.5,13.0,0.285159,,1,,0.43,0.1,-0.02,,,,7.0,,,3.0,3.0,,,2.0,,,4.0,1.0,0.0859,-0.19,,1.0,4.0,2.0,1.0,,,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Dennis Praet,,,dennis-praet,D. Praet,M,8,181.0,724,M,135647,EUR,768873600,M,8,8,False,38.0,30.0,4.0,3.0,0.0,19.0,24.0,11.0,14.0,,,,,,,,85.0,51.0,7.3,9.0,0.0528821,,0,,0.4,-0.09,-0.01,,,3.0,5.0,,,4.0,1.0,2.0,2.0,,,,3.0,2.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Mahamadou Doumbia,Mahamadou Doumbia,,mahamadou-doumbia,M. Doumbia,M,17,186.0,5407,M,1400846,EUR,1084579200,M,20,20,False,27.0,25.0,2.0,1.0,0.0,17.0,18.0,8.0,9.0,7.0,,,,,,,90.0,40.0,6.5,7.0,0.13697,,0,,0.29,0.19,-0.02,,3.0,11.0,5.0,5.0,1.0,,,3.0,1.0,1.0,,,,3.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Daam Foulon,,,daam-foulon,D. Foulon,M,5,180.0,205,M,826170,EUR,922147200,M,5,5,False,19.0,10.0,2.0,,0.0,5.0,10.0,5.0,9.0,1.0,,,,,,,90.0,48.0,6.6,18.0,0.0048431,,0,,-0.05,0.05,-0.04,,3.0,7.0,6.0,4.0,1.0,2.0,1.0,,,1.0,,,2.0,2.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Michel Ange Balikwisha,,,michel-ange-balikwisha,M. A. Balikwisha,M,10,177.0,4201,M,923969,EUR,989452800,F,10,10,False,24.0,17.0,,,0.0,10.0,11.0,7.0,13.0,1.0,,,,,,,90.0,45.0,6.7,15.0,0.0126843,,0,,-0.71,0.01,0.17,,1.0,6.0,8.0,5.0,2.0,,1.0,,1.0,2.0,,,2.0,2.0,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,
14035825,home,Royal Antwerp FC,Gyrano Kerk,,,gyrano-kerk,G. Kerk,M,7,175.0,505,M,386950,EUR,817862400,F,7,7,False,6.0,3.0,,,0.0,1.0,1.0,2.0,5.0,2.0,,,,,,,79.0,26.0,6.8,14.0,0.0400864,,2,,-0.11,0.54,0.14,,1.0,7.0,5.0,3.0,1.0,1.0,,1.0,1.0,2.0,,,1.0,1.0,0.1588,0.23,3.0,1.0,,,,,6.0,,1.0,2.0,3.0,0.5944,,,,,,
14035825,home,Royal Antwerp FC,Vincent Janssen,,,vincent-janssen,V. Janssen,F,18,184.0,1452,M,339901,EUR,771552000,F,18,18,False,20.0,17.0,3.0,2.0,0.0,9.0,9.0,8.0,11.0,4.0,,,,,,,90.0,43.0,8.4,11.0,0.0397173,,3,,0.14,0.54,-0.1,,2.0,6.0,10.0,3.0,,1.0,,1.0,,3.0,1.0,,4.0,4.0,0.2351,0.51,1.0,3.0,,,,,3.0,,,2.0,,0.1176,True,1.0,1.0,,,
14035825,home,Royal Antwerp FC,Gabriel Jesus David,Gabriel Jesus David,,david-gabriel-jesus,G. David,F,92,,96,M,2058686,EUR,1167696000,F,92,92,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,,,,,11.0,6.0,6.5,3.0,0.00053149,,0,,-0.01,0.02,0.13,,1.0,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,
14035825,home,Royal Antwerp FC,Mauricio Benitez,Mauricio Benitez,,mauricio-benitez,M. Benitez,M,16,185.0,390,M,1402224,EUR,1075766400,M,16,16,True,3.0,1.0,,,0.0,,,1.0,3.0,,,,,,,,11.0,4.0,6.5,2.0,0.00021484,,0,,0.0,-0.05,-0.04,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Yannick Thoelen,,,yannick-thoelen,Y. Thoelen,G,15,188.0,95,M,794571,EUR,648259200,G,15,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Kobe Corbanie,Kobe Corbanie,,corbanie-kobe,K. Corbanie,D,2,187.0,205,M,1463869,EUR,1115683200,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035825,home,Royal Antwerp FC,Semm Renders,,,semm-renders,S. Renders,D,17,180.0,243,M,1546054,EUR,1197849600,D,17,17,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
