match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_duelLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_keyPass,stat_aerialLost,stat_wasFouled,stat_dispossessed,stat_unsuccessfulTouch,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_totalOffside,stat_goalAssist,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_accurateCross
11481887,home,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195,877,M,256667,EUR,797644800,G,30.0,30,False,18.0,11.0,9.0,3.0,8.0,10.0,3.0,8.0,2.0,10.0,1.0,3.0,1.0,90.0,30.0,7.4,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11481887,home,Lecce,Valentin Gendrey,,,valentin-gendrey,V. Gendrey,D,15,179,294,M,944899,EUR,961545600,D,17.0,17,False,55.0,46.0,3.0,1.0,13.0,13.0,33.0,43.0,,3.0,,,,90.0,65.0,7.2,10.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11481887,home,Lecce,Marin Pongračić,,,marin-pongracic,M. Pongračić,D,5,193,2512,M,847467,EUR,873936000,D,5.0,5,False,40.0,36.0,3.0,2.0,23.0,26.0,13.0,14.0,1.0,11.0,,,,90.0,49.0,7.6,4.0,0.0,,1.0,4.0,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
11481887,home,Lecce,Federico Baschirotto,,,federico-baschirotto,F. Baschirotto,D,6,187,1369,M,786175,EUR,843177600,D,6.0,6,False,45.0,36.0,8.0,6.0,26.0,31.0,10.0,14.0,4.0,8.0,,,,90.0,54.0,7.1,9.0,0.0,,4.0,6.0,,1.0,1.0,6.0,,,,2.0,3.0,,3.0,1.0,,,,,,,,,,,,,,
11481887,home,Lecce,Antonino Gallo,,,antonino-gallo,A. Gallo,D,25,183,683,M,945616,EUR,947030400,D,25.0,25,False,6.0,3.0,,,2.0,3.0,1.0,3.0,,1.0,,,,15.0,9.0,6.6,3.0,0.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11481887,home,Lecce,Hamza Rafia,,,hamza-rafia,H. Rafia,M,24,178,2326,M,857772,EUR,923011200,M,8.0,8,False,34.0,31.0,5.0,3.0,4.0,4.0,27.0,32.0,2.0,3.0,,,,74.0,54.0,7.0,13.0,1.0,2.0,,2.0,1.0,1.0,1.0,7.0,1.0,,1.0,,2.0,2.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,
11481887,home,Lecce,Ylber Ramadani,,,ylber-ramadani,Y. Ramadani,M,20,185,1091,M,841977,EUR,829267200,M,20.0,20,False,44.0,39.0,7.0,6.0,11.0,11.0,28.0,34.0,,9.0,,,,90.0,61.0,8.2,8.0,1.0,1.0,1.0,11.0,,5.0,2.0,4.0,2.0,2.0,,2.0,,4.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,
11481887,home,Lecce,Joan González,,,joan-gonzalez,J. González,M,,190,177,M,1137730,EUR,1012521600,M,16.0,16,False,49.0,42.0,2.0,1.0,4.0,6.0,38.0,43.0,1.0,7.0,,,,90.0,61.0,7.8,8.0,3.0,,1.0,4.0,1.0,2.0,2.0,7.0,1.0,1.0,,,2.0,5.0,1.0,,1.0,,3.0,,1.0,1.0,,,,,,,,
11481887,home,Lecce,Pontus Almqvist,,,pontus-almqvist,P. Almqvist,F,11,183,454,M,856065,EUR,931564800,F,7.0,7,False,23.0,21.0,,,8.0,8.0,13.0,15.0,2.0,2.0,,,,83.0,38.0,7.2,7.0,4.0,,,3.0,2.0,1.0,1.0,4.0,2.0,,,,2.0,,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,
11481887,home,Lecce,Gabriel Strefezza,,,gabriel-strefezza,G. Strefezza,M,7,168,2222,M,877201,EUR,861321600,F,27.0,27,False,24.0,17.0,3.0,1.0,3.0,3.0,14.0,27.0,,2.0,,,,73.0,43.0,7.9,16.0,4.0,6.0,1.0,5.0,1.0,2.0,2.0,3.0,1.0,,,,2.0,4.0,,2.0,,1.0,1.0,,,3.0,,,,,,,,
11481887,home,Lecce,Lameck Banda,,,lameck-banda,L. Banda,M,19,165,4941,M,911350,EUR,980726400,F,22.0,22,False,25.0,20.0,1.0,,3.0,6.0,17.0,21.0,,12.0,,,,73.0,51.0,7.3,13.0,6.0,2.0,1.0,6.0,2.0,,,7.0,5.0,2.0,,,1.0,1.0,2.0,3.0,,2.0,1.0,,2.0,2.0,,,lameckbanda.10,2.0,,,,
