match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_outfielderBlock,stat_lastManTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,player_firstName,stat_keyPass,captain,stat_totalCross,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_expectedGoals,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_accurateCross,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12436543,home,Arsenal,David Raya,david-raya,D. Raya,G,1,183,26174,M,d_raya1,581310,EUR,811123200,G,22,22,False,42.0,30.0,19.0,8.0,0.0,25.0,26.0,5.0,16.0,1.0,8.0,1.0,1.0,90.0,48.0,6.1,13.0,0.00939507,0,-0.4787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436543,home,Arsenal,Ben White,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,False,28.0,22.0,3.0,2.0,0.0,13.0,15.0,9.0,13.0,5.0,2.0,,,86.0,49.0,6.5,8.0,0.0141448,0,,2.0,4.0,6.0,3.0,1.0,6.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12436543,home,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,2,2,False,51.0,47.0,2.0,,0.0,40.0,41.0,7.0,10.0,3.0,6.0,,,90.0,61.0,6.8,6.0,0.00225451,0,,,1.0,2.0,,1.0,4.0,,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12436543,home,Arsenal,Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15163,M,j_kiwior,976037,EUR,950572800,D,15,15,False,42.0,38.0,5.0,1.0,0.0,25.0,26.0,13.0,16.0,1.0,1.0,,,90.0,46.0,6.4,4.0,0.0036692,0,,,,,,,2.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12436543,home,Arsenal,Myles Lewis-Skelly,lewis-skelly-myles,M. Lewis-Skelly,D,49,178,16151,M,myleslewisskelly,1423711,EUR,1159228800,D,49,49,False,57.0,53.0,1.0,1.0,0.0,30.0,31.0,23.0,26.0,5.0,3.0,,3.0,90.0,72.0,6.8,8.0,0.0270245,0,,3.0,1.0,3.0,,,2.0,,1.0,,1.0,,2.0,,,Myles Lewis-Skelly,1.0,,,,,,,,,,,,,,,,,,
12436543,home,Arsenal,Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,78911,M,Ødegaard,547410,EUR,913852800,M,8,8,False,44.0,42.0,,,1.0,17.0,18.0,25.0,27.0,4.0,5.0,,3.0,90.0,59.0,7.5,8.0,0.180297,2,,,,,,1.0,1.0,,,,,,5.0,,,,1.0,True,1.0,1.0,1.0,2.0,0.1219,,,,,,,,,,,,
12436543,home,Arsenal,Thomas Partey,thomas-partey,T. Partey,M,16,185,42575,M,TPartey5,316148,EUR,739929600,M,5,5,False,50.0,38.0,4.0,,0.0,21.0,21.0,17.0,29.0,4.0,3.0,,1.0,90.0,66.0,6.4,18.0,0.140879,0,,1.0,,8.0,3.0,3.0,,1.0,1.0,1.0,,,2.0,1.0,,,,,,2.0,,,,,2.0,,,,,,,,,,
12436543,home,Arsenal,Declan Rice,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,23.0,19.0,,,0.0,10.0,12.0,9.0,13.0,7.0,4.0,,1.0,74.0,36.0,8.0,6.0,0.0826057,3,,1.0,1.0,2.0,,2.0,,1.0,3.0,2.0,,,,1.0,1.0,,1.0,,2.0,2.0,,,0.5869,,,2.0,1.0,1.0,0.9775,,,,,,
12436543,home,Arsenal,Bukayo Saka,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,20.0,17.0,,,0.0,6.0,6.0,11.0,15.0,4.0,4.0,,3.0,86.0,41.0,6.3,8.0,0.0600291,4,,,,4.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,,1.0,0.4817,,1.0,2.0,1.0,,0.1092,2.0,,,,,
12436543,home,Arsenal,Leandro Trossard,leandro-trossard,L. Trossard,F,19,172,31477,M,leandrotrossard,135666,EUR,786499200,F,19,19,False,19.0,16.0,,,0.0,6.0,6.0,10.0,14.0,4.0,3.0,,2.0,90.0,37.0,6.8,10.0,0.175985,2,,1.0,,4.0,,2.0,,,1.0,1.0,,,4.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,0.1488,,1.0,,1.0,,0.3653,1.0,,,,,
