match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalCross,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_errorLeadToAGoal,player_sofascoreId,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,captain,stat_accurateCross,stat_bigChanceMissed,stat_errorLeadToAShot,stat_totalOffside,stat_punches,stat_goalAssist,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_goals
10385411,home,Southampton,Gavin Bazunu,Gavin,Bazunu,bazunu-gavin,G. Bazunu,G,31,189,914,M,936719,EUR,1014163200,G,31,31,False,26.0,13.0,16.0,3.0,12.0,13.0,1.0,13.0,1.0,1.0,5.0,1.0,90.0,31.0,6.3,13.0,0.0,0.0,0.0004141,0,-0.4584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385411,home,Southampton,Armel Bella-Kotchap,,,armel-bella-kotchap,A. Bella-Kotchap,D,37,190,1085,M,976025,EUR,1008028800,D,37,37,False,12.0,8.0,5.0,1.0,7.0,8.0,1.0,4.0,,3.0,3.0,,34.0,22.0,6.5,6.0,0.0,0.0,0.00039484,0,,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10385411,home,Southampton,Lyanco,,,lyanco,Lyanco,D,4,187,2875,M,797893,EUR,854755200,D,4,4,False,46.0,35.0,11.0,2.0,27.0,30.0,8.0,17.0,,1.0,6.0,,85.0,57.0,6.0,15.0,0.0,0.0,0.00447288,0,,3.0,3.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10385411,home,Southampton,Mohammed Salisu,,,mohammed-salisu,M. Salisu,D,22,188,5721,M,946158,EUR,924307200,D,22,22,False,66.0,50.0,12.0,3.0,32.0,39.0,18.0,27.0,5.0,8.0,8.0,,90.0,88.0,6.5,21.0,0.0422,0.0,0.0136543,1,,1.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,,,,,,,salisu_sarki,1.0,2.0,1.0,,,,,,,,,,,,,
10385411,home,Southampton,Roméo Lavia,Romeo Lavia,,romeo-lavia,R. Lavia,M,45,181,16643,M,1069488,EUR,1073347200,M,45,45,False,20.0,16.0,1.0,1.0,8.0,9.0,8.0,11.0,1.0,5.0,5.0,,64.0,33.0,6.8,8.0,0.0,0.0,0.00994441,0,,,4.0,1.0,1.0,4.0,2.0,2.0,,2.0,,,,,,romeolavia,,2.0,,,,,,,,,,,,,,
10385411,home,Southampton,Kyle Walker-Peters,,,kyle-walker-peters,K. Walker-Peters,D,2,173,1504,M,823085,EUR,860889600,M,2,2,False,50.0,42.0,3.0,2.0,10.0,13.0,32.0,39.0,2.0,8.0,6.0,,90.0,77.0,6.9,16.0,0.0218,0.0,0.0937119,1,,1.0,7.0,,,,,,5.0,1.0,2.0,3.0,1.0,,,,,3.0,,1.0,1.0,2.0,,,,,,,,,,
10385411,home,Southampton,James Ward-Prowse,,,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,161717,EUR,783648000,M,8,8,False,62.0,56.0,3.0,2.0,22.0,22.0,39.0,54.0,4.0,5.0,6.0,,90.0,87.0,7.4,17.0,0.0898,0.0,0.205864,1,,1.0,5.0,1.0,2.0,1.0,,,,2.0,14.0,,,,,prowsey16,,2.0,1.0,,,3.0,True,5.0,,,,,,,,
10385411,home,Southampton,Mohamed Elyounoussi,,,mohamed-elyounoussi,M. Elyounoussi,M,10,176,2069,M,119151,EUR,775958400,M,24,24,False,36.0,22.0,4.0,2.0,9.0,12.0,14.0,25.0,2.0,9.0,4.0,,90.0,58.0,6.6,20.0,0.0924,0.0,0.029548,1,,4.0,9.0,,,2.0,,3.0,4.0,1.0,1.0,1.0,1.0,,,,1.0,3.0,1.0,,,,,1.0,,,,,,,,
10385411,home,Southampton,Romain Perraud,,,romain-perraud,R. Perraud,D,15,173,596,M,827519,EUR,874886400,M,15,15,False,25.0,18.0,5.0,2.0,6.0,7.0,13.0,20.0,2.0,4.0,2.0,,64.0,45.0,6.4,11.0,0.0,0.0,0.139058,0,,4.0,6.0,1.0,,2.0,2.0,,,,2.0,,,,,,,2.0,,,,,,1.0,,,,,,,,
10385411,home,Southampton,Sékou Mara,,,sekou-mara,S. Mara,F,9,184,963,M,1047484,EUR,1027987200,F,18,18,False,11.0,9.0,,,1.0,2.0,8.0,9.0,3.0,5.0,5.0,,64.0,24.0,6.6,9.0,0.0174,0.0,0.00402782,1,,4.0,8.0,,,2.0,1.0,4.0,,1.0,,,,,,,,3.0,1.0,,,,,,,,,,,,,
