match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_fouls,captain,stat_goalAssist,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_bigChanceMissed,stat_goals,stat_hitWoodwork
11450050,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,187,62,M,94540,EUR,647568000,G,35,35,False,29.0,27.0,10.0,8.0,22.0,23.0,5.0,6.0,1.0,1.0,13.0,3.0,3.0,5.0,90.0,48.0,8.8,4.0,0.00375885,1.0,0,2.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450050,home,Sivasspor,Murat Paluli,murat-paluli,M. Paluli,D,175,36,M,893014,EUR,776390400,D,99,99,False,41.0,33.0,2.0,1.0,5.0,6.0,30.0,38.0,1.0,1.0,3.0,,,,89.0,71.0,7.1,17.0,0.123831,2.0,0,,7,3.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
11450050,home,Sivasspor,Aaron Appindangoyé,aaron-appindangoye,A. Appindangoyé,D,185,334,M,785850,EUR,698544000,D,4,4,False,47.0,38.0,15.0,7.0,27.0,27.0,11.0,20.0,9.0,2.0,5.0,,,,90.0,64.0,8.2,10.0,0.244074,1.0,2,,2,,,1.0,2.0,,,,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,0.1751,0.3286,,,,,,,,,,,,
11450050,home,Sivasspor,Samba Camara,samba-camara,S. Camara,D,190,68,M,837301,EUR,721699200,D,14,14,False,50.0,45.0,6.0,3.0,28.0,30.0,17.0,20.0,3.0,1.0,8.0,,,,90.0,67.0,7.7,6.0,0.00462588,,1,,14,,,2.0,5.0,1.0,,1.0,1.0,1.0,,,,,1.0,,4.0,0.1089,,4.0,2.0,1.0,1.0,,,,,,,,
11450050,home,Sivasspor,Uğur Çiftçi,ugur-ciftci,U. Çiftçi,D,180,65,M,142850,EUR,704937600,D,3,3,False,34.0,26.0,4.0,,6.0,8.0,24.0,31.0,,1.0,4.0,,,,90.0,55.0,7.6,13.0,0.624213,3.0,0,,58,5.0,4.0,5.0,1.0,1.0,1.0,1.0,,2.0,,,,2.0,,,,,,1.0,1.0,,2.0,True,1.0,,,,,,
11450050,home,Sivasspor,Charis Charisis,charis-charisis,C. Charisis,M,177,130,M,317297,EUR,789868800,M,8,8,False,41.0,32.0,2.0,2.0,8.0,8.0,24.0,38.0,1.0,,2.0,,,,87.0,64.0,7.2,20.0,0.0305543,1.0,2,,8,5.0,,3.0,5.0,2.0,,2.0,2.0,6.0,1.0,,,,1.0,,,0.1085,,2.0,,,1.0,,,1.0,,,,,
11450050,home,Sivasspor,Achilleas Poungouras,achilleas-poungouras,A. Poungouras,D,187,79,M,783466,EUR,818812800,M,44,44,False,28.0,22.0,3.0,,16.0,19.0,6.0,9.0,,3.0,7.0,,,,90.0,39.0,6.5,7.0,0.00418222,,1,,15,,,8.0,4.0,5.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,,,0.4858,,2.0,1.0,,,,,,Achilleas,Poungouras,1.0,,
11450050,home,Sivasspor,Bartuğ Elmaz,bartug-elmaz,B. Elmaz,M,179,1215,M,997165,EUR,1045612800,M,33,33,False,42.0,37.0,7.0,6.0,15.0,16.0,26.0,32.0,1.0,,1.0,,,,64.0,52.0,7.2,7.0,0.306475,3.0,0,,6,6.0,4.0,4.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,3.0,,,,,,,,
11450050,home,Sivasspor,Bengali-Fodé Koita,bengali-fode-koita,B. Koita,M,186,217,M,51407,EUR,656467200,F,55,55,False,31.0,26.0,1.0,1.0,4.0,4.0,23.0,29.0,,,8.0,,,,90.0,54.0,8.0,13.0,0.606724,2.0,1,,55,2.0,1.0,7.0,8.0,,3.0,3.0,1.0,2.0,5.0,,,2.0,,1.0,1.0,0.037,0.5216,2.0,1.0,,2.0,,,,,,,,
11450050,home,Sivasspor,Rey Manaj,rey-manaj,R. Manaj,F,182,2059,M,587882,EUR,856742400,F,9,9,False,15.0,11.0,,,1.0,1.0,10.0,15.0,,,1.0,,,,90.0,36.0,7.2,11.0,0.0453565,,7,,9,1.0,,3.0,5.0,,1.0,2.0,2.0,5.0,1.0,1.0,1.0,,2.0,3.0,,1.6915,2.041,1.0,,,1.0,,,2.0,,,2.0,1.0,
