match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateLongBalls,stat_totalCross,stat_duelLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_blockedScoringAttempt,stat_interceptionWon,stat_aerialLost,stat_outfielderBlock,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,captain,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_errorLeadToAGoal,stat_clearanceOffLine
11453077,home,Al-Nassr,David Ospina,,,david-ospina,D. Ospina,G,1,183,5027,M,D_Ospina1,33596,EUR,588988800,G,26,26,False,17.0,16.0,1.0,15.0,15.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,90.0,23.0,6.7,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453077,home,Al-Nassr,Ayman Yahya,,,ayman-ahmed,A. Yahya,M,23,168,1412,M,,1130539,EUR,989798400,D,23,23,False,56.0,51.0,1.0,9.0,9.0,42.0,51.0,1.0,5.0,,3.0,1.0,,,,,90.0,74.0,7.1,11.0,0,1.0,4.0,5.0,1.0,3.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
11453077,home,Al-Nassr,Ali Lajami,,,ali-lajami,A. Lajami,D,78,175,1281,M,,818667,EUR,830390400,D,78,78,False,48.0,44.0,,27.0,28.0,17.0,20.0,5.0,9.0,2.0,4.0,,,,,,90.0,61.0,7.1,5.0,1,,,2.0,,4.0,3.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
11453077,home,Al-Nassr,Mohammed Al-Fatil,,,mohammed-al-fatil,M. Al-Fatil,D,33,181,549,M,,328829,EUR,694483200,D,4,4,False,50.0,49.0,3.0,29.0,29.0,20.0,21.0,,2.0,2.0,10.0,1.0,,,,,90.0,59.0,6.9,2.0,0,2.0,,4.0,1.0,1.0,1.0,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11453077,home,Al-Nassr,Alex Telles,,,alex-telles,A. Telles,D,13,181,7625,M,alextelles13,312110,EUR,724377600,D,15,15,False,38.0,35.0,1.0,12.0,12.0,28.0,35.0,1.0,2.0,1.0,2.0,,,,,,75.0,61.0,7.5,9.0,0,1.0,9.0,3.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,5.0,2.0,3.0,,,,,,,,,,,,,,,,
11453077,home,Al-Nassr,Otávio,,,otavio,Otávio,M,25,171,6951,M,otavio,244801,EUR,792288000,M,25,25,False,73.0,63.0,11.0,17.0,17.0,46.0,57.0,,5.0,1.0,6.0,4.0,,,,,75.0,87.0,8.1,12.0,2,7.0,1.0,4.0,1.0,,,,1.0,,1.0,,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
11453077,home,Al-Nassr,Marcelo Brozović,,,marcelo-brozovic,M. Brozović,M,11,181,13081,M,marcelo_brozovic,108800,EUR,721872000,M,77,77,False,107.0,98.0,9.0,27.0,29.0,73.0,81.0,2.0,8.0,1.0,11.0,,,,,,83.0,130.0,8.1,16.0,0,9.0,3.0,5.0,1.0,5.0,4.0,3.0,1.0,,3.0,1.0,,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,
11453077,home,Al-Nassr,Sadio Mané,,,sadio-mane,S. Mané,M,10,175,169227,M,SadioMané,217704,EUR,702864000,M,10,10,False,44.0,38.0,2.0,4.0,4.0,34.0,44.0,,7.0,,3.0,3.0,,,,,90.0,70.0,7.8,20.0,3,1.0,4.0,10.0,6.0,1.0,1.0,2.0,1.0,,,,,,2.0,3.0,2.0,4.0,3.0,2.0,,,2.0,2.0,1.0,1.0,,,,,,
11453077,home,Al-Nassr,Sami Al-Najei,,,sami-al-najei,S. Al-Najei,M,14,181,886,M,,832312,EUR,855273600,M,14,14,False,20.0,17.0,1.0,4.0,4.0,13.0,16.0,,2.0,,4.0,,,,,,45.0,27.0,6.5,5.0,1,,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,
11453077,home,Al-Nassr,Abdulrahman Ghareeb,,,abdulrahman-ghareeb,A. Ghareeb,F,29,164,2201,M,,1014447,EUR,859766400,M,29,29,False,56.0,51.0,,9.0,10.0,43.0,49.0,,3.0,,3.0,,,,,,85.0,76.0,9.0,12.0,3,,3.0,2.0,3.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,4.0,,1.0,3.0,1.0,,1.0,1.0,,1.0,,,,,,,
