match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_dispossessed,stat_challengeLost,player_sofascoreId,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_bigChanceMissed
11396182,away,VfB Stuttgart,Jamie Leweling,,,leweling-jamie,J. Leweling,M,18,184,1954,M,990201,EUR,983145600,M,18,18,False,35.0,32.0,1.0,1.0,10.0,10.0,22.0,26.0,,2.0,,,,,71.0,54.0,6.6,14.0,0.0581826,4,,1.0,,,9.0,1.0,,,1.0,,,1.0,,,1.0,0.2556,,1.0,3.0,,2.0,5.0,,,,1.0,0.0943,,,,1.0,,
11396182,away,VfB Stuttgart,Chris Führich,,,chris-fuhrich,C. Führich,M,10,178,1574,M,891510,EUR,884304000,M,27,27,False,37.0,36.0,,,15.0,15.0,21.0,23.0,,,,,,,71.0,45.0,7.0,5.0,0.0799744,2,,1.0,,,2.0,2.0,,,2.0,,,,,,2.0,0.2333,,1.0,1.0,,1.0,,,,,1.0,0.0468,,,,,,
11396182,away,VfB Stuttgart,Serhou Guirassy,,,serhou-guirassy,S. Guirassy,F,9,187,50480,M,328027,EUR,826588800,F,9,9,False,36.0,33.0,1.0,1.0,14.0,15.0,19.0,21.0,3.0,2.0,,,,,90.0,50.0,8.1,7.0,0.54946,1,,,,3.0,6.0,5.0,,,2.0,1.0,,,,1.0,2.0,0.4788,6.0,3.0,1.0,,,1.0,,guirassy19off,,1.0,0.7079,,,1.0,,1.0,
11396182,away,VfB Stuttgart,Deniz Undav,,,deniz-undav,D. Undav,F,26,179,7593,M,794298,EUR,837734400,F,26,26,False,38.0,31.0,1.0,1.0,6.0,6.0,25.0,33.0,,1.0,,,,,84.0,49.0,7.3,10.0,0.159151,7,,1.0,,,1.0,,,,,,,4.0,,,,0.5242,2.0,,1.0,,1.0,,,denizundav,,2.0,0.3117,,,,,,
11396182,away,VfB Stuttgart,Woo-Yeong Jeong,,,woo-yeong-jeong,W. Jeong,M,11,179,1574,M,927405,EUR,937785600,M,10,10,True,16.0,15.0,1.0,1.0,6.0,6.0,9.0,10.0,,2.0,,,,,19.0,18.0,6.8,1.0,0.00638181,1,,,,,1.0,1.0,,,,1.0,,,,,1.0,0.0398,,,,,,,,,,1.0,0.0493,,,,,,
11396182,away,VfB Stuttgart,Silas,,,silas-katompa-mvumpa,S. K. Mvumpa,M,26,189,7725,M,949062,EUR,907632000,F,14,14,True,6.0,6.0,,,2.0,2.0,4.0,5.0,,1.0,,,,,19.0,8.0,6.3,1.0,0.00134542,1,,1.0,,,1.0,,,,,,,,,,,0.2445,,1.0,,,,,,silas,,1.0,0.304,,,,,,1.0
11396182,away,VfB Stuttgart,Anthony Rouault,,,anthony-rouault,A. Rouault,D,24,186,602,M,991479,EUR,991094400,D,29,29,True,9.0,5.0,2.0,,2.0,2.0,3.0,7.0,1.0,,,,,,10.0,10.0,6.5,4.0,0.00269716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396182,away,VfB Stuttgart,Atakan Karazor,,,atakan-karazor,A. Karazor,M,16,190,1082,M,801030,EUR,845164800,M,16,16,True,9.0,9.0,,,6.0,6.0,3.0,3.0,,1.0,,,,,10.0,10.0,6.6,,0.00297852,0,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
11396182,away,VfB Stuttgart,Fabian Bredlow,,,fabian-bredlow,F. Bredlow,G,1,191,219,M,152463,EUR,794102400,G,1,1,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396182,away,VfB Stuttgart,Pascal Stenzel,,,pascal-stenzel,P. Stenzel,D,15,184,266,M,352562,EUR,827280000,D,15,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396182,away,VfB Stuttgart,Genki Haraguchi,,,genki-haraguchi,G. Haraguchi,M,78,177,395,M,48243,EUR,673747200,M,17,17,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396182,away,VfB Stuttgart,Mahmoud Dahoud,,,mahmoud-dahoud,M. Dahoud,M,18,177,1901,M,341589,EUR,820454400,M,5,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396182,away,VfB Stuttgart,Luca Raimund,Luca Raimund,,raimund-luca,L. Raimund,F,7,188,162,M,1409371,EUR,1113004800,M,40,40,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
