match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,player_firstName,player_lastName,stat_outfielderBlock,stat_keyPass,stat_aerialWon,stat_fouls,stat_aerialLost,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_ownGoals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,captain,player_sofascoreId,stat_hitWoodwork,stat_penaltyWon,stat_penaltyMiss,stat_accurateCross,stat_penaltyFaced,stat_penaltyConceded
14109708,home,Gaziantep FK,Zafer Görgen,zafer-gorgen,Z. Görgen,G,20,188,71,M,930907,EUR,951091200,G,20,20,False,26.0,22.0,6.0,2.0,0.0,22.0,23.0,3.0,1.0,8.0,1.0,2.0,1.0,1.0,90.0,35.0,6.6,4.0,0.00011759,0.2831,0,-0.4886,0.04,0.01,-0.18,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109708,home,Gaziantep FK,Luis Pérez,luis-perez,L. Pérez,D,2,173,259,M,843180,EUR,791856000,D,2,2,False,24.0,19.0,2.0,,0.0,13.0,16.0,8.0,4.0,1.0,,,,,60.0,40.0,5.6,9.0,0.00380578,,0,,-0.25,0.02,-0.68,,6.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109708,home,Gaziantep FK,Arda Kızıldağ,arda-kizildag,A. Kızıldağ,D,4,187,127,M,904228,EUR,908409600,D,4,4,False,47.0,43.0,4.0,1.0,0.0,30.0,31.0,16.0,1.0,1.0,,,,,60.0,55.0,6.7,5.0,0.0522403,,0,,0.32,0.15,-0.29,,13.0,,,3.0,,,2.0,2.0,2.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14109708,home,Gaziantep FK,Myenty Abena,myenty-abena,M. Abena,D,14,191,242,M,555422,EUR,787190400,D,14,14,False,54.0,51.0,1.0,1.0,0.0,47.0,48.0,6.0,5.0,1.0,,,,,90.0,61.0,6.5,3.0,0.00159209,,0,,0.05,0.06,-0.28,,4.0,,4.0,5.0,,,1.0,,,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,
14109708,home,Gaziantep FK,Kévin Rodrigues,kevin-rodrigues,K. Rodrigues,D,77,169,248,M,234232,EUR,762825600,D,77,77,False,61.0,47.0,8.0,4.0,0.0,30.0,33.0,28.0,1.0,4.0,,,,,90.0,85.0,7.1,17.0,0.0377072,,1,,0.27,0.17,-0.9,,17.0,3.0,7.0,7.0,4.0,1.0,5.0,3.0,2.0,,,2.0,,,,,,1.0,,3.0,1.0,1.0,1.0,1.0,0.0246,0.0672,0.55,,,,,,,,,,,,,
14109708,home,Gaziantep FK,Melih Kabasakal,kabasakal-melih,M. Kabasakal,M,6,178,97,M,828872,EUR,824601600,M,6,6,False,45.0,41.0,4.0,2.0,1.0,22.0,25.0,20.0,2.0,3.0,,,,,90.0,53.0,6.7,4.0,0.0178604,,0,,-0.02,0.25,-0.16,,19.0,,4.0,3.0,,1.0,1.0,2.0,1.0,,,,,,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14109708,home,Gaziantep FK,Drissa Camara,drissa-camara,D. Camara,M,3,179,601,M,958167,EUR,1013990400,M,3,3,False,42.0,36.0,1.0,1.0,0.0,19.0,21.0,21.0,,5.0,,,,,90.0,68.0,7.1,16.0,0.319197,,3,,0.38,0.46,-0.15,,17.0,1.0,6.0,8.0,1.0,7.0,,,,,4.0,4.0,1.0,,,,3.0,,1.0,,4.0,2.0,,,0.6109,0.3331,-0.57,1.0,3.0,1.0,1.0,,,,,,,,,
14109708,home,Gaziantep FK,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,10,182,3151,M,984602,EUR,1066262400,M,10,10,False,41.0,35.0,2.0,1.0,1.0,21.0,23.0,18.0,,6.0,,,,,90.0,52.0,6.4,10.0,0.172758,,2,,-0.26,0.26,-0.12,,14.0,1.0,5.0,2.0,,2.0,,1.0,1.0,,,1.0,,,,,1.0,,2.0,,,1.0,,,0.2206,0.1973,-0.07,1.0,1.0,1.0,,1.0,,,,,,,,
14109708,home,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,44,177,793,M,180511,EUR,647395200,M,44,44,False,45.0,39.0,7.0,5.0,0.0,22.0,23.0,22.0,,3.0,,,,,56.0,54.0,7.0,11.0,0.298788,,0,,0.43,0.13,-0.09,,17.0,1.0,5.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,3.0,1.0,,,,True,,,,,,,
14109708,home,Gaziantep FK,Christophe Lungoyi,christophe-lungoyi,C. Lungoyi,F,11,180,197,M,883355,EUR,962668800,M,11,11,False,18.0,16.0,,,0.0,10.0,11.0,7.0,,4.0,,,,,81.0,31.0,6.2,7.0,0.00955906,,2,,0.03,0.16,-0.1,,6.0,,7.0,3.0,,3.0,1.0,1.0,1.0,,2.0,2.0,,,,,,,3.0,2.0,,1.0,,,0.0494,0.0162,-0.11,,,,,1.0,,,,,,,,
