match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalTackle,stat_totalOffside,stat_aerialLost,stat_wonTackle,stat_errorLeadToAShot,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,captain,stat_outfielderBlock,stat_goalAssist,stat_penaltyWon,stat_bigChanceCreated,stat_clearanceOffLine,player_sofascoreId,stat_goals,stat_goodHighClaim
10913435,home,Al Adalah,Milan Mijatović,,,milan-mijatovic,M. Mijatović,G,1,192,102,M,55655,EUR,554256000,G,1,1,False,31.0,26.0,9.0,4.0,25.0,26.0,1.0,5.0,1.0,2.0,6.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,90.0,42.0,6.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913435,home,Al Adalah,Abdulaziz Aljamman,Abdulaziz,Aljamman,abdulaziz-aljamman,A. Aljamman,D,29,176,2,M,880822,EUR,823132800,D,11,11,False,17.0,15.0,2.0,1.0,9.0,10.0,7.0,9.0,1.0,1.0,4.0,,,,,,,,62.0,33.0,5.7,8.0,0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
10913435,home,Al Adalah,Boris Godál,,,boris-godal,B. Godál,D,,188,10,M,63215,EUR,549072000,D,33,33,False,57.0,49.0,9.0,5.0,37.0,38.0,12.0,19.0,2.0,2.0,9.0,,,,,,,,90.0,69.0,5.9,9.0,1,,,2.0,,,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10913435,home,Al Adalah,Ali Al-Salem,,,ali-al-salem,A. Al-Salem,D,2,181,21,M,990189,EUR,903052800,D,49,49,False,54.0,41.0,10.0,2.0,33.0,39.0,8.0,15.0,4.0,3.0,5.0,2.0,,,,,,,89.0,65.0,5.7,14.0,0,,,4.0,,1.0,,1.0,,,2.0,,,,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,
10913435,home,Al Adalah,Mohammed Al Oufi,Mohammed Al Oufi,,mohammed-al-oufi,M. A. Oufi,D,23,168,14,M,1050350,EUR,1028764800,D,23,23,False,23.0,15.0,2.0,,11.0,15.0,5.0,12.0,4.0,1.0,3.0,1.0,,,,,,,82.0,46.0,5.3,19.0,1,4.0,1.0,6.0,,4.0,2.0,,2.0,,,,,1.0,,1.0,,3.0,,,1.0,,,,,,,,,,,
10913435,home,Al Adalah,Reinaldo Lenis,,,reinaldo-lenis,R. Lenis,F,,180,49,,325679,EUR,711590400,M,10,10,False,25.0,22.0,1.0,,8.0,8.0,14.0,17.0,2.0,,3.0,,,,,,,,89.0,43.0,6.2,10.0,2,,,3.0,1.0,,,1.0,3.0,,1.0,1.0,,,,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,
10913435,home,Al Adalah,Edson,,,edson,Edson,D,3,183,68,M,578420,EUR,678326400,M,19,19,False,58.0,51.0,8.0,7.0,37.0,41.0,14.0,17.0,11.0,1.0,6.0,4.0,,,,,,,90.0,76.0,7.2,9.0,0,,,4.0,1.0,3.0,3.0,1.0,1.0,,1.0,,,2.0,,4.0,,,3.0,,,,,True,1.0,,,,,,,
10913435,home,Al Adalah,Khaled Al-Hamdhi,Khaled Al-Hamdhi,,khaled-al-hamdhi,K. Al-Hamdhi,M,16,173,3,M,1914878,EUR,682387200,M,16,16,False,33.0,29.0,4.0,3.0,20.0,23.0,9.0,11.0,3.0,1.0,7.0,1.0,,,,,,,62.0,41.0,6.7,6.0,1,1.0,,2.0,,,,,1.0,,2.0,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,
10913435,home,Al Adalah,Pedro Eugénio,,,pedro-eugenio,P. Eugénio,M,,172,27,,252373,EUR,646358400,M,90,90,False,21.0,18.0,3.0,2.0,9.0,9.0,10.0,18.0,3.0,1.0,4.0,2.0,,,,,,,90.0,39.0,6.0,11.0,2,6.0,1.0,5.0,,1.0,,,1.0,,1.0,1.0,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,
10913435,home,Al Adalah,David Tijanič,,,david-tijanic,D. Tijanič,F,43,174,389,M,827369,EUR,869011200,F,43,43,False,51.0,42.0,1.0,1.0,27.0,31.0,16.0,24.0,2.0,,7.0,,,,,,,,90.0,59.0,6.8,13.0,0,4.0,1.0,2.0,1.0,,,,,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,
