match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_errorLeadToAGoal,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,captain,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_challengeLost,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_fouls,stat_bigChanceMissed,stat_goals,stat_accurateCross,stat_totalOffside,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_outfielderBlock
11401956,home,Feyenoord,Justin Bijlow,bijlow-justin,J. Bijlow,G,16,190,1386,M,556696,EUR,885427200,G,1,1,False,48.0,45.0,8.0,5.0,42.0,43.0,3.0,5.0,1.0,1.0,1.0,90.0,49.0,5.6,3.0,0.00195054,0,-1.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401956,home,Feyenoord,Lutsharel Geertruida,lutsharel-geertruida,L. Geertruida,D,6,185,2489,M,856739,EUR,963878400,D,4,4,False,93.0,86.0,4.0,2.0,31.0,31.0,55.0,63.0,,,,90.0,105.0,7.0,10.0,0.0591899,2,,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,0.1042,,,,,,,,,,,,,,,,,,,,,,,
11401956,home,Feyenoord,Gernot Trauner,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,80.0,78.0,3.0,2.0,38.0,38.0,40.0,42.0,,,,63.0,87.0,6.8,2.0,0.018329,0,,,1.0,,1.0,3.0,,,,,5.0,2.0,1.0,,,True,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11401956,home,Feyenoord,Dávid Hancko,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,121.0,113.0,4.0,,55.0,57.0,58.0,66.0,,,,90.0,134.0,7.4,12.0,0.458103,1,,2.0,,3.0,,8.0,2.0,2.0,,,8.0,2.0,1.0,2.0,0.0237,,,,1.0,1.0,0.0208,1.0,,,,,,,,,,,,,,,,
11401956,home,Feyenoord,Quilindschy Hartman,quilindschy-hartman,Q. Hartman,D,3,183,1253,M,1392044,EUR,1005696000,D,5,5,False,82.0,69.0,8.0,5.0,34.0,35.0,35.0,50.0,,,,80.0,104.0,7.2,20.0,0.0914068,2,,3.0,,1.0,3.0,3.0,,,1.0,1.0,8.0,2.0,1.0,,0.1033,,,,1.0,,,5.0,,,1.0,2.0,,,,,,,,,,,,
11401956,home,Feyenoord,Mats Wieffer,mats-wieffer,M. Wieffer,M,27,188,2174,M,959628,EUR,942710400,M,20,20,False,85.0,71.0,6.0,4.0,20.0,22.0,51.0,65.0,,,,90.0,117.0,8.3,20.0,0.265748,1,,2.0,2.0,2.0,8.0,12.0,3.0,2.0,1.0,,13.0,6.0,4.0,,0.0202,,,6.0,2.0,,,3.0,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,
11401956,home,Feyenoord,Quinten Timber,quinten-timber,Q. Timber,M,27,177,8611,M,959805,EUR,992736000,M,8,8,False,38.0,32.0,,,2.0,2.0,30.0,38.0,,,,90.0,71.0,7.6,17.0,0.146808,4,,2.0,,,8.0,11.0,6.0,4.0,1.0,1.0,8.0,7.0,4.0,4.0,0.6317,,1.0,,,2.0,0.439,3.0,,,,2.0,,,4.0,1.0,,,,,,,,
11401956,home,Feyenoord,Javairô Dilrosun,javairo-dilrosun,J. Dilrosun,F,24,175,728,M,803028,EUR,898473600,M,11,11,False,33.0,32.0,,,3.0,3.0,29.0,34.0,,,,71.0,52.0,7.8,8.0,0.0901989,1,,4.0,,,3.0,6.0,1.0,,,,2.0,2.0,1.0,1.0,0.0739,,,1.0,4.0,1.0,0.5622,,,,1.0,1.0,,,,,1.0,,,,,,,
11401956,home,Feyenoord,Calvin Stengs,calvin-stengs,C. Stengs,M,23,187,1733,M,857480,EUR,913939200,M,10,10,False,39.0,31.0,2.0,2.0,5.0,5.0,27.0,40.0,,,,80.0,61.0,7.6,17.0,0.173475,1,,6.0,,,4.0,6.0,6.0,4.0,,1.0,5.0,2.0,2.0,1.0,0.0219,,,,,,,2.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,
11401956,home,Feyenoord,Igor Paixão,igor-paixao,I. Paixão,F,14,168,12525,M,981815,EUR,962150400,M,14,14,False,12.0,9.0,,,1.0,1.0,8.0,13.0,,,,63.0,31.0,7.3,11.0,0.164267,4,,2.0,4.0,1.0,7.0,6.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,4.0,0.507,,,,1.0,,,1.0,,,,,,1.0,2.0,,,,,,,,,
