match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_keyPass,stat_onTargetScoringAttempt,captain,stat_shotOffTarget,stat_goals,stat_accurateCross,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_crossNotClaimed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_wonContest,stat_bigChanceMissed,stat_bigChanceCreated
13078226,home,FC Eindhoven,Jorn Brondeel,Jorn,Brondeel,jorn-brondeel,J. Brondeel,G,26,188.0,32,M,787948,EUR,747360000,G,26,26,False,41.0,22.0,24.0,5.0,0.0,21.0,29.0,1.0,12.0,1.0,2.0,3.0,15.0,1.0,5.0,6.0,1.0,90.0,60.0,7.2,19.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13078226,home,FC Eindhoven,Tibo Persyn,,,tibo-persyn,T. Persyn,D,99,179.0,145,M,929655,EUR,1015977600,D,99,99,False,56.0,40.0,11.0,3.0,0.0,28.0,32.0,12.0,27.0,,3.0,2.0,5.0,1.0,,,,90.0,82.0,5.8,24.0,0,3.0,6.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13078226,home,FC Eindhoven,Farouq Limouri,Farouq Limouri,,farouq-limouri,F. Limouri,D,3,182.0,143,M,1102875,EUR,1047686400,D,18,18,False,70.0,61.0,14.0,10.0,0.0,49.0,54.0,12.0,16.0,,,1.0,4.0,,,,,90.0,73.0,6.4,9.0,0,,4.0,,,,,,,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
13078226,home,FC Eindhoven,Matteo Vandendaele,Matteo Vandendaele,,vandendaele-matteo,M. Vandendaele,D,,186.0,17,M,1626191,EUR,1118880000,D,3,3,False,49.0,35.0,9.0,3.0,0.0,27.0,32.0,8.0,18.0,4.0,7.0,4.0,,2.0,,,,90.0,73.0,5.9,22.0,0,1.0,8.0,1.0,3.0,,,1.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,
13078226,home,FC Eindhoven,Terrence Douglas,,,terrence-douglas,T. Douglas,D,25,186.0,58,M,980425,EUR,1000425600,D,25,25,False,34.0,31.0,3.0,3.0,0.0,20.0,21.0,11.0,14.0,4.0,6.0,,4.0,1.0,,,,68.0,49.0,7.1,6.0,1,1.0,3.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
13078226,home,FC Eindhoven,Sven Blummel,Sven,Blummel,sven-blummel,S. Blummel,M,7,177.0,57,M,806289,EUR,842140800,M,7,7,False,34.0,28.0,4.0,1.0,1.0,14.0,15.0,14.0,21.0,1.0,3.0,,3.0,,,,,90.0,53.0,7.0,15.0,2,2.0,4.0,,4.0,,1.0,2.0,2.0,3.0,,,,2.0,1.0,True,1.0,,,,,,,,,,,,
13078226,home,FC Eindhoven,Daan Huisman,,,daan-huisman,D. Huisman,M,5,189.0,48,M,1048098,EUR,1027641600,M,15,15,False,29.0,28.0,6.0,6.0,0.0,16.0,17.0,12.0,12.0,1.0,5.0,2.0,2.0,2.0,,,,90.0,39.0,7.5,3.0,1,,3.0,1.0,,,1.0,2.0,2.0,2.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,
13078226,home,FC Eindhoven,Achraf El Bouchataoui,,,achraf-el-bouchataoui,A. E. Bouchataoui,M,4,179.0,84,M,856741,EUR,947635200,M,27,27,False,53.0,42.0,9.0,7.0,0.0,22.0,24.0,21.0,34.0,1.0,4.0,2.0,,2.0,,,,90.0,74.0,6.7,20.0,1,5.0,6.0,,3.0,,,1.0,1.0,2.0,1.0,2.0,,,1.0,,,,1.0,,,,,,,,,,
13078226,home,FC Eindhoven,Joey Sleegers,,,joey-sleegers,J. Sleegers,M,,177.0,39,M,331827,EUR,774662400,M,11,11,False,7.0,5.0,,,0.0,1.0,3.0,5.0,7.0,,4.0,1.0,5.0,3.0,,,,81.0,25.0,6.8,8.0,4,3.0,3.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,,,1.0,,1.0,,1.0,2.0,1.0,2.0,,,,,,,
13078226,home,FC Eindhoven,Evan Rottier,Evan Rottier,,evan-rottier,E. Rottier,F,11,178.0,78,M,1047335,EUR,1013385600,F,22,22,False,12.0,7.0,1.0,,0.0,4.0,6.0,3.0,6.0,,5.0,,2.0,5.0,,,,75.0,22.0,6.6,9.0,0,,2.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,
