match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,length,confirmed
13473415,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
13473415,,,,,90,4.0,,1,,,card,Lucas Piton,Foul,False,123453749.0,False,yellow,982174.0,Lucas Piton,,,
13473415,,,,,90,1.0,,1,,,substitution,,,,123987629.0,True,regular,,,False,,
13473415,,2.0,1.0,,90,,,1,,,goal,,,,314639455.0,True,regular,814723.0,Renato Kayzer,,,
13473415,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,5.0,
13473415,,,,,82,,,9,,,substitution,,,,123987585.0,False,regular,,,False,,
13473415,,,,,75,,,16,,,card,Loide Augusto,Foul,False,123453680.0,False,yellow,1110708.0,Loide Augusto,,,
13473415,,,,,67,,,24,,,substitution,,,,123987490.0,False,regular,,,False,,
13473415,,,,,67,,,24,,,substitution,,,,123987489.0,False,regular,,,False,,
13473415,,,,,67,,,24,,,substitution,,,,123987488.0,False,regular,,,False,,
13473415,,1.0,1.0,,60,,,31,,,goal,,,,314633195.0,True,regular,814723.0,Renato Kayzer,,,
13473415,,,,,57,,,34,,,substitution,,,,123987441.0,True,regular,,,False,,
13473415,,,,,57,,,34,,,substitution,,,,123987446.0,True,regular,,,False,,
13473415,,,,,46,,,45,,,substitution,,,,123987360.0,False,regular,,,False,,
13473415,,,,,46,,,45,,,substitution,,,,123987353.0,True,regular,,,False,,
13473415,,,,,46,,,45,,,substitution,,,,123987346.0,True,regular,,,False,,
13473415,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
13473415,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,5.0,
13473415,,0.0,1.0,,42,,,4,,,goal,,,,314621633.0,False,regular,583974.0,Pablo Vegetti,,,
13473415,,,,,38,,,8,,,card,Janderson,Foul,False,123453462.0,True,yellow,1462989.0,Janderson,,,
13473415,,,,,33,,,13,,,card,Matheuzinho,Violent conduct,False,123453446.0,True,red,795266.0,Matheuzinho,,,
13473415,,,,,32,,,14,,,varDecision,,,,33702.0,True,cardUpgrade,795266.0,Matheuzinho,,,False
13473415,,,,,12,,,34,,,card,Paulinho Paula,Foul,False,123453355.0,False,yellow,879902.0,Paulinho Paula,,,
