match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_expectedGoals,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,captain,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_keyPass,stat_fouls,stat_challengeLost,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_errorLeadToAShot,stat_punches
13473415,home,Vitória,Lucas Arcanjo,lucas-arcanjo,L. Arcanjo,G,1,190,811,M,982558,EUR,902534400,G,1,1,False,29.0,19.0,15.0,5.0,0.0,15.0,15.0,4.0,14.0,10.0,2.0,1.0,4.0,90.0,40.0,7.1,10.0,0.00066749,0,-0.2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473415,home,Vitória,Raúl Cáceres,raul-caceres,R. Cáceres,D,27,180,356,M,122971,EUR,685152000,D,27,27,False,29.0,24.0,4.0,3.0,0.0,9.0,12.0,15.0,17.0,2.0,,,,89.0,42.0,6.5,10.0,0.00976942,1,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0284,,,,,,,,,,,,,,,,,,,,,,,,
13473415,home,Vitória,Edu,edu,Edu,D,43,188,302,M,989715,EUR,961113600,D,43,43,False,40.0,35.0,5.0,1.0,0.0,28.0,28.0,7.0,12.0,2.0,,,,90.0,55.0,7.0,8.0,0.0032231,2,,,,,2.0,3.0,3.0,,,8.0,,0.1321,3.0,1.0,1.0,1.0,0.0387,,,,,,,,,,,,,,,,,,,
13473415,home,Vitória,Lucas Halter,lucas-halter,L. Halter,D,5,187,777,M,905450,EUR,957225600,D,5,5,False,62.0,59.0,5.0,3.0,0.0,45.0,45.0,14.0,17.0,2.0,,,,90.0,76.0,7.1,3.0,0.00793813,0,,,,,1.0,,3.0,,,8.0,,,,,,1.0,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,
13473415,home,Vitória,Jamerson,jamerson,Jamerson,D,83,177,408,M,972373,EUR,905299200,D,83,83,False,50.0,43.0,2.0,,0.0,29.0,33.0,14.0,17.0,3.0,,,,90.0,83.0,7.8,12.0,0.152519,1,,,,5.0,2.0,1.0,9.0,,,6.0,1.0,0.0265,1.0,,1.0,3.0,0.0385,,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
13473415,home,Vitória,Ricardo Ryller,ricardo-ryller,R. Ryller,M,28,176,231,M,870943,EUR,762307200,M,28,28,False,17.0,15.0,2.0,2.0,0.0,6.0,6.0,9.0,11.0,,,,,57.0,23.0,6.8,2.0,0.00851416,0,,,,,1.0,2.0,2.0,,,1.0,1.0,,1.0,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,
13473415,home,Vitória,Ronald,ronald,Ronald,M,8,171,426,M,931521,EUR,866592000,M,8,8,False,38.0,34.0,1.0,1.0,0.0,14.0,15.0,20.0,23.0,6.0,,,,90.0,52.0,6.8,8.0,0.0731431,0,,,,1.0,,5.0,3.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
13473415,home,Vitória,Wellington Rato,wellington-rato,W. Rato,M,10,172,1278,M,865356,EUR,708825600,M,10,10,False,17.0,14.0,2.0,2.0,0.0,5.0,5.0,9.0,12.0,2.0,,,,45.0,27.0,6.8,6.0,0.0191362,1,,,,2.0,1.0,2.0,3.0,,1.0,,1.0,0.0564,,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,
13473415,home,Vitória,Matheuzinho,matheuzinho,Matheuzinho,M,10,165,1521,M,795266,EUR,877132800,M,30,30,False,8.0,7.0,1.0,1.0,0.0,2.0,2.0,5.0,6.0,1.0,,,,33.0,11.0,5.6,2.0,0.101245,0,,,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,
13473415,home,Vitória,Osvaldo,osvaldo,Osvaldo,M,11,170,559,M,90468,EUR,545097600,M,11,11,False,15.0,10.0,2.0,1.0,0.0,4.0,4.0,6.0,11.0,,,,,45.0,28.0,6.9,11.0,0.00804037,2,,,,5.0,,,5.0,,1.0,,,0.0341,,1.0,,3.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
