match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_goals,stat_goalAssist,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,player_firstName,player_lastName,stat_errorLeadToAShot,player_sofascoreId,stat_totalOffside,stat_bigChanceMissed
10382023,home,Feyenoord,Justin Bijlow,bijlow-justin,J. Bijlow,G,16,190,1386,M,556696,EUR,885427200,G,1,1,False,22.0,19.0,4.0,1.0,19.0,19.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,90.0,30.0,7.2,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382023,home,Feyenoord,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178,655,M,934409,EUR,963705600,D,2,2,False,34.0,31.0,2.0,,14.0,15.0,22.0,2.0,7.0,,,,,90.0,54.0,7.1,9.0,1,18.0,3.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,
10382023,home,Feyenoord,Gernot Trauner,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,94.0,78.0,7.0,2.0,42.0,49.0,45.0,1.0,4.0,,,,,90.0,101.0,7.3,16.0,0,36.0,,,1.0,5.0,,1.0,1.0,,1.0,1.0,,,1.0,True,1.0,3.0,1.0,1.0,,,,,,,,,,,,,
10382023,home,Feyenoord,Jacob Rasmussen,jacob-rasmussen,J. Rasmussen,D,14,190,358,M,842176,EUR,864777600,D,6,6,False,90.0,87.0,3.0,1.0,46.0,48.0,42.0,1.0,4.0,,,,,90.0,98.0,8.1,3.0,1,41.0,,,,2.0,,,,1.0,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,
10382023,home,Feyenoord,Dávid Hancko,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,53.0,42.0,8.0,3.0,16.0,16.0,43.0,,8.0,,,,,84.0,85.0,7.9,20.0,5,26.0,6.0,,2.0,5.0,,2.0,1.0,1.0,3.0,3.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,
10382023,home,Feyenoord,Quinten Timber,quinten-timber,Q. Timber,M,27,177,8611,M,959805,EUR,992736000,M,8,8,False,41.0,35.0,1.0,1.0,6.0,6.0,36.0,,4.0,,,,,90.0,70.0,7.7,15.0,3,29.0,1.0,,9.0,10.0,3.0,7.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,,1.0,2.0,,4.0,1.0,,,,1.0,1.0,1.0,,,,,,
10382023,home,Feyenoord,Lutsharel Geertruida,lutsharel-geertruida,L. Geertruida,D,6,185,2489,M,856739,EUR,963878400,M,4,4,False,71.0,68.0,1.0,1.0,21.0,22.0,49.0,1.0,9.0,,,,,90.0,78.0,6.8,5.0,0,47.0,,,4.0,1.0,,1.0,1.0,,,,2.0,3.0,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,
10382023,home,Feyenoord,Orkun Kökçü,orkun-kokcu,O. Kökçü,M,10,175,13499,M,907461,EUR,978048000,M,10,10,False,84.0,72.0,8.0,6.0,25.0,25.0,63.0,,4.0,,,,,72.0,103.0,6.8,23.0,2,47.0,4.0,,6.0,3.0,3.0,1.0,,,1.0,,2.0,,1.0,,,,,1.0,,,2.0,,2.0,,2.0,,,,orkunkokcu,,
10382023,home,Feyenoord,Patrik Wålemark,patrik-walemark,P. Wålemark,M,10,184,585,M,1014588,EUR,1003017600,F,23,23,False,21.0,18.0,,,2.0,2.0,27.0,,2.0,,,,,72.0,48.0,7.5,11.0,2,22.0,8.0,6.0,5.0,5.0,2.0,3.0,1.0,,1.0,1.0,2.0,1.0,4.0,,,,,,,,,,2.0,,3.0,,,,,,
10382023,home,Feyenoord,Danilo,danilo,Danilo,F,9,174,1240,M,940647,EUR,923443200,F,9,9,False,25.0,21.0,,,7.0,7.0,18.0,,3.0,,,,,63.0,36.0,6.9,10.0,2,14.0,,,1.0,2.0,1.0,1.0,1.0,,,,4.0,,2.0,,,1.0,,,,,,,1.0,1.0,,,,,,,
