match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name
12421252,FT,2.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
12421252,,,,,90,0.0,,1,,,injuryTime,6.0,,,,,,,,,
12421252,,,,,81,,,10,,,substitution,,123680165.0,False,True,regular,,,,,
12421252,,,,,81,,,10,,,substitution,,123680163.0,False,True,regular,,,,,
12421252,,,,,81,,,10,,,substitution,,123680164.0,False,True,regular,,,,,
12421252,,,,,75,,,16,,,substitution,,123680042.0,False,False,regular,,,,,
12421252,,,,,70,,,21,,,substitution,,123680001.0,True,True,injury,,,,,
12421252,,,,,65,,,26,,,substitution,,123679951.0,True,True,injury,,,,,
12421252,,,,,62,,,29,,,substitution,,123679909.0,False,False,regular,,,,,
12421252,,,,,62,,,29,,,substitution,,123679908.0,False,False,regular,,,,,
12421252,,,,,50,,,41,,,card,,122599430.0,,True,yellow,Griffin Yow,Foul,False,979808.0,Griffin Yow
12421252,HT,2.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
12421252,,,,,45,0.0,,1,,,injuryTime,4.0,,,,,,,,,
12421252,,2.0,0.0,,22,,,24,,,goal,,252053803.0,,True,regular,,,,846087.0,Doğucan Haspolat
12421252,,1.0,0.0,,2,,,44,,,goal,,251990370.0,,True,regular,,,,1092081.0,Matija Frigan
