match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_wasFouled,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_blockedScoringAttempt,captain,stat_goals,stat_totalOffside,stat_shotOffTarget,stat_hitWoodwork,stat_bigChanceMissed,stat_goodHighClaim,stat_errorLeadToAGoal
14053614,home,SC Heerenveen,Bernt Klaverboer,Bernt Klaverboer,,klaverboer-bernt,B. Klaverboer,G,22,190.0,124,M,1195719,EUR,1127692800,G,22,22,False,34.0,12.0,31.0,9.0,0.0,4.0,11.0,8.0,23.0,6.0,1.0,3.0,4.0,90.0,40.0,6.6,22.0,0.00361565,0.2804,0,-0.4431,0.12,0.0,-0.2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053614,home,SC Heerenveen,Oliver Braude,Oliver Braude,,braude-oliver,O. Braude,D,45,174.0,214,M,1150061,EUR,1077321600,D,45,45,False,45.0,33.0,7.0,3.0,1.0,20.0,23.0,13.0,22.0,9.0,,,,90.0,59.0,6.7,17.0,0.253275,,0,,0.32,0.18,-0.13,,2.0,2.0,6.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,
14053614,home,SC Heerenveen,Sam Kersten,,,sam-kersten,S. Kersten,D,4,191.0,83,M,847072,EUR,886118400,D,4,4,False,37.0,32.0,5.0,3.0,0.0,21.0,22.0,11.0,15.0,4.0,,,,90.0,53.0,7.1,5.0,0.0107195,,0,,0.03,0.08,0.34,,,,1.0,5.0,,,13.0,,1.0,1.0,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
14053614,home,SC Heerenveen,Maas Willemsen,Maas Willemsen,,maas-willemsen,M. Willemsen,D,3,190.0,70,M,1132765,EUR,1051574400,D,3,3,False,67.0,60.0,5.0,3.0,0.0,40.0,45.0,20.0,22.0,10.0,,,,90.0,83.0,7.1,8.0,0.00905984,,1,,0.07,-0.14,-0.17,,,2.0,6.0,11.0,3.0,,2.0,1.0,6.0,4.0,,,1.0,4.0,,,1.0,1.0,1.0,1.0,0.0774,0.0782,0.01,,,,,,,,,,
14053614,home,SC Heerenveen,Vasilios Zagaritis,,,vassilis-zagaritis,V. Zagaritis,D,19,178.0,227,M,1064426,EUR,988934400,D,19,19,False,57.0,50.0,2.0,,0.0,19.0,21.0,31.0,36.0,5.0,,,,90.0,80.0,6.3,16.0,0.0934126,,1,,0.22,0.04,-0.18,,3.0,,4.0,4.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,5.0,2.0,,0.0196,,-0.26,1.0,1.0,,,,,,,,
14053614,home,SC Heerenveen,Luuk Brouwers,,,luuk-brouwers,L. Brouwers,M,8,180.0,141,M,794014,EUR,894153600,M,8,8,False,40.0,34.0,2.0,2.0,1.0,16.0,18.0,18.0,22.0,6.0,,,,90.0,54.0,9.0,8.0,0.304336,,1,,0.22,0.29,0.17,,,1.0,3.0,9.0,,1.0,,1.0,6.0,4.0,1.0,1.0,3.0,3.0,,,,1.0,,1.0,0.0277,0.1085,0.54,,,True,1.0,1.0,,,,,
14053614,home,SC Heerenveen,Joris van Overeem,,,joris-van-overeem,J. v. Overeem,M,6,181.0,103,M,138842,EUR,770428800,M,6,6,False,55.0,43.0,7.0,4.0,0.0,15.0,17.0,28.0,38.0,10.0,,,,90.0,77.0,8.5,18.0,0.352721,,2,,0.51,0.29,0.15,,3.0,,4.0,5.0,,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,,,1.0,1.0,1.0,1.0,1.0,0.5479,0.9162,0.49,2.0,1.0,,1.0,,,,,,
14053614,home,SC Heerenveen,Jacob Trenskow,,,trenskow-jacob,J. Trenskow,M,20,178.0,432,M,1015627,EUR,975196800,M,20,20,False,33.0,31.0,1.0,1.0,1.0,8.0,9.0,23.0,24.0,7.0,,,,80.0,52.0,8.2,11.0,0.659397,,4,,0.68,0.65,-0.04,,4.0,,4.0,1.0,,,,,,,2.0,,4.0,,,,3.0,2.0,1.0,1.0,0.1841,0.4002,0.04,1.0,2.0,,,,1.0,1.0,,,
14053614,home,SC Heerenveen,Ringo Meerveld,,,ringo-meerveld,R. Meerveld,M,10,177.0,424,M,992018,EUR,1040428800,M,10,10,False,26.0,22.0,4.0,2.0,0.0,6.0,8.0,16.0,18.0,6.0,,,,80.0,37.0,6.9,8.0,0.145689,,4,,0.31,0.47,-0.05,,,1.0,3.0,2.0,,,,,,,2.0,,1.0,1.0,,,,3.0,1.0,2.0,0.9981,0.1792,-0.27,,,,,,2.0,1.0,2.0,,
14053614,home,SC Heerenveen,Maxence Rivera,,,rivera-maxence,M. Rivera,M,7,168.0,135,M,1014408,EUR,1022716800,M,7,7,False,42.0,34.0,2.0,1.0,0.0,6.0,6.0,28.0,36.0,2.0,,,,90.0,65.0,7.0,19.0,0.238915,,2,,0.19,0.57,-0.05,,4.0,,4.0,6.0,,1.0,1.0,,1.0,,2.0,,3.0,,,1.0,3.0,5.0,4.0,,0.0743,,-0.22,,1.0,,,,1.0,,,,
