match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_aerialWon,stat_outfielderBlock,player_firstName,player_lastName,stat_aerialLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_shotOffTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_hitWoodwork
11352600,home,Bournemouth,Neto,neto,Neto,G,22,190,5148,M,Neto_Murara,84844,EUR,616809600,G,1,1,False,True,23.0,19.0,4.0,1.0,18.0,19.0,1.0,4.0,1.0,6.0,1.0,5.0,6.0,90.0,37.0,8.4,5.0,0.0,0.0,0.00011277,0,1.9862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352600,home,Bournemouth,Max Aarons,max-aarons,M. Aarons,D,3,178,1261,M,,943645,EUR,946944000,D,37,37,False,,30.0,21.0,6.0,3.0,11.0,14.0,11.0,17.0,3.0,10.0,,,,90.0,58.0,7.4,16.0,0.0,0.0,0.0695491,0,,1.0,1.0,5.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
11352600,home,Bournemouth,Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,17027,M,IlliaZabarnyi,1023567,EUR,1030838400,D,27,27,False,,46.0,37.0,7.0,2.0,28.0,29.0,9.0,17.0,2.0,,,,,90.0,54.0,6.9,9.0,0.0,0.0,0.00346961,0,,,,1.0,3.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,
11352600,home,Bournemouth,Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191,3053,M,,865167,EUR,907632000,D,5,5,False,,45.0,37.0,8.0,3.0,23.0,24.0,14.0,22.0,4.0,7.0,,,,90.0,57.0,7.4,10.0,0.0,0.0,0.0179648,0,,1.0,,1.0,4.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,
11352600,home,Bournemouth,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25853,M,miloskerkez,1097425,EUR,1068163200,D,3,3,False,,23.0,18.0,3.0,,10.0,10.0,9.0,16.0,2.0,5.0,,,,73.0,44.0,6.7,10.0,0.0,0.0,0.100757,0,,3.0,1.0,6.0,2.0,2.0,,2.0,2.0,1.0,,,4.0,,,,,,Milos,Kerkez,,,,,,,,,,,
11352600,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,M,4,4,False,,35.0,30.0,4.0,2.0,20.0,20.0,10.0,17.0,2.0,3.0,,,,90.0,54.0,7.7,8.0,0.0365,0.0365,0.0236148,1,,2.0,,6.0,7.0,,,5.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,,,,2.0,1.0,,,,,,,,,
11352600,home,Bournemouth,Philip Billing,philip-billing,P. Billing,M,8,193,1790,M,,548660,EUR,834451200,M,29,29,False,,25.0,19.0,3.0,1.0,10.0,12.0,9.0,14.0,4.0,4.0,,,,90.0,44.0,7.1,8.0,0.2899,0.0,0.0191094,2,,1.0,,3.0,6.0,2.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,,
11352600,home,Bournemouth,Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1762,M,,895576,EUR,922060800,M,16,16,False,,18.0,14.0,1.0,,6.0,8.0,8.0,10.0,,3.0,,,,73.0,31.0,7.3,5.0,0.054,0.02,0.0216779,2,,,,2.0,8.0,,,,1.0,1.0,,3.0,,1.0,4.0,3.0,1.0,,,,1.0,1.0,,1.0,,,,,,,
11352600,home,Bournemouth,Ryan Christie,ryan-christie,R. Christie,M,10,178,1213,M,,322391,EUR,793411200,M,10,10,False,,25.0,22.0,2.0,,7.0,7.0,18.0,23.0,2.0,1.0,,,,89.0,42.0,7.3,6.0,0.0316,0.0,0.405887,1,,5.0,3.0,4.0,4.0,3.0,,1.0,1.0,,1.0,1.0,,3.0,2.0,2.0,,,,,1.0,,1.0,,1.0,,,,,,
11352600,home,Bournemouth,Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,33926,M,d.ouattara15,1106451,EUR,1013385600,M,11,11,False,,10.0,3.0,1.0,,,1.0,3.0,9.0,2.0,3.0,,,,63.0,28.0,6.8,11.0,0.1637,0.4954,0.00229662,2,,,,1.0,4.0,,,1.0,3.0,2.0,1.0,,,,2.0,1.0,,,Dango Ouattara,,,1.0,,1.0,,1.0,1.0,,,,
