match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_aerialLost,stat_aerialWon,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_goalAssist,stat_bigChanceMissed,stat_goals
10385408,home,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192,4016,M,252669,EUR,727228800,G,1,1,False,27.0,21.0,11.0,5.0,19.0,20.0,2.0,7.0,15.0,4.0,6.0,2.0,2.0,90.0,44.0,7.6,8.0,0.0,0.0,0.00020583,0,0.4771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385408,home,Wolverhampton,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7696,M,252821,EUR,753408000,D,22,22,False,23.0,16.0,2.0,,8.0,11.0,8.0,12.0,6.0,,,,,65.0,40.0,6.5,9.0,0.0,0.0,0.0057396,0,,nelsonsemedo50,2.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10385408,home,Wolverhampton,Nathan Collins,nathan-collins,N. Collins,D,22,193,1556,M,958916,EUR,988588800,D,4,4,False,37.0,30.0,9.0,2.0,26.0,29.0,4.0,8.0,3.0,,,,,90.0,49.0,6.9,8.0,0.033,0.0,0.00096593,1,,,2.0,3.0,1.0,1.0,3.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
10385408,home,Wolverhampton,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,894474,EUR,864345600,D,23,23,False,48.0,36.0,12.0,3.0,28.0,34.0,8.0,14.0,4.0,,,,,90.0,59.0,6.7,13.0,0.0,0.0,0.00265737,0,,,5.0,2.0,,,3.0,1.0,1.0,1.0,,,,,,,2.0,5.0,1.0,,,,,,,,,,,,,,
10385408,home,Wolverhampton,Hugo Bueno,hugo-bueno,H. Bueno,D,3,180,695,M,1013928,EUR,1032307200,D,64,64,False,25.0,22.0,1.0,,14.0,16.0,9.0,13.0,5.0,,,,,73.0,41.0,6.4,10.0,0.0,0.0,0.0225641,0,,,4.0,,2.0,,,,,,,,,,1.0,,,,,,,4.0,1.0,1.0,1.0,,,,,,,,
10385408,home,Wolverhampton,Rúben Neves,ruben-neves,R. Neves,M,8,181,15401,M,280955,EUR,858211200,M,8,8,False,57.0,38.0,7.0,4.0,22.0,31.0,16.0,28.0,3.0,,,,,90.0,72.0,6.7,22.0,0.1339,0.4519,0.0118763,3,,rubenneves,2.0,5.0,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,2.0,,,,True,1.0,2.0,,,,,
10385408,home,Wolverhampton,Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,19609,M,945122,EUR,904176000,M,27,27,False,36.0,31.0,5.0,3.0,18.0,19.0,13.0,18.0,6.0,,,,,90.0,58.0,6.8,13.0,0.0,0.0,0.0154039,0,,matheusnunes,6.0,7.0,2.0,1.0,1.0,2.0,3.0,2.0,,3.0,3.0,,1.0,,1.0,1.0,,,,1.0,,3.0,1.0,,,,,,,,
10385408,home,Wolverhampton,Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177,6362,M,786186,EUR,822614400,M,11,11,False,19.0,17.0,1.0,1.0,7.0,7.0,11.0,13.0,5.0,,,,,90.0,34.0,7.0,6.0,0.0,0.0,0.0232748,0,,Hwangso,4.0,5.0,3.0,2.0,,1.0,3.0,2.0,,1.0,,1.0,,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,
10385408,home,Wolverhampton,João Moutinho,joao-moutinho,J. Moutinho,M,8,171,1563,M,6562,EUR,526521600,M,28,28,False,33.0,26.0,1.0,1.0,6.0,9.0,20.0,25.0,7.0,,,,,73.0,44.0,6.7,11.0,0.0781,0.0,0.0172052,1,,,3.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,
10385408,home,Wolverhampton,Daniel Podence,daniel-podence,D. Podence,F,56,165,3017,M,308764,EUR,814233600,M,10,10,False,29.0,20.0,1.0,,9.0,11.0,12.0,20.0,4.0,,,,,81.0,45.0,6.5,17.0,0.0778,0.0,0.0526674,2,,,4.0,3.0,3.0,1.0,,1.0,1.0,,,5.0,1.0,1.0,1.0,,,,,,,2.0,1.0,,1.0,,,2.0,,,,,
10385408,home,Wolverhampton,Diego Costa,diego-costa,Diego Costa,F,,187,4469,,21212,EUR,592185600,F,29,29,False,9.0,8.0,,,3.0,3.0,5.0,6.0,1.0,,,,,45.0,16.0,6.8,2.0,0.1017,0.0727,0.0958147,1,,diego.costa,4.0,2.0,,,1.0,1.0,1.0,,,,,2.0,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,
