match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_sofascoreId,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_totalOffside,stat_clearanceOffLine,stat_errorLeadToAGoal
14065139,home,1. FC Köln,Marvin Schwäbe,,,marvin-schwabe,M. Schwäbe,G,1,189,324,M,187185,EUR,798768000,G,1,1,False,True,42.0,30.0,18.0,6.0,0.0,25.0,27.0,5.0,15.0,1.0,1.0,7.0,2.0,4.0,4.0,1.0,1.0,1.0,90.0,54.0,8.6,12.0,0.0381639,1.4467,1.0,0,0.6946,0.25,0.0,-0.03,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065139,home,1. FC Köln,Joel Schmied,,,schmied-joel,J. Schmied,D,2,188,152,M,965950,EUR,906508800,D,2,2,False,,14.0,13.0,1.0,,0.0,10.0,11.0,3.0,3.0,,1.0,1.0,,,,,,,45.0,19.0,6.6,1.0,0.0106209,,,0,,-0.06,-0.08,0.14,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065139,home,1. FC Köln,Eric Martel,,,martel-eric,E. Martel,M,6,186,936,M,988639,EUR,1020038400,D,6,6,False,,50.0,42.0,5.0,1.0,0.0,26.0,27.0,16.0,23.0,,6.0,4.0,,,,,,,90.0,61.0,7.3,8.0,0.0196144,,,0,,0.26,0.15,0.21,,,,2.0,4.0,3.0,6.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
14065139,home,1. FC Köln,Cenk Özkaçar,,,cenk-ozkacar,C. Özkaçar,D,39,190,731,M,953097,EUR,970790400,D,39,39,False,,52.0,48.0,1.0,,0.0,32.0,35.0,16.0,17.0,,5.0,5.0,,,,,,,90.0,66.0,7.0,5.0,0.00778198,,1.0,0,,0.14,-0.04,0.22,,,,3.0,3.0,3.0,5.0,,,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,
14065139,home,1. FC Köln,Jakub Kamiński,,,jakub-kaminski,J. Kamiński,M,16,178,5205,M,801263,EUR,1023235200,M,16,16,False,,23.0,16.0,3.0,1.0,1.0,5.0,8.0,11.0,15.0,3.0,1.0,3.0,,,,,,,90.0,42.0,9.7,12.0,1.05978,,4.0,4,,1.0,0.52,-0.14,,3.0,1.0,,,5.0,3.0,,,,,3.0,3.0,1.0,jakub.kaminskii,4.0,1.0,1.0,1.0,2.0,1.0,0.4065,0.8401,0.53,,,,,,
14065139,home,1. FC Köln,Ísak Bergmann Jóhannesson,,,isak-bergmann-johannesson,Í. B. Jóhannesson,M,18,180,939,M,1112327,EUR,1048377600,M,18,18,False,,34.0,31.0,1.0,,0.0,12.0,14.0,19.0,20.0,,1.0,1.0,,,,,,,67.0,45.0,6.7,8.0,0.0931773,,2.0,1,,0.2,0.16,-0.08,,5.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,,0.1473,,0.0,,,,,,
14065139,home,1. FC Köln,Denis Huseinbašić,,,denis-huseinbasic,D. Huseinbašić,M,8,184,959,M,1064842,EUR,994118400,M,8,8,False,,54.0,51.0,2.0,1.0,0.0,23.0,24.0,28.0,30.0,,3.0,5.0,,,,,,,90.0,64.0,7.5,3.0,0.137049,,2.0,0,,0.16,0.39,0.2,,,,,1.0,1.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,
14065139,home,1. FC Köln,Kristoffer Lund,,,kristoffer-lund,K. Lund,D,32,184,391,M,963043,EUR,1021334400,M,32,32,False,,28.0,22.0,2.0,1.0,0.0,10.0,13.0,12.0,15.0,,2.0,3.0,,,,,,,90.0,48.0,6.9,12.0,0.0416581,,1.0,2,,0.3,0.07,-0.07,,2.0,,2.0,1.0,3.0,4.0,1.0,,,1.0,2.0,1.0,2.0,,1.0,,1.0,1.0,,,0.0699,0.0264,-0.34,,,,,,
14065139,home,1. FC Köln,Florian Kainz,,,florian-kainz,F. Kainz,M,11,176,502,M,78781,EUR,719884800,F,11,11,False,,16.0,11.0,2.0,1.0,0.0,3.0,5.0,8.0,11.0,,,4.0,,,,,,,67.0,31.0,8.4,8.0,0.197899,,1.0,4,,0.41,0.38,-0.03,,3.0,1.0,,,1.0,3.0,,1.0,,2.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,1.0,0.3495,0.7784,0.51,2.0,2.0,1.0,,,
14065139,home,1. FC Köln,Ragnar Ache,,,ragnar-ache,R. Ache,F,9,182,1324,M,877544,EUR,901584000,F,9,9,False,,10.0,6.0,2.0,1.0,0.0,2.0,3.0,4.0,7.0,,2.0,2.0,,,,,,,73.0,24.0,7.9,7.0,0.0121871,,1.0,3,,-0.23,0.03,0.21,,,,4.0,3.0,5.0,8.0,4.0,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,0.6567,0.9882,0.51,1.0,,1.0,,,
