match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_errorLeadToAGoal,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_sofascoreId,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_clearanceOffLine,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_wonTackle,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_penaltyWon,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork
14064424,home,AS Monaco,Philipp Köhn,,,philipp-kohn,P. Köhn,G,16,191.0,698,M,868964,EUR,891475200,G,16,16,False,33.0,25.0,9.0,2.0,0.0,24.0,29.0,1.0,4.0,1.0,1.0,14.0,1.0,1.0,5.0,7.0,90.0,47.0,6.7,9.0,0.00116487,1.1362,0,0.1686,-0.02,-0.06,-0.36,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064424,home,AS Monaco,Thilo Kehrer,,,thilo-kehrer,T. Kehrer,D,5,186.0,1925,M,281277,EUR,843264000,D,5,5,False,59.0,50.0,5.0,3.0,0.0,27.0,31.0,23.0,28.0,1.0,5.0,5.0,,,,,90.0,69.0,5.6,9.0,0.0191849,,1,,0.24,0.1,-1.0,,True,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0348,-0.18,,,,,,,,,,,,,,,,,,,,,,,,
14064424,home,AS Monaco,Mohammed Salisu,,,mohammed-salisu,M. Salisu,D,22,188.0,5721,M,946158,EUR,924307200,D,22,22,False,52.0,45.0,,,0.0,32.0,35.0,13.0,17.0,5.0,9.0,4.0,,,,,90.0,75.0,6.7,8.0,0.00255854,,2,,0.08,0.03,-0.34,,,8.0,,,1.0,1.0,3.0,,1.0,2.0,0.1147,-0.06,salisu_sarki,2.0,3.0,1.0,1.0,8.0,1.0,5.0,,,,,,,,,,,,,,,,
14064424,home,AS Monaco,Caio Henrique,,,caio-henrique,C. Henrique,D,12,178.0,3679,M,845170,EUR,870307200,D,12,12,False,72.0,63.0,6.0,2.0,0.0,28.0,31.0,35.0,41.0,,2.0,6.0,,,,,90.0,95.0,6.7,18.0,0.539874,,0,,0.45,0.11,-0.37,,,2.0,,,,2.0,2.0,,,1.0,,,,,,1.0,,1.0,,1.0,11.0,4.0,1.0,1.0,4.0,,,,,,,,,,,
14064424,home,AS Monaco,Mamadou Coulibaly,,,mamadou-coulibaly,M. Coulibaly,M,28,179.0,1437,M,1410148,EUR,1082505600,M,28,28,False,54.0,43.0,4.0,3.0,0.0,23.0,26.0,20.0,28.0,,9.0,7.0,3.0,,,,79.0,75.0,7.2,18.0,0.125544,,0,,0.31,0.09,-0.13,,,6.0,5.0,2.0,,,4.0,,3.0,2.0,,,,,1.0,,,3.0,,1.0,1.0,,,3.0,1.0,,,,,,,,,,,
14064424,home,AS Monaco,Jordan Teze,,,jordan-teze,J. Teze,D,4,183.0,1060,M,825846,EUR,938649600,M,4,4,False,31.0,28.0,1.0,1.0,0.0,16.0,16.0,12.0,15.0,,2.0,3.0,,,,,61.0,44.0,6.4,7.0,0.0398609,,0,,-0.01,0.03,-0.2,,,3.0,,,,,1.0,,1.0,1.0,,,,2.0,,,,,,,4.0,1.0,,,1.0,,,,,,,,,,,
14064424,home,AS Monaco,Maghnes Akliouche,,,maghnes-akliouche,M. Akliouche,M,11,183.0,5917,M,1130939,EUR,1014595200,M,11,11,False,32.0,29.0,2.0,1.0,0.0,12.0,13.0,17.0,19.0,,4.0,5.0,4.0,,,,73.0,48.0,6.3,8.0,0.0336024,,3,,-0.04,0.3,-0.33,,,4.0,3.0,2.0,,,1.0,,1.0,,0.178,-0.46,,1.0,2.0,,2.0,,,,,,,1.0,,1.0,0.0487,,,,,,,,,
14064424,home,AS Monaco,Aleksandr Golovin,,,aleksandr-golovin,A. Golovin,M,10,180.0,8439,M,318963,EUR,833414400,M,10,10,False,15.0,14.0,,,0.0,3.0,3.0,11.0,12.0,1.0,7.0,3.0,2.0,,,,45.0,28.0,6.8,6.0,0.0835039,,0,,0.2,0.24,-0.25,,,6.0,4.0,2.0,,,3.0,,1.0,1.0,,,alex_golovin17,1.0,2.0,,,,,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,,,,,,
14064424,home,AS Monaco,Kassoum Ouattara,,,ouattara-kassoum,K. Ouattara,D,20,176.0,696,M,1397558,EUR,1097712000,M,20,20,False,25.0,19.0,1.0,,0.0,10.0,11.0,9.0,14.0,,6.0,2.0,2.0,,,,90.0,54.0,6.2,16.0,0.0141772,,1,,-0.04,0.17,-0.24,,,9.0,4.0,1.0,,,3.0,,2.0,3.0,0.0154,-0.11,,,1.0,2.0,1.0,1.0,,,2.0,,,2.0,,,,,,,,,,,,
14064424,home,AS Monaco,Folarin Balogun,,,folarin-balogun,F. Balogun,F,9,179.0,5047,M,934237,EUR,994118400,F,9,9,False,6.0,5.0,1.0,1.0,0.0,,1.0,5.0,5.0,1.0,4.0,,1.0,,,,45.0,13.0,6.8,2.0,0.0448786,,3,,0.16,0.06,-0.04,,,2.0,,,1.0,,1.0,,2.0,1.0,1.0161,0.34,balogun,,1.0,,,,,,,,,1.0,1.0,2.0,0.8654,,,1.0,1.0,,,,,
