match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_totalClearance,stat_outfielderBlock,stat_aerialWon,captain,stat_challengeLost,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_penaltyMiss,stat_totalOffside,stat_hitWoodwork,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_clearanceOffLine
14572988,home,AZ Alkmaar,Rome Jayden Owusu-Oduro,,,rome-jayden-owusu-oduro,R. J. Owusu-Oduro,G,1,189,1342,M,1145999,EUR,1088726400,G,1,1,False,23.0,17.0,12.0,7.0,0.0,13.0,14.0,4.0,9.0,5.0,1.0,1.0,1.0,1.0,90.0,26.0,7.1,6.0,0.00457828,0.32,0,0.26,0.08,0.0,0.15,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572988,home,AZ Alkmaar,Denso Kasius,,,denso-kasius,D. Kasius,D,30,186,390,M,1008111,EUR,1033862400,D,30,30,False,53.0,45.0,6.0,3.0,1.0,8.0,8.0,40.0,55.0,3.0,,,,,90.0,89.0,8.3,21.0,0.555344,,4,,0.56,0.28,0.19,,10.0,3.0,4.0,7.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,0.4423,0.6867,5.0,0.21,,,,,,,,,,,,,,,,,
14572988,home,AZ Alkmaar,Wouter Goes,,,wouter-goes,W. Goes,D,3,187,709,M,1145982,EUR,1086825600,D,3,3,False,63.0,56.0,13.0,9.0,0.0,23.0,27.0,33.0,36.0,4.0,,,,,90.0,68.0,8.0,7.0,0.143344,,0,,0.57,0.22,0.16,,,,3.0,4.0,,,,,,,,,,,4.0,1.0,,,2.0,,3.0,1.0,,,,,,,,,,,,,,,
14572988,home,AZ Alkmaar,Maxim Dekker,Maxim Dekker,,maxim-dekker,M. Dekker,D,4,192,201,M,1119294,EUR,1082505600,D,4,4,False,59.0,57.0,7.0,5.0,0.0,33.0,33.0,24.0,26.0,9.0,,,,,90.0,66.0,7.4,3.0,0.0114035,,0,,0.16,0.13,0.28,,,,2.0,3.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,
14572988,home,AZ Alkmaar,Mees de Wit,,,mees-de-wit,M. de Wit,D,34,178,170,M,893559,EUR,892771200,D,34,34,False,70.0,63.0,11.0,8.0,0.0,19.0,22.0,44.0,49.0,11.0,,,,,90.0,92.0,7.5,14.0,0.164105,,0,,0.56,0.13,0.18,,1.0,,4.0,1.0,1.0,2.0,,,,,2.0,1.0,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
14572988,home,AZ Alkmaar,Peer Koopmeiners,,,peer-koopmeiners,P. Koopmeiners,M,6,186,513,M,922018,EUR,957398400,M,6,6,False,58.0,55.0,1.0,1.0,0.0,15.0,16.0,40.0,45.0,6.0,,,,,90.0,76.0,7.4,9.0,0.193037,,2,,0.51,-0.3,0.21,,3.0,,3.0,6.0,,2.0,1.0,,2.0,,2.0,4.0,3.0,1.0,,2.0,0.1048,,2.0,-0.41,,,,1.0,,,,,,,,,,,,,
14572988,home,AZ Alkmaar,Sven Mijnans,,,sven-mijnans,S. Mijnans,M,10,190,1196,M,980671,EUR,952560000,M,10,10,False,44.0,38.0,4.0,4.0,0.0,8.0,8.0,32.0,43.0,2.0,,,,,90.0,80.0,7.8,20.0,0.352417,,8,,0.53,0.0,-0.05,,7.0,2.0,6.0,5.0,2.0,4.0,2.0,1.0,,6.0,2.0,1.0,1.0,5.0,1.0,1.0,1.6561,1.8549,4.0,0.47,,,,1.0,True,1.0,3.0,2.0,1.0,1.0,,,,,,,
14572988,home,AZ Alkmaar,Kees Smit,,,kees-smit,K. Smit,M,26,182,3723,M,1405756,EUR,1137801600,M,26,26,False,71.0,61.0,3.0,3.0,0.0,16.0,17.0,45.0,55.0,3.0,,,,,89.0,86.0,7.5,16.0,0.10243,,1,,0.28,0.27,0.32,,1.0,,8.0,7.0,2.0,3.0,1.0,,1.0,,1.0,5.0,5.0,1.0,1.0,3.0,0.0902,,2.0,-0.03,,,,,,1.0,,,,,,,,,,,
14572988,home,AZ Alkmaar,Weslley Patati,,,weslley-patati,W. Patati,M,7,167,1129,M,1148468,EUR,1064966400,F,7,7,False,22.0,17.0,2.0,,0.0,2.0,3.0,15.0,23.0,5.0,,,,,73.0,47.0,6.3,17.0,0.0458814,,4,,-0.08,0.33,-0.05,,4.0,,8.0,4.0,1.0,5.0,2.0,,2.0,1.0,2.0,1.0,1.0,2.0,,2.0,0.2824,0.1126,2.0,-0.26,,,,1.0,,2.0,,1.0,,,,,,,,,
14572988,home,AZ Alkmaar,Ibrahim Sadiq,,,ibrahim-sadiq,I. Sadiq,M,11,166,1316,M,905174,EUR,957657600,F,11,11,False,15.0,14.0,2.0,1.0,0.0,1.0,1.0,13.0,14.0,2.0,,,,,64.0,25.0,6.8,5.0,0.0605604,,3,,0.13,0.15,-0.04,,,,5.0,2.0,1.0,1.0,,,1.0,1.0,,1.0,,2.0,1.0,,0.3541,0.2748,1.0,0.26,2.0,,,,,1.0,,1.0,,,4.0,,,,,,
