match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,from
11761775,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
11761775,,,,,90,8.0,,1,,,card,Gabriel George,Foul,False,120989567.0,False,yellow,1580799.0,Gabriel George,,
11761775,,2.0,1.0,,88,,,3,,,goal,,,,174142546.0,False,regular,2029996.0,Ben Harris,,
11761775,,,,,84,,,7,,,substitution,,,,122161681.0,False,regular,,,False,
11761775,,,,,75,,,16,,,substitution,,,,122161478.0,True,injury,,,True,
11761775,,,,,75,,,16,,,substitution,,,,122161477.0,True,regular,,,False,
11761775,,,,,68,,,23,,,card,Ben Harris,Argument,False,120989354.0,False,yellow,2029996.0,Ben Harris,,
11761775,,,,,63,,,28,,,substitution,,,,122161214.0,True,injury,,,True,
11761775,,,,,59,,,32,,,substitution,,,,122161164.0,False,regular,,,False,
11761775,,,,,59,,,32,,,substitution,,,,122161163.0,False,regular,,,False,
11761775,,,,,58,,,33,,,substitution,,,,122161162.0,False,regular,,,False,
11761775,,,,,58,,,33,,,substitution,,,,122161161.0,True,regular,,,False,
11761775,,,,,58,,,33,,,substitution,,,,122161160.0,True,regular,,,False,
11761775,,2.0,0.0,,48,,,43,,,goal,,,,174140241.0,True,ownGoal,1427531.0,Olukayode Osu,,owngoal
11761775,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
11761775,,1.0,0.0,,27,,,19,,,goal,,,,174138330.0,True,regular,552874.0,Fejiri Okenabirhie,,
11761775,,,,,15,,,31,,,card,Darryl Harrison,Foul,False,120988880.0,False,yellow,1586481.0,Darryl Harrison,,
11761775,,,,,13,,,33,,,card,Adam May,Foul,False,120988857.0,True,yellow,794255.0,Adam May,,
11761775,,,,,5,,,41,,,card,Elliott Legg,Foul,False,120988788.0,False,yellow,2029984.0,Elliott Legg,,
