match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_fouls,captain,stat_aerialWon,stat_outfielderBlock,stat_wonTackle,stat_aerialLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_shotOffTarget,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,player_firstName,player_lastName,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist,stat_goals
11352605,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,42.0,19.0,31.0,8.0,13.0,14.0,6.0,28.0,1.0,1.0,9.0,1.0,2.0,3.0,1.0,90.0,50.0,6.8,23.0,0.0,0.0,0.0203338,1.0,0,-0.1914,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352605,home,Everton,Ashley Young,ashley-young,A. Young,D,15,180,1712,M,,10589,EUR,489715200,D,18,18,False,18.0,10.0,6.0,1.0,4.0,7.0,6.0,14.0,1.0,1.0,4.0,,,,,87.0,34.0,6.4,12.0,0.0,0.0,0.0079023,,0,,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11352605,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,,145188,EUR,722131200,D,6,6,False,26.0,17.0,7.0,4.0,16.0,19.0,1.0,7.0,4.0,3.0,5.0,,,,,90.0,35.0,7.2,9.0,0.0,0.0,0.00091253,,0,,,2.0,,1.0,1.0,2.0,True,3.0,3.0,1.0,,,,,,,,,,,,,,,,,
11352605,home,Everton,Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2591,M,,979563,EUR,1025136000,D,32,32,False,29.0,25.0,2.0,,21.0,23.0,4.0,6.0,5.0,7.0,6.0,2.0,,,,90.0,45.0,7.2,5.0,0.0,0.0,0.00074552,,0,,,2.0,,2.0,1.0,,,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
11352605,home,Everton,Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4082,M,mikola_16,876643,EUR,927936000,D,19,19,False,21.0,15.0,4.0,2.0,11.0,16.0,4.0,5.0,5.0,3.0,3.0,,,,,90.0,40.0,6.8,10.0,0.0103,0.0,0.0084874,,1,,,7.0,2.0,1.0,5.0,4.0,,,1.0,4.0,,1.0,,1.0,2.0,,,,,,,,,,,,
11352605,home,Everton,Arnaut Danjuma,arnaut-danjuma,A. Danjuma,F,7,178,3536,M,,827064,EUR,854668800,M,10,10,False,8.0,7.0,,,4.0,4.0,3.0,4.0,1.0,,,,,,,90.0,17.0,6.7,3.0,0.0557,0.0,0.0146809,1.0,2,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
11352605,home,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21481,M,iganagueye,106337,EUR,622771200,M,27,27,False,18.0,13.0,1.0,,6.0,9.0,8.0,10.0,4.0,,4.0,2.0,,,,90.0,31.0,6.9,7.0,0.1091,0.0901,0.0148423,1.0,2,,1.0,4.0,1.0,2.0,2.0,1.0,,,,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,,
11352605,home,Everton,Amadou Onana,amadou-onana,A. Onana,M,24,195,7180,M,its_onana,923973,EUR,997920000,M,8,8,False,26.0,21.0,4.0,2.0,13.0,14.0,8.0,12.0,4.0,1.0,6.0,1.0,,,,90.0,31.0,6.6,5.0,0.0,0.0,0.00385292,,0,,,4.0,2.0,,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
11352605,home,Everton,Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1269,M,,96535,EUR,725846400,M,16,16,False,17.0,11.0,,,5.0,6.0,6.0,11.0,5.0,,6.0,,,,,80.0,27.0,7.0,8.0,0.0,0.0,0.00414818,2.0,0,,,3.0,,,4.0,2.0,,,,4.0,,2.0,1.0,,,,,,,,,,,,,,
11352605,home,Everton,Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,1973,M,,935543,EUR,943228800,M,7,7,False,11.0,10.0,1.0,,6.0,7.0,4.0,4.0,1.0,1.0,2.0,,,,,88.0,20.0,6.0,4.0,0.0697,0.0,0.00738263,,2,,,6.0,3.0,,1.0,,,,,,,1.0,,2.0,,,,2.0,,Dwight,McNeil,1.0,,,,,
