match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,player_firstName,stat_aerialLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wonTackle,stat_wasFouled,player_lastName,stat_outfielderBlock,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_unsuccessfulTouch,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_penaltyWon,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_penaltyConceded
14035960,home,Cercle Brugge,Maxime Delanghe,maxime-delanghe,M. Delanghe,G,21,189.0,144,M,909953,EUR,990576000,G,21,21,False,25.0,18.0,10.0,3.0,0.0,15.0,15.0,3.0,10.0,1.0,7.0,1.0,1.0,3.0,1.0,90.0,33.0,7.3,7.0,0.00105468,60.351722645995,10.0,34.755,10.605,0.6792,0,0.6603,0.03,-0.05,-0.22,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035960,home,Cercle Brugge,Gary Magnee,magnee-gary,G. Magnee,M,15,173.0,149,M,990265,EUR,939686400,D,15,15,False,57.0,39.0,13.0,4.0,0.0,18.0,22.0,21.0,35.0,7.0,3.0,,,,,90.0,95.0,6.9,28.0,0.233402,261.57759693195,27.0,188.58,32.34,,1,,0.41,0.12,-0.49,,9.0,3.0,2.0,5.0,6.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,0.7884,0.9908,4.0,0.32,,,,,,,,,,,,,,,,,,,,,,,
14035960,home,Cercle Brugge,Emmanuel Kakou,emmanuel-kakou,E. Kakou,D,5,,182,M,1847412,EUR,1120089600,D,5,5,False,65.0,58.0,5.0,4.0,0.0,47.0,50.0,11.0,15.0,3.0,6.0,,,,,90.0,79.0,6.4,7.0,0.00706183,196.22993815085,23.0,-6.72,14.49,,2,,0.07,0.1,-0.35,,,,6.0,5.0,10.0,,,,,3.0,2.0,1.0,0.1324,,,-0.26,Emmanuel Kakou,4.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
14035960,home,Cercle Brugge,Christiaan Ravych,ravych-christiaan,C. Ravych,D,66,187.0,206,M,1191212,EUR,1027987200,D,66,66,False,47.0,38.0,5.0,2.0,0.0,28.0,30.0,10.0,17.0,7.0,3.0,,,,,90.0,64.0,6.4,13.0,0.0068011,159.74223940518,21.0,89.67,20.055,,0,,0.12,0.11,-0.28,,1.0,,,4.0,2.0,,,,,,1.0,1.0,,,1.0,,,3.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
14035960,home,Cercle Brugge,Flávio Nazinho,nazinho-flavio,F. Nazinho,D,20,180.0,637,M,1006113,EUR,1058659200,D,20,20,False,45.0,38.0,2.0,,0.0,21.0,23.0,17.0,22.0,,4.0,,,,,90.0,75.0,7.3,18.0,0.199974,240.91449906885,22.0,141.96,44.415,,4,,0.34,0.3,-0.56,,8.0,1.0,,4.0,3.0,,1.0,2.0,1.0,2.0,1.0,1.0,0.1064,0.3108,2.0,0.53,,2.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
14035960,home,Cercle Brugge,Hannes Van Der Bruggen,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180.0,73,M,94290,EUR,733622400,M,28,28,False,35.0,24.0,6.0,2.0,0.0,6.0,11.0,18.0,24.0,1.0,6.0,,,,,90.0,42.0,6.5,11.0,0.0258281,42.259589848383,8.0,14.385,6.09,,0,,0.29,0.05,-0.2,,,,3.0,7.0,5.0,1.0,,,,,2.0,1.0,,,,,,5.0,,,1.0,,,,,,,,True,,,,,,,,,,
14035960,home,Cercle Brugge,Lawrence Agyekum,lawrence-agyekum,L. Agyekum,M,6,174.0,952,M,1185568,EUR,1069545600,M,6,6,False,24.0,20.0,,,1.0,12.0,13.0,8.0,11.0,2.0,6.0,,,,,71.0,42.0,7.2,10.0,0.144948,87.287418657999,12.0,-1.26,7.455,,1,,0.33,0.1,-0.03,,5.0,2.0,,4.0,4.0,,2.0,,,,1.0,3.0,0.0664,,3.0,-0.26,Lawrence Agyekum,2.0,1.0,,,1.0,,1.0,,2.0,1.0,3.0,,,,,,,,,,,
14035960,home,Cercle Brugge,Oluwaseun Adewumi,adewumi-oluwaseun,O. Adewumi,F,17,182.0,221,M,1201883,EUR,1109116800,M,17,17,False,12.0,9.0,,,0.0,4.0,4.0,5.0,8.0,1.0,1.0,,,,,82.0,29.0,7.1,9.0,0.0527627,39.665066175061,5.0,23.94,11.97,,5,,0.17,0.2,-0.16,,2.0,,1.0,4.0,5.0,,1.0,3.0,,,2.0,,0.5252,0.7205,1.0,0.11,,2.0,1.0,1.0,1.0,2.0,,,1.0,,,2.0,,2.0,1.0,,,,,,,,
14035960,home,Cercle Brugge,Edan Diop,diop-edan,E. Diop,M,37,173.0,536,M,1390575,EUR,1093651200,M,37,37,False,25.0,20.0,1.0,,0.0,10.0,11.0,10.0,14.0,1.0,6.0,,,,,71.0,39.0,6.2,12.0,0.15004,125.91658521096,16.0,-15.75,6.195,,0,,0.28,0.05,-0.15,,1.0,,,6.0,3.0,,2.0,,,,2.0,2.0,,,1.0,,Edan Diop,1.0,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,
14035960,home,Cercle Brugge,Alan Minda,minda-alan,A. Minda,F,27,171.0,2590,M,1122552,EUR,1052870400,M,11,11,False,7.0,3.0,1.0,,0.0,1.0,2.0,2.0,5.0,,5.0,,,,,45.0,17.0,6.3,10.0,0.00301829,70.478319387186,7.0,15.33,14.805,,0,,-0.03,0.04,-0.15,,,,,6.0,4.0,1.0,2.0,,,,2.0,,,,,,,1.0,,,1.0,1.0,,,3.0,1.0,,2.0,,,,,,,,,,,
