match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_fouls,stat_lastManTackle,stat_unsuccessfulTouch,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_dispossessed,captain,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,stat_penaltyConceded,stat_savedShotsFromInsideTheBox,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon
10408317,home,Espanyol,Joan García,joan-garcia,J. García,G,13,193,111965,M,930267,EUR,988934400,G,1,1,False,26.0,22.0,7.0,3.0,22.0,23.0,3.0,9.0,2.0,1.0,1.0,90.0,33.0,5.8,4.0,0.0,0.0,0.00019398,0,-1.1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408317,home,Espanyol,Ronaël Pierre-Gabriel,ronael-pierre-gabriel,R. Pierre-Gabriel,D,18,175,899,M,826293,EUR,897696000,D,18,18,False,15.0,12.0,,,4.0,4.0,14.0,5.0,,,,63.0,47.0,7.9,10.0,0.1045,0.232,0.00816077,1,,,,8.0,3.0,3.0,8.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,6.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10408317,home,Espanyol,César Montes,cesar-montes,C. Montes,D,23,195,1738,M,818406,EUR,856742400,D,23,23,False,62.0,54.0,6.0,4.0,34.0,37.0,25.0,4.0,,,,90.0,72.0,6.6,8.0,0.0,0.0,0.0154791,0,,,,20.0,,3.0,4.0,,,,,,7.0,1.0,1.0,,,,,1.0,4.0,2.0,,,,,,,,,,,,,,,
10408317,home,Espanyol,Fernando Calero,fernando-calero,F. Calero,D,5,183,302,M,857205,EUR,811036800,D,5,5,False,30.0,29.0,1.0,1.0,21.0,21.0,9.0,1.0,,,,45.0,37.0,6.7,2.0,0.0,0.0,0.00251652,0,,,,8.0,,4.0,5.0,1.0,,,,,2.0,,,2.0,2.0,,,3.0,3.0,,1.0,1.0,,,,,,,,,,,,,
10408317,home,Espanyol,Brian Oliván,brian-olivan,B. Oliván,D,12,179,147,M,351500,EUR,765158400,D,14,14,False,44.0,37.0,8.0,4.0,11.0,14.0,41.0,7.0,,,,90.0,71.0,7.0,21.0,0.1154,0.0844,0.16052,3,,,,27.0,11.0,3.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,1.0,3.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,
10408317,home,Espanyol,Edu Expósito,edu-exposito,E. Expósito,M,8,175,1017,M,877262,EUR,838857600,M,20,20,False,41.0,38.0,1.0,1.0,15.0,16.0,27.0,4.0,,,,60.0,51.0,6.8,7.0,0.0386,0.0,0.05785,1,,,,23.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,
10408317,home,Espanyol,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,31.0,24.0,5.0,3.0,11.0,12.0,21.0,6.0,,,,64.0,44.0,6.9,11.0,0.1735,0.1111,0.0618632,3,,,,14.0,2.0,6.0,3.0,1.0,4.0,1.0,2.0,,,,,,,2.0,1.0,2.0,,,,,1.0,1.0,,,True,1.0,,,,,,,
10408317,home,Espanyol,Javi Puado,javi-puado,J. Puado,M,7,178,1352,M,891511,EUR,896054400,M,7,7,False,26.0,21.0,1.0,1.0,4.0,4.0,26.0,2.0,,,,90.0,47.0,7.1,13.0,0.0964,0.7626,0.0695572,2,,,,17.0,4.0,10.0,6.0,1.0,4.0,3.0,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,4.0,,2.0,,1.0,,,,2.0,,,,,,,,,
10408317,home,Espanyol,Nicolás Melamed,nicolas-melamed,N. Melamed,M,10,173,234,M,989878,EUR,986947200,M,21,21,False,26.0,26.0,1.0,1.0,8.0,8.0,19.0,5.0,,,,78.0,40.0,6.9,7.0,0.0338,0.1743,0.0368846,1,,,,18.0,1.0,3.0,4.0,,2.0,1.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,,1.0,,4.0,,,,,,,,,,,,,
10408317,home,Espanyol,Denis Suárez,denis-suarez,D. Suárez,M,4,176,1456,M,138383,EUR,757814400,M,6,6,False,49.0,35.0,2.0,1.0,7.0,9.0,43.0,3.0,,,,90.0,60.0,6.4,17.0,0.0,0.0,0.106992,0,,,,28.0,3.0,5.0,5.0,3.0,,,,,,,,4.0,4.0,1.0,,,,2.0,,,,,,,,,1.0,,,,,,
