match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_challengeLost,stat_interceptionWon,stat_outfielderBlock,stat_wasFouled,stat_keyPass,stat_shotOffTarget,stat_expectedGoals,stat_fouls,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_errorLeadToAShot,stat_goals,stat_totalOffside,player_sofascoreId,stat_blockedScoringAttempt
12117312,home,Cuiabá,Walter,walter,Walter,G,22,188,774,M,329055,EUR,564192000,G,1,1,False,True,26.0,19.0,15.0,8.0,0.0,15.0,18.0,4.0,8.0,1.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,5.0,1.0,90.0,42.0,7.1,7.0,0.00269056,0,0.3349,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117312,home,Cuiabá,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,33,188,291,M,953736,EUR,923443200,D,2,2,False,,17.0,10.0,3.0,,0.0,7.0,11.0,3.0,9.0,3.0,2.0,1.0,,1.0,,,,,,90.0,34.0,6.3,13.0,0.00660517,0,,,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12117312,home,Cuiabá,Marllon,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,4,4,False,,25.0,16.0,4.0,,0.0,13.0,16.0,3.0,9.0,4.0,,,6.0,1.0,1.0,,,,,90.0,34.0,5.9,9.0,0.00053662,0,,,,,,2.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
12117312,home,Cuiabá,Bruno Alves,bruno-alves,B. Alves,D,3,184,261,M,551810,EUR,671760000,D,34,34,False,,18.0,12.0,6.0,2.0,0.0,7.0,10.0,5.0,8.0,2.0,,,4.0,2.0,,,,,,90.0,27.0,6.6,6.0,0.00245632,0,,,,,1.0,,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
12117312,home,Cuiabá,Alan Empereur,alan-empereur,A. Empereur,D,33,186,199,M,373740,EUR,763257600,D,33,33,False,,41.0,35.0,8.0,6.0,0.0,26.0,27.0,9.0,14.0,2.0,1.0,1.0,4.0,2.0,1.0,,,,,90.0,51.0,6.3,9.0,0.00949802,0,,,,,,,,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,
12117312,home,Cuiabá,Ramon,ramon,Ramon,D,13,176,862,M,980761,EUR,984441600,D,23,23,False,,32.0,28.0,,,0.0,17.0,19.0,11.0,13.0,3.0,,,6.0,8.0,,,,,,88.0,51.0,7.4,6.0,0.0123416,1,,,,,,,,1.0,1.0,,,,2.0,2.0,,1.0,0.0173,,,,,,,,,,,
12117312,home,Cuiabá,Filipe Augusto,filipe-augusto,Filipe Augusto,M,6,182,119,M,254561,EUR,745113600,M,5,5,False,,39.0,31.0,5.0,2.0,0.0,21.0,25.0,10.0,16.0,4.0,1.0,1.0,4.0,4.0,,,,,,75.0,54.0,7.0,11.0,0.00595062,0,,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,
12117312,home,Cuiabá,Fernando Sobral,fernando-sobral,F. Sobral,M,88,178,655,M,931479,EUR,787708800,M,88,88,False,,24.0,18.0,3.0,2.0,0.0,11.0,12.0,8.0,13.0,10.0,3.0,2.0,1.0,5.0,,,,,,90.0,43.0,7.0,12.0,0.0490607,1,,,,1.0,1.0,3.0,4.0,3.0,2.0,4.0,,,,2.0,,,0.0057,1.0,1.0,1.0,1.0,0.0194,,,,,,
12117312,home,Cuiabá,Denilson,denilson,Denilson,M,8,180,370,M,1175760,EUR,985305600,M,27,27,False,,31.0,26.0,4.0,1.0,0.0,17.0,20.0,9.0,12.0,4.0,1.0,1.0,1.0,3.0,,,,,,65.0,39.0,6.8,7.0,0.010135,0,,Denilson,,1.0,,,2.0,2.0,2.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,
12117312,home,Cuiabá,Clayson,clayson,Clayson,M,29,166,372,M,811308,EUR,795571200,F,25,25,False,,17.0,12.0,4.0,3.0,1.0,4.0,7.0,8.0,12.0,2.0,4.0,,,4.0,,,,,,65.0,34.0,6.6,15.0,0.176575,0,,,,2.0,,,7.0,,,2.0,,,,2.0,1.0,,,2.0,,1.0,,,1.0,1.0,,,,
12117312,home,Cuiabá,Derik Lacerda,derik-lacerda,D. Lacerda,F,18,190,839,M,994190,EUR,938390400,F,22,22,False,,7.0,7.0,1.0,1.0,0.0,1.0,1.0,6.0,6.0,5.0,2.0,1.0,2.0,,,,,,,75.0,23.0,7.6,3.0,0.0155917,2,,,,,4.0,3.0,5.0,1.0,,2.0,,,,,1.0,,0.2545,,,,2.0,0.295,,,1.0,,,
12117312,home,Cuiabá,Gustavo Sauer,gustavo-sauer,Gustavo Sauer,M,7,181,393,M,904505,EUR,736128000,F,19,19,True,,4.0,2.0,1.0,,0.0,,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,25.0,11.0,6.8,4.0,0.00695456,0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12117312,home,Cuiabá,Isidro Pitta,isidro-pitta,I. Pitta,F,9,183,1815,M,979861,EUR,934588800,F,9,9,True,,4.0,2.0,,,0.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,25.0,8.0,6.6,4.0,0.00471915,0,,,,,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,
12117312,home,Cuiabá,Lucas Mineiro,lucas-mineiro,L. Mineiro,M,8,188,116,M,840077,EUR,825120000,M,30,30,True,,7.0,7.0,1.0,1.0,0.0,5.0,5.0,2.0,3.0,,,,1.0,,,,,,,15.0,9.0,6.5,1.0,0.00098444,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
