match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_dispossessed,stat_bigChanceMissed,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_ownGoals,stat_clearanceOffLine
10434054,home,Konyaspor,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190,350,M,63952,EUR,589161600,G,13,13,False,True,29.0,27.0,6.0,4.0,25.0,26.0,2.0,3.0,12.0,2.0,3.0,90.0,41.0,6.9,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434054,home,Konyaspor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,22,175,120,M,603902,EUR,727142400,D,22,22,False,,30.0,22.0,4.0,3.0,14.0,15.0,8.0,16.0,7.0,,,60.0,52.0,6.5,13.0,0,,,1.0,1.0,9.0,5.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,
10434054,home,Konyaspor,Adil Demirbağ,adil-demirbag,A. Demirbağ,D,4,182,168,M,787949,EUR,881712000,D,4,4,False,,80.0,73.0,10.0,7.0,50.0,54.0,23.0,26.0,10.0,,,90.0,93.0,7.4,8.0,4,,,,1.0,5.0,6.0,1.0,1.0,,1.0,1.0,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,
10434054,home,Konyaspor,Francisco Calvo,francisco-calvo,F. Calvo,D,5,181,677,M,156400,EUR,710553600,D,15,15,False,,102.0,84.0,19.0,9.0,53.0,55.0,31.0,47.0,10.0,,,90.0,119.0,7.3,22.0,4,,,,1.0,3.0,9.0,1.0,,,3.0,1.0,3.0,,2.0,,,6.0,1.0,3.0,,,1.0,1.0,1.0,,,,,
10434054,home,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,D,12,12,False,,57.0,40.0,7.0,4.0,18.0,21.0,30.0,51.0,11.0,,,90.0,91.0,7.9,28.0,1,,,15.0,,4.0,5.0,,3.0,1.0,,3.0,2.0,1.0,1.0,,1.0,2.0,,,1.0,,1.0,,7.0,8.0,1.0,,,
10434054,home,Konyaspor,Soner Dikmen,soner-dikmen,S. Dikmen,M,6,179,82,M,847782,EUR,746841600,M,14,14,False,,46.0,35.0,9.0,4.0,23.0,24.0,12.0,22.0,5.0,,,90.0,59.0,6.9,14.0,1,,,,,3.0,7.0,,2.0,1.0,,,3.0,2.0,2.0,3.0,2.0,,,,1.0,1.0,,,,,,,,
10434054,home,Konyaspor,Bruno Paz,bruno-paz,B. Paz,M,80,178,194,M,845821,EUR,893289600,M,80,80,False,,33.0,25.0,4.0,2.0,16.0,17.0,9.0,16.0,5.0,,,60.0,49.0,7.2,10.0,2,,,,,5.0,7.0,2.0,3.0,2.0,1.0,,4.0,3.0,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,,,,,
10434054,home,Konyaspor,Robert Murić,robert-muric,R. Murić,M,,182,210,M,283853,EUR,826588800,M,11,11,False,,8.0,7.0,,,3.0,3.0,4.0,8.0,,,,45.0,19.0,6.7,5.0,1,,,3.0,1.0,2.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,
10434054,home,Konyaspor,Endri Çekiçi,endri-cekici,E. Çekiçi,M,22,179,229,M,187153,EUR,848707200,M,23,23,False,,36.0,30.0,3.0,2.0,7.0,8.0,24.0,30.0,4.0,,,74.0,54.0,6.9,14.0,2,,,2.0,,6.0,5.0,,5.0,1.0,,,1.0,,1.0,3.0,,,1.0,1.0,,,2.0,,3.0,1.0,,,,
10434054,home,Konyaspor,Konrad Michalak,konrad-michalak,K. Michalak,M,71,174,588,M,851243,EUR,874627200,M,77,77,False,,19.0,17.0,1.0,1.0,5.0,5.0,13.0,17.0,2.0,,,90.0,35.0,6.6,10.0,2,Konrad,Michalak,3.0,,6.0,3.0,,5.0,3.0,,,,,3.0,,3.0,,1.0,,1.0,1.0,1.0,,2.0,1.0,,,,
