match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_aerialLost,captain,stat_shotOffTarget,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_wasFouled,stat_totalOffside,stat_penaltyConceded,stat_penaltyFaced,stat_goalsPrevented,stat_onTargetScoringAttempt,stat_savedShotsFromInsideTheBox,stat_saves,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_penaltyWon
10385514,home,West Ham United,Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3777,M,lukasz.fabianski,15479,EUR,482630400,G,1,1,False,6.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,2.0,1.0,1.0,1.0,29.0,13.0,6.7,4.0,0.0,0.0,5.067e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385514,home,West Ham United,Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1722,M,,138024,EUR,714441600,D,5,5,False,18.0,12.0,3.0,,7.0,9.0,6.0,12.0,1.0,3.0,,,,,90.0,40.0,6.6,10.0,0.0,0.0,0.0106438,0,,,3.0,1.0,1.0,4.0,5.0,2.0,3.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10385514,home,West Ham United,Ben Johnson,ben-johnson,B. Johnson,D,18,182,616,M,,914412,EUR,948672000,D,2,2,False,35.0,28.0,12.0,5.0,21.0,22.0,7.0,13.0,6.0,3.0,,,,,90.0,46.0,6.7,8.0,0.0,0.0,0.00915763,0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10385514,home,West Ham United,Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2248,M,,139227,EUR,783216000,D,4,4,False,32.0,28.0,4.0,1.0,25.0,26.0,3.0,6.0,2.0,1.0,,,,,90.0,40.0,6.6,5.0,0.0,0.0,0.00063271,0,,,,,2.0,,3.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
10385514,home,West Ham United,Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,170,763,M,,43443,EUR,629683200,D,3,3,False,22.0,17.0,2.0,1.0,12.0,15.0,7.0,10.0,4.0,5.0,,,,,90.0,35.0,6.7,6.0,0.0,0.0,0.103592,0,,,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
10385514,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,,799041,EUR,793843200,M,28,28,False,23.0,16.0,3.0,1.0,7.0,9.0,9.0,14.0,2.0,6.0,,,,,90.0,29.0,6.3,7.0,0.0,0.0,0.0055011,0,,,,,1.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,
10385514,home,West Ham United,Declan Rice,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,37.0,33.0,3.0,2.0,23.0,25.0,10.0,12.0,,7.0,,,,,90.0,49.0,7.3,6.0,0.0548,0.0,0.00539652,1,,,,,,2.0,7.0,1.0,,7.0,3.0,1.0,,,,1.0,,True,1.0,2.0,,,,,,,,,,,,,,,
10385514,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,jarrodbowen,552884,EUR,851040000,M,20,20,False,10.0,5.0,1.0,,2.0,2.0,3.0,9.0,,3.0,,,,,89.0,25.0,5.9,10.0,0.1738,0.0,0.0016525,1,,,1.0,,1.0,7.0,2.0,4.0,2.0,,,,,3.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,
10385514,home,West Ham United,Manuel Lanzini,manuel-lanzini,M. Lanzini,M,22,167,1526,M,,220315,EUR,729734400,M,10,10,False,16.0,14.0,1.0,,9.0,10.0,5.0,6.0,,3.0,,,,,57.0,20.0,6.4,3.0,0.0175,0.0,0.0501562,1,,,,,,2.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,
10385514,home,West Ham United,Pablo Fornals,pablo-fornals,P. Fornals,M,8,178,2735,M,,816763,EUR,824947200,M,8,8,False,20.0,17.0,2.0,1.0,9.0,9.0,9.0,13.0,,6.0,,,,,89.0,31.0,6.3,8.0,0.0,0.0,0.0945288,0,,,2.0,1.0,,7.0,1.0,4.0,2.0,,,,2.0,1.0,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,
10385514,home,West Ham United,Michail Antonio,michail-antonio,M. Antonio,F,,180,3251,M,MichailAntonio,47772,EUR,638582400,F,9,9,False,4.0,2.0,,,1.0,2.0,1.0,2.0,,,,,,,57.0,11.0,6.6,5.0,0.1729,0.0,0.0131101,2,,,,,1.0,3.0,3.0,,,,,,,1.0,,,2.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,
10385514,home,West Ham United,Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3046,M,,96531,EUR,730771200,G,13,13,True,27.0,19.0,16.0,8.0,14.0,18.0,5.0,9.0,,1.0,,,,,61.0,29.0,5.7,8.0,0.0,0.0,0.00056196,0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,-0.3199,,,,,,,,,
10385514,home,West Ham United,Gianluca Scamacca,gianluca-scamacca,G. Scamacca,F,9,195,6692,M,scamacca,807301,EUR,915148800,F,7,7,True,6.0,6.0,1.0,1.0,,,6.0,6.0,,2.0,,,,,33.0,9.0,6.6,1.0,0.0,0.0,0.00227405,0,,,,,3.0,2.0,3.0,,,,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,
10385514,home,West Ham United,Saïd Benrahma,said-benrahma,S. Benrahma,F,10,172,11234,M,said_benrahma11,354808,EUR,808012800,F,22,22,True,7.0,7.0,,,3.0,3.0,4.0,7.0,,,,,,,33.0,14.0,6.5,6.0,0.0683,0.1007,0.00226541,1,,,3.0,,,3.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,,2.0,,,,1.0,,,,,,,,
10385514,home,West Ham United,Flynn Downes,flynn-downes,F. Downes,M,4,172,375,M,,879810,EUR,916790400,M,12,12,True,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,0,Flynn,Downes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385514,home,West Ham United,Conor Coventry,conor-coventry,C. Coventry,M,6,177,305,M,,931257,EUR,953942400,M,32,32,True,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
