match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,length,from
12437828,FT,1.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12437828,,,,,90,8.0,,1,,,card,Johnny,Argument,False,121622215.0,False,yellow,990169.0,Johnny Cardoso,,,
12437828,,,,,90,1.0,,1,,,substitution,,,,123146319.0,True,regular,,,False,,
12437828,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,7.0,
12437828,,,,,89,,,2,,,card,Tanguy Nianzou,Foul,False,121619029.0,True,yellowRed,1003007.0,Tanguy Nianzou,,,
12437828,,,,,86,,,5,,,substitution,,,,123146267.0,False,regular,,,False,,
12437828,,,,,83,,,8,,,card,Chimy Ávila,Foul,False,121618986.0,False,yellow,789381.0,Chimy Ávila,,,
12437828,,,,,81,,,10,,,card,José Ángel Carmona,Foul,False,121618961.0,True,yellow,1015240.0,José Ángel Carmona,,,
12437828,,,,,79,,,12,,,substitution,,,,123146209.0,True,regular,,,False,,
12437828,,,,,79,,,12,,,substitution,,,,123146210.0,False,regular,,,False,,
12437828,,,,,79,,,12,,,substitution,,,,123146208.0,True,regular,,,False,,
12437828,,,,,77,,,14,,,card,Ørjan Nyland,Time wasting,False,121618935.0,True,yellow,22209.0,Ørjan Nyland,,,
12437828,,,,,76,,,15,,,card,Tanguy Nianzou,Foul,False,121618934.0,True,yellow,1003007.0,Tanguy Nianzou,,,
12437828,,,,,72,,,19,,,substitution,,,,123146156.0,True,regular,,,False,,
12437828,,,,,72,,,19,,,substitution,,,,123146155.0,True,regular,,,False,,
12437828,,,,,64,,,27,,,substitution,,,,123146114.0,False,regular,,,False,,
12437828,,,,,64,,,27,,,substitution,,,,123146113.0,False,regular,,,False,,
12437828,,,,,54,,,37,,,card,Nemanja Gudelj,Foul,False,121618816.0,True,yellow,68332.0,Nemanja Gudelj,,,
12437828,,,,,52,,,39,,,card,Natan,Foul,False,121618810.0,False,yellow,1015287.0,Natan,,,
12437828,,1.0,0.0,,50,,,41,,,goal,,,,188109766.0,True,penalty,823631.0,Dodi Lukebakio,,,penalty
12437828,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12437828,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,2.0,
12437828,,,,,20,,,26,,,card,Abdessamad Ezzalzouli,Foul,False,121618431.0,False,yellow,1011375.0,Abdessamad Ezzalzouli,,,
12437828,,,,,-5,,,6,,,card,Lucien Agoumé,Argument,False,121618985.0,True,yellow,960006.0,Lucien Agoumé,,,
