match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,player_firstName,player_lastName,stat_errorLeadToAShot,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,player_sofascoreId,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork,stat_bigChanceMissed
12499293,home,Parma,Leandro Chichizola,leandro-chichizola,L. Chichizola,G,1,186.0,173,M,80532,EUR,638496000,G,1,1,False,44.0,31.0,16.0,3.0,0.0,28.0,29.0,3.0,15.0,1.0,1.0,3.0,8.0,2.0,3.0,4.0,1.0,1.0,1.0,90.0,59.0,6.9,14.0,0.00154124,0,-0.3911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499293,home,Parma,Enrico Del Prato,enrico-del-prato,E. Del Prato,D,15,183.0,860,M,928103,EUR,942192000,D,15,15,False,48.0,41.0,5.0,2.0,0.0,28.0,30.0,13.0,18.0,,,3.0,2.0,,,,,,,90.0,60.0,6.9,11.0,0.0131645,1,,True,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1074,0.3478,1.0,,,,,,,,,,,,,,,,,,,,
12499293,home,Parma,Botond Balogh,botond-balogh,B. Balogh,D,5,189.0,1291,M,983510,EUR,1023321600,D,4,4,False,52.0,48.0,4.0,4.0,0.0,42.0,42.0,6.0,10.0,,2.0,6.0,2.0,,,,,,,88.0,64.0,6.7,4.0,0.00121645,0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12499293,home,Parma,Alessandro Circati,alessandro-circati,A. Circati,D,39,190.0,800,M,1155423,EUR,1065744000,D,39,39,False,66.0,55.0,7.0,2.0,0.0,44.0,46.0,11.0,20.0,3.0,3.0,6.0,2.0,,,,,,,90.0,77.0,6.1,14.0,0.0024766,0,,,3.0,,1.0,,,2.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
12499293,home,Parma,Woyo Coulibaly,woyo-coulibaly,W. Coulibaly,D,25,188.0,2728,M,989894,EUR,927158400,D,26,26,False,44.0,40.0,1.0,,0.0,20.0,21.0,20.0,23.0,,2.0,1.0,2.0,,,,,,,90.0,60.0,6.4,7.0,0.0226496,0,,,3.0,,,,,2.0,,,,1.0,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,
12499293,home,Parma,Adrián Bernabé,adrian-bernabe,A. Bernabé,M,10,170.0,2308,M,934384,EUR,990835200,M,10,10,False,54.0,45.0,7.0,6.0,0.0,22.0,24.0,24.0,31.0,1.0,6.0,1.0,2.0,,,,,,,90.0,66.0,7.0,11.0,0.0616287,0,,,3.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,,4.0,,,,,1.0,1.0,2.0,1.0,,,,,,,
12499293,home,Parma,Simon Sohm,simon-sohm,S. Sohm,M,23,188.0,941,M,909991,EUR,986947200,M,19,19,False,15.0,13.0,,,0.0,7.0,7.0,6.0,9.0,,1.0,3.0,1.0,,,,,,,70.0,22.0,6.5,4.0,0.00187479,0,,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,
12499293,home,Parma,Dennis Man,dennis-man,D. Man,M,27,182.0,10418,M,812145,EUR,904089600,M,98,98,False,18.0,15.0,1.0,1.0,1.0,5.0,6.0,10.0,13.0,,2.0,,2.0,,,,,,,70.0,29.0,6.9,9.0,0.0877143,1,,,3.0,,1.0,1.0,,2.0,1.0,0.0193,0.0318,2.0,,,,1.0,,,,,1.0,1.0,,2.0,1.0,dennisman,,,,,,
12499293,home,Parma,Valentin Mihăilă,valentin-mihaila,V. Mihăilă,M,7,177.0,3261,M,925242,EUR,949449600,M,28,28,False,20.0,16.0,2.0,2.0,1.0,2.0,3.0,15.0,18.0,,4.0,,2.0,,,,,,,88.0,35.0,7.0,10.0,0.136943,2,,,6.0,2.0,1.0,,,4.0,,0.0963,,2.0,2.0,,,,3.0,,,,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,
12499293,home,Parma,Matteo Cancellieri,matteo-cancellieri,M. Cancellieri,F,22,185.0,1422,M,1017649,EUR,1013472000,M,22,22,False,12.0,5.0,,,0.0,1.0,2.0,4.0,10.0,1.0,9.0,1.0,4.0,,,,,,,55.0,30.0,6.9,10.0,0.00154461,1,,,5.0,1.0,1.0,,,,,0.1234,,,1.0,,1.0,1.0,4.0,,,,,,,5.0,3.0,,,1.0,,,,
