match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,captain,stat_shotOffTarget,stat_totalOffside,stat_totalCross,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_goalAssist,stat_blockedScoringAttempt,stat_hitWoodwork,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyConceded
11252721,home,Loudoun United FC,Hugo Fauroux,Hugo Fauroux,,hugo-fauroux,H. Fauroux,G,23,188.0,4,M,1121112,EUR,840758400,G,30,30,False,28.0,17.0,17.0,6.0,13.0,14.0,4.0,14.0,7.0,2.0,3.0,90.0,36.0,5.4,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11252721,home,Loudoun United FC,Koa Santos,Koa Santos,,koa-santos,K. Santos,D,2,178.0,5,M,1186369,EUR,937872000,D,2,2,False,48.0,35.0,11.0,3.0,30.0,34.0,5.0,14.0,6.0,,,90.0,69.0,6.1,16.0,0,1.0,5.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11252721,home,Loudoun United FC,Daniel Chica,Daniel Chica,,daniel-chica,D. Chica,D,2,188.0,4,M,1476328,EUR,1013990400,D,20,20,False,45.0,36.0,9.0,3.0,36.0,40.0,,5.0,8.0,,,90.0,58.0,6.3,10.0,0,,4.0,9.0,1.0,4.0,,,6.0,5.0,,,2.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
11252721,home,Loudoun United FC,Bryce Washington,Bryce Washington,,bryce-washington,B. Washington,D,27,191.0,1,M,1124735,EUR,905558400,D,27,27,False,23.0,21.0,1.0,,21.0,22.0,,1.0,,,,59.0,33.0,6.1,3.0,0,,1.0,1.0,,3.0,,5.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11252721,home,Loudoun United FC,Gaoussou Samake,,,gaoussou-samake,G. Samake,M,72,171.0,11,M,970672,EUR,878601600,D,72,72,False,8.0,5.0,1.0,,1.0,2.0,4.0,6.0,2.0,,,10.0,13.0,3.0,4.0,0,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
11252721,home,Loudoun United FC,Panagiotis Armenakas,,,panagiotis-armenakas,P. Armenakas,F,10,178.0,34,M,822578,EUR,902275200,M,10,10,False,6.0,5.0,1.0,1.0,5.0,6.0,,,1.0,,,19.0,6.0,6.3,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11252721,home,Loudoun United FC,Jeremy Garay,,,jeremy-garay,J. Garay,M,,175.0,32,M,1025209,EUR,1049155200,M,11,11,False,31.0,27.0,1.0,1.0,24.0,27.0,3.0,4.0,5.0,,,90.0,42.0,6.6,4.0,0,,1.0,2.0,1.0,2.0,2.0,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
11252721,home,Loudoun United FC,Houssou Landru,Houssou Landru,,houssou-landru,H. Landru,M,91,178.0,38,M,1121111,EUR,977961600,M,19,19,False,25.0,18.0,4.0,3.0,15.0,17.0,3.0,8.0,4.0,,,45.0,32.0,6.2,8.0,0,,1.0,3.0,,,,,1.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
11252721,home,Loudoun United FC,Kalil ElMedkhar,,,kalil-elmedkhar,K. ElMedkhar,M,10,188.0,54,M,983087,EUR,934934400,M,23,23,False,12.0,9.0,1.0,,5.0,6.0,4.0,6.0,3.0,,,90.0,29.0,6.7,8.0,2,,5.0,3.0,1.0,2.0,,,1.0,1.0,1.0,2.0,,,,1.0,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
11252721,home,Loudoun United FC,Zach Ryan,Zach Ryan,,zach-ryan,Z. Ryan,F,14,183.0,8,M,1173932,EUR,916272000,F,28,28,False,13.0,9.0,1.0,1.0,9.0,11.0,,2.0,2.0,,,74.0,17.0,6.8,4.0,1,,,3.0,,1.0,,,2.0,,,,,,1.0,,,,1.0,,,True,,,,,,,,,,,,,
