match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_accurateCross,stat_challengeLost,stat_shotOffTarget,stat_wonTackle,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,captain,stat_goalAssist,stat_bigChanceCreated,stat_dispossessed,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim
10388282,home,FC Bayern München,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12744,M,yannsommer,16206,EUR,598320000,G,27,27,False,18.0,17.0,1.0,17.0,18.0,7.0,1.0,1.0,90.0,24.0,7.2,1.0,0.0,0.0,0.00014819,0,0.0518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388282,home,FC Bayern München,Noussair Mazraoui,noussair-mazraoui,N. Mazraoui,D,3,183,53749,M,nousmaz97,847030,EUR,879465600,D,40,40,False,69.0,61.0,1.0,6.0,7.0,3.0,,,74.0,88.0,7.3,15.0,0.0459,0.0,0.152153,1,,1.0,55.0,67.0,5.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10388282,home,FC Bayern München,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10858,M,benpavard21,787505,EUR,827971200,D,5,5,False,128.0,126.0,9.0,47.0,47.0,9.0,,,90.0,145.0,7.9,4.0,0.1475,0.0,0.513979,4,,8.0,80.0,83.0,2.0,,3.0,1.0,6.0,,,2.0,3.0,1.0,3.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
10388282,home,FC Bayern München,Matthijs de Ligt,matthijs-de-ligt,M. de Ligt,D,4,188,32702,M,mdeligt,803031,EUR,934416000,D,4,4,False,85.0,77.0,5.0,45.0,49.0,3.0,,,90.0,94.0,7.2,9.0,0.0903,0.0,0.0309216,2,,4.0,32.0,36.0,,2.0,7.0,5.0,7.0,1.0,,,1.0,,,,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,
10388282,home,FC Bayern München,João Cancelo,joao-cancelo,J. Cancelo,D,2,182,90247,M,JCancelo,138892,EUR,769996800,D,22,22,False,104.0,89.0,13.0,26.0,31.0,12.0,,,90.0,140.0,7.7,28.0,0.1295,0.0835,0.161971,3,,5.0,63.0,81.0,8.0,2.0,3.0,4.0,10.0,3.0,3.0,2.0,,1.0,2.0,3.0,,,2.0,,,,1.0,2.0,3.0,,,,,,,,,,
10388282,home,FC Bayern München,Joshua Kimmich,joshua-kimmich,J. Kimmich,M,6,176,42486,M,Jok_32,259117,EUR,792201600,M,6,6,False,121.0,111.0,11.0,32.0,33.0,10.0,,,90.0,143.0,9.9,18.0,0.0507,0.0,1.19246,1,,10.0,85.0,102.0,14.0,1.0,,4.0,3.0,,,,,,1.0,,,6.0,3.0,1.0,1.0,,,2.0,11.0,,,True,2.0,2.0,,,,,
10388282,home,FC Bayern München,Leon Goretzka,leon-goretzka,L. Goretzka,M,8,189,12148,M,leon_goretzka,184661,EUR,792028800,M,8,8,False,28.0,22.0,2.0,4.0,5.0,1.0,,,45.0,35.0,6.7,7.0,0.0425,0.0675,0.0289431,1,,2.0,18.0,23.0,,,,2.0,2.0,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,
10388282,home,FC Bayern München,Kingsley Coman,kingsley-coman,K. Coman,M,21,178,32905,M,KingComan,280441,EUR,834624000,M,11,11,False,50.0,44.0,3.0,2.0,3.0,5.0,,,81.0,77.0,8.4,19.0,0.5963,0.8117,0.471477,3,,1.0,45.0,55.0,8.0,1.0,,4.0,7.0,8.0,6.0,,,,1.0,4.0,,3.0,,,1.0,,3.0,,2.0,,,,,1.0,1.0,1.0,,,
10388282,home,FC Bayern München,Serge Gnabry,serge-gnabry,S. Gnabry,M,7,176,19183,M,sergegnabry,187433,EUR,805680000,M,7,7,False,35.0,30.0,3.0,2.0,2.0,2.0,,,90.0,57.0,8.1,11.0,0.665,1.1825,0.0919143,5,,2.0,28.0,36.0,3.0,,,4.0,6.0,3.0,3.0,3.0,,1.0,3.0,3.0,1.0,,3.0,,3.0,,2.0,,4.0,,,,,,,1.0,,,
10388282,home,FC Bayern München,Jamal Musiala,jamal-musiala,J. Musiala,M,10,184,116690,M,Bambi,1010231,EUR,1046217600,M,42,42,False,36.0,32.0,2.0,8.0,8.0,6.0,,,61.0,53.0,6.7,10.0,0.0,0.0,0.0685894,0,,2.0,24.0,28.0,,1.0,,6.0,7.0,7.0,5.0,,,,,2.0,,,1.0,,,,,2.0,1.0,,,,,,2.0,,,,
